G,g,era,R
1,AR,2006,0.033881914067714
2,AR,2006,0.171498339369489
3,AR,2006,0.288652830014223
4,AR,2006,0.475842948258732
1,CO,2006,0.036550833639849
2,CO,2006,0.185007472106711
3,CO,2006,0.311390364441512
4,CO,2006,0.513325675926715
1,ID,2006,0.0451482322475663
2,ID,2006,0.228524481835688
3,ID,2006,0.38463485216196
4,ID,2006,0.634068898776396
1,KS,2006,0.02022985287092
2,KS,2006,0.102396404350657
3,KS,2006,0.17234576152611
4,KS,2006,0.284111246303872
1,KY,2006,0.0162021055050996
2,KY,2006,0.0820093629557249
3,KY,2006,0.13803185961954
4,KY,2006,0.227544926657261
1,LA,2006,0.0409182371874082
2,LA,2006,0.207113733702969
3,LA,2006,0.34859792571735
4,LA,2006,0.574662180592682
1,MA,2006,0.0506579538411258
2,MA,2006,0.256412755851
3,MA,2006,0.431574252556901
4,MA,2006,0.711448298355901
1,MD,2006,0.0429223907428352
2,MD,2006,0.217258054531783
3,MD,2006,0.365672067231342
4,MD,2006,0.602808829411627
1,ME,2006,0.0463552947360291
2,ME,2006,0.234634207864532
3,ME,2006,0.394918273653511
4,ME,2006,0.651021074857557
1,MN,2006,0.028822729859446
2,MN,2006,0.145890527232657
3,MN,2006,0.245551727863935
4,MN,2006,0.404790966820048
1,MO,2006,0.0244022378997348
2,MO,2006,0.123515550754895
3,MO,2006,0.207891886342713
4,MO,2006,0.342708880115644
1,NC,2006,0.0089100469143463
2,NC,2006,0.0450995255598832
3,NC,2006,0.0759080567953014
4,NC,2006,0.125134105008732
1,OH,2006,0.0277839081569119
2,OH,2006,0.140632376924811
3,OH,2006,0.236701613206381
4,OH,2006,0.390201590887477
1,OK,2006,0.0212753351622029
2,OK,2006,0.107688268217525
3,OK,2006,0.181252620256271
4,OK,2006,0.298794164595977
1,SD,2006,0.0531198739574375
2,SD,2006,0.26887413010406
3,SD,2006,0.452548280394351
4,SD,2006,0.746023892998577
1,TN,2006,0.0265992574665667
2,TN,2006,0.134636091540192
3,TN,2006,0.226609126292476
4,TN,2006,0.373564169636008
1,TX,2006,0.0359591648771038
2,TX,2006,0.182012652803858
3,TX,2006,0.306349714658384
4,TX,2006,0.505016186448211
1,VA,2006,0.0527949671891985
2,VA,2006,0.267229566249387
3,VA,2006,0.449780276852535
4,VA,2006,0.741460851070099
1,AR,2014,0.0624947203104226
2,AR,2014,0.316326307043293
3,AR,2014,0.532416139256442
4,AR,2014,0.877685714676115
1,CO,2014,0.069517762865965
2,CO,2014,0.351874479829213
3,CO,2014,0.592248092814797
4,CO,2014,0.976318432671239
1,ID,2014,0.0925021550113419
2,ID,2014,0.468213393754545
3,ID,2014,0.788060815368206
4,ID,2014,1.29911486325462
1,KS,2014,0.0681778676604205
2,KS,2014,0.345092401277783
3,KS,2014,0.580833019208567
4,KS,2014,0.957500732948319
1,KY,2014,0.0806379609956929
2,KY,2014,0.408161013963519
3,KY,2014,0.686985263036343
4,KY,2014,1.13249225014494
1,LA,2014,0.0623733676324854
2,LA,2014,0.315712062443573
3,LA,2014,0.531382289933574
4,LA,2014,0.87598141851583
1,MA,2014,0.114814721186693
2,MA,2014,0.581151760769377
3,MA,2014,0.978149998598024
4,MA,2014,1.6124760638904
1,MD,2014,0.0946877216145934
2,MD,2014,0.479275963663965
3,MD,2014,0.80668048319312
4,MD,2014,1.32980930554701
1,ME,2014,0.113614535891491
2,ME,2014,0.575076844675457
3,ME,2014,0.967925166514776
4,ME,2014,1.59562047219672
1,MN,2014,0.075504170070768
2,MN,2014,0.382175568851558
3,MN,2014,0.643248558072765
4,MN,2014,1.06039248020343
1,MO,2014,0.072130906776219
2,MO,2014,0.365101295771382
3,MO,2014,0.614510453300741
4,MO,2014,1.0130178381415
1,NC,2014,0.0572800276002062
2,NC,2014,0.289931365531518
3,NC,2014,0.487990201410952
4,NC,2014,0.804449747294416
1,OH,2014,0.0809846568240769
2,OH,2014,0.409915866381696
3,OH,2014,0.689938895815683
4,OH,2014,1.13736130107275
1,OK,2014,0.0720621889947364
2,OK,2014,0.364753470516119
3,OK,2014,0.613925020551647
4,OK,2014,1.01205275477363
1,SD,2014,0.086288780122251
2,SD,2014,0.436763474094469
3,SD,2014,0.735126726636057
4,SD,2014,1.21185324574526
1,TN,2014,0.0700421420832297
2,TN,2014,0.354528703105414
3,TN,2014,0.596715477531068
4,TN,2014,0.983682897153681
1,TX,2014,0.061127492323
