panel_id,is_gas
ID1-050001_ID,1
ID1-050005_ID,1
ID1-050006_ID,1
ID1-050008_ID,1
ID1-050010_ID,1
ID1-050012_ID,1
ID1-050015_ID,1
ID1-050016_ID,1
ID1-050017_ID,1
ID1-050023_ID,1
ID1-050025_ID,1
ID1-050028_ID,1
ID1-050033_ID,1
ID1-050034_ID,1
ID1-050035_ID,1
ID1-050036_ID,1
ID1-050038_ID,0
ID1-050041_ID,1
ID1-050042_ID,1
ID1-050043_ID,1
ID1-050049_ID,1
ID1-050050_ID,1
ID1-050051_ID,1
ID1-050052_ID,1
ID1-050054_ID,0
ID1-050055_ID,1
ID1-050602_ID,1
ID1-050603_ID,1
ID1-050604_ID,0
ID1-050606_ID,1
ID1-050607_ID,0
ID1-050608_ID,1
ID1-050609_ID,1
ID1-050610_ID,0
ID1-090001_ID,1
ID1-090002_ID,1
ID1-090003_ID,0
ID1-090004_ID,1
ID1-090005_ID,1
ID1-090006_ID,1
ID1-090007_ID,1
ID1-090008_ID,1
ID1-090009_ID,0
ID1-090010_ID,1
ID1-090011_ID,1
ID1-090013_ID,1
ID1-090014_ID,1
ID1-090015_ID,1
ID1-090016_ID,1
ID1-090017_ID,1
ID1-090018_ID,1
ID1-090019_ID,0
ID1-090020_ID,1
ID1-090021_ID,0
ID1-090022_ID,0
ID1-090023_ID,0
ID1-090024_ID,0
ID1-090025_ID,0
ID1-090026_ID,0
ID1-090027_ID,1
ID1-090029_ID,1
ID1-090030_ID,1
ID1-090031_ID,1
ID1-090032_ID,0
ID1-090033_ID,1
ID1-090034_ID,1
ID1-090036_ID,1
ID1-090037_ID,1
ID1-090038_ID,1
ID1-090039_ID,1
ID1-090040_ID,0
ID1-090041_ID,1
ID1-090042_ID,1
ID1-090044_ID,1
ID1-090045_ID,1
ID1-090047_ID,1
ID1-090049_ID,1
ID1-090050_ID,1
ID1-090051_ID,1
ID1-090052_ID,0
ID1-090053_ID,1
ID1-090054_ID,1
ID1-090055_ID,1
ID1-090056_ID,1
ID1-090057_ID,1
ID1-090058_ID,1
ID1-090059_ID,1
ID1-090060_ID,1
ID1-090061_ID,1
ID1-090062_ID,1
ID1-090064_ID,1
ID1-090065_ID,1
ID1-090066_ID,1
ID1-090068_ID,1
ID1-090069_ID,1
ID1-090070_ID,1
ID1-090071_ID,1
ID1-090072_ID,1
ID1-090073_ID,1
ID1-090074_ID,1
ID1-090075_ID,1
ID1-090076_ID,1
ID1-090077_ID,1
ID1-090078_ID,1
ID1-090079_ID,1
ID1-090080_ID,1
ID1-090081_ID,1
ID1-090082_ID,1
ID1-090083_ID,1
ID1-090084_ID,1
ID1-090085_ID,1
