panel_id_i,panel_id_j,state,dist_m
01000009_AR,01000011_AR,AR,795.5
01000013_AR,01000014_AR,AR,1142.6
01000013_AR,01000019_AR,AR,520.4
01000014_AR,01000019_AR,AR,962.8
01000010_AR,01000022_AR,AR,608.1
01000009_AR,01000023_AR,AR,199.6
01000011_AR,01000023_AR,AR,993.8
01000013_AR,01000026_AR,AR,305.6
01000014_AR,01000026_AR,AR,967.3
01000019_AR,01000026_AR,AR,222.8
01000010_AR,01000028_AR,AR,781
01000022_AR,01000028_AR,AR,1332.6
01000013_AR,01000029_AR,AR,236.9
01000014_AR,01000029_AR,AR,1063.3
01000019_AR,01000029_AR,AR,287.5
01000026_AR,01000029_AR,AR,102.6
01000025_AR,01000032_AR,AR,1587.5
01000032_AR,01000033_AR,AR,35.4
01000010_AR,01000034_AR,AR,0
01000022_AR,01000034_AR,AR,608.1
01000028_AR,01000034_AR,AR,781
01000010_AR,01000035_AR,AR,699.8
01000022_AR,01000035_AR,AR,1088.6
01000028_AR,01000035_AR,AR,445.4
01000034_AR,01000035_AR,AR,699.8
01000010_AR,01000036_AR,AR,772.3
01000022_AR,01000036_AR,AR,1334.7
01000028_AR,01000036_AR,AR,45.2
01000034_AR,01000036_AR,AR,772.3
01000035_AR,01000036_AR,AR,480.9
01000010_AR,01000037_AR,AR,646.3
01000022_AR,01000037_AR,AR,1038
01000028_AR,01000037_AR,AR,451.4
01000034_AR,01000037_AR,AR,646.3
01000035_AR,01000037_AR,AR,54.3
01000036_AR,01000037_AR,AR,483.4
01000009_AR,01000038_AR,AR,1328.6
01000011_AR,01000038_AR,AR,1359.9
01000023_AR,01000038_AR,AR,1369.7
01000013_AR,01000042_AR,AR,567.2
01000014_AR,01000042_AR,AR,1296.1
01000019_AR,01000042_AR,AR,333.9
01000026_AR,01000042_AR,AR,406.5
01000029_AR,01000042_AR,AR,373.7
01000009_AR,01000043_AR,AR,540.2
01000011_AR,01000043_AR,AR,1329.3
01000022_AR,01000043_AR,AR,1563.5
01000023_AR,01000043_AR,AR,357.1
01000010_AR,01000044_AR,AR,670.4
01000022_AR,01000044_AR,AR,434.7
