rep,kappa_est,gamma_price_est,gamma_risk_est,kappa_true,gamma_price_true,gamma_risk_true,converged,iters,cond_num
1,20.9441706793522,-0.991751127209975,0.835075403533883,22,-1,0.6,TRUE,82,2618.80192323341
2,21.4398379060233,-0.909273591882637,0.884170783418335,22,-1,0.6,TRUE,481,2442.96480150263
3,22.0637581795922,-0.732980449721336,1.06215229747055,22,-1,0.6,TRUE,2098,2218.61761131373
4,21.6660632608225,-1.19402448881439,0.320816479138452,22,-1,0.6,TRUE,56,2483.21256526662
5,21.1499814451654,-1.3319104562524,0.24212708658853,22,-1,0.6,TRUE,72,2576.55314461605
6,22.4804414757107,-0.863384693520911,0.716002115756997,22,-1,0.6,TRUE,845,2333.8157790465
7,22.8298893633407,-0.822049157029172,0.794049768446667,22,-1,0.6,TRUE,257,2337.64902185194
8,22.3919638134669,-0.989584095308722,0.521203652541811,22,-1,0.6,TRUE,717,2508.00437567875
9,23.0168653161928,-0.946365835864158,0.392651164317767,22,-1,0.6,TRUE,993,2309.35789783954
10,20.3378063961104,-1.22932552045667,0.534417502711426,22,-1,0.6,TRUE,1032,2540.67137693842
11,21.2012003393063,-0.989659117733698,0.821476603223803,22,-1,0.6,TRUE,1985,2442.00204901359
12,22.2657735685775,-1.14155590530476,0.294366177789569,22,-1,0.6,TRUE,161,2463.62317958122
13,22.5738598109134,-1.14495811324547,0.246715730059489,22,-1,0.6,TRUE,2254,2249.12205616227
14,22.6123741531926,-0.789726583776799,0.839030764298757,22,-1,0.6,TRUE,3330,2509.17791782655
15,21.9214780459352,-0.924130231403476,0.804701854664419,22,-1,0.6,TRUE,282,2167.67282212118
16,21.1298119047148,-1.15122803939275,0.510380011542643,22,-1,0.6,TRUE,159,2573.3578553112
17,22.3996124213825,-0.975425222810278,0.509947100622156,22,-1,0.6,TRUE,72,2606.8346189108
18,21.8286031935056,-0.801620766917894,0.97017726895945,22,-1,0.6,TRUE,1524,2342.34201753464
19,21.9843303053932,-0.928667040844082,0.700003460751091,22,-1,0.6,TRUE,440,2491.24022962957
20,20.6678467506041,-1.2924111452655,0.437368773520205,22,-1,0.6,TRUE,271,2313.86594310371
21,22.7591054948142,-0.971263490809041,0.466956676641242,22,-1,0.6,TRUE,464,2560.71251409458
22,22.4800851075817,-0.857108882992664,0.66970662558794,22,-1,0.6,TRUE,275,2513.07602208161
23,22.1416085523355,-0.865243173344338,0.810109682685109,22,-1,0.6,TRUE,111,2682.04530668255
24,21.8776150139958,-0.75163736969407,1.08024101012978,22,-1,0.6,TRUE,1098,2471.67935362147
25,22.092537822508,-1.17844320794202,0.282457911605357,22,-1,0.6,TRUE,655,2409.15100686783
26,22.5078618853055,-0.823311557700824,0.797337503868131,22,-1,0.6,TRUE,387,2377.73817861644
27,23.4442024109796,-0.804090796310426,0.622357095558165,22,-1,0.6,TRUE,1180,2383.86754282876
28,21.6288311665963,-0.911390034858878,0.822944047056418,22,-1,0.6,TRUE,1056,2368.66446593811
29,22.0444175621257,-0.841601929047469,0.867226249632552,22,-1,0.6,TRUE,689,2324.41851130044
30,21.9628182016145,-0.963057359985942,0.601605985815914,22,-1,0.6,TRUE,2924,2410.69853035487
31,22.5185985722636,-0.878531859318474,0.647734747354336,22,-1,0.6,TRUE,101,2313.87967816144
32,23.0761827287298,-1.06407689355153,0.320921306505017,22,-1,0.6,TRUE,155,2339.51574769001
33,21.2799651668798,-1.02430138951807,0.788890293302166,22,-1,0.6,TRUE,1105,2437.7680175445
34,22.4647077754564,-1.01707425729873,0.442078194417638,22,-1,0.6,TRUE,17,2409.38868152328
35,22.2400396991253,-1.05766695752526,0.448160139528591,22,-1,0.6,TRUE,1834,2173.28767248025
36,22.5183839566048,-0.976836244639571,0.515045092886227,22,-1,0.6,TRUE,829,2255.45410760927
37,20.823215652249,-1.23556103617516,0.483591378018362,22,-1,0.6,TRUE,3633,2563.49093548297
38,21.6446952664166,-0.974315198483422,0.712211514202828,22,-1,0.6,TRUE,1434,2424.32226706211
39,21.5770921467711,-1.07920334297658,0.575724661497911,22,-1,0.6,TRUE,3441,2294.18794498926
40,21.8805472262205,-1.09861994815854,0.483241509387901,22,-1,0.6,TRUE,238,2384.53514554937
41,22.2269792265655,-0.907278444605443,0.709444338089561,22,-1,0.6,TRUE,1311,2274.82519238543
42,20.8029435612058,-0.874671818148794,1.0875453348539,22,-1,0.6,TRUE,138,2397.64125103688
43,21.5845065694346,-1.20693009756831,0.408938421814134,22,-1,0.6,TRUE,2518,2232.34862972146
44,21.77056232935,-0.980402830278031,0.706375218816373,22,-1,0.6,TRUE,3346,2305.74939499635
45,21.4279440287356,-0.977573048463224,0.774379627417934,22,-1,0.6,TRUE,76,2465.58306045562
46,23.2021190533417,-1.19254185989261,-0.0221339826428821,22,-1,0.6,TRUE,249,2549.95204897729
47,22.3206351180585,-1.09555290048655,0.41472827574108,22,-1,0.6,TRUE,413,2426.74698368671
48,23.000943680645,-0.820432616177177,0.677476605474021,22,-1,0.6,TRUE,2296,2283.13486262728
49,22.485899803661,-1.22426609526172,0.0673549687515727,22,-1,0.6,TRUE,214,2496.21974330071
50,20.6746573945952,-1.28594980612066,0.500080806702444,22,-1,0.6,TRUE,1833,2103.85409998743
51,23.1910158831437,-1.01731854811687,0.292561033601684,22,-1,0.6,TRUE,1525,2363.92135963966
52,20.5707074901871,-1.06999357745248,0.832807926170341,22,-1,0.6,TRUE,2081,2329.45276251231
53,22.3863172918154,-0.889431493990065,0.766856727121485,22,-1,0.6,TRUE,1090,2285.02470952579
54,22.6773163118428,-0.791514630590485,0.803995761519255,22,-1,0.6,TRUE,1090,2499.75521925233
55,23.0082457766815,-0.956524662529915,0.467368148466608,22,-1,0.6,TRUE,168,2130.71761755291
56,22.3974654905039,-1.03261820821413,0.451705442547652,22,-1,0.6,TRUE,87,2709.93959369648
57,22.8179916959654,-0.957575747969474,0.438811214368001,22,-1,0.6,TRUE,2182,2497.32918760971
58,22.438355957178,-1.05244735641951,0.41387681418646,22,-1,0.6,TRUE,211,2380.92367974638
59,22.0610783412016,-0.879414487853352,0.764386505985772,22,-1,0.6,TRUE,2056,2499.70644507517
60,22.9745481396648,-0.856399381947441,0.584846412848549,22,-1,0.6,TRUE,195,2717.96625015026
61,22.6776240540251,-1.01858050956068,0.394525688482851,22,-1,0.6,TRUE,28,2423.71106278399
62,21.8934849462901,-1.2121484846954,0.275368298938482,22,-1,0.6,TRUE,165,2209.55433268717
63,23.3756524307933,-0.956167078301062,0.346984198289888,22,-1,0.6,TRUE,300,2250.08258136632
64,24.2785173417605,-0.882667294058113,0.277139826057967,22,-1,0.6,TRUE,1302,2269.33992456745
65,21.7817979196556,-1.0354661391704,0.564392681147277,22,-1,0.6,TRUE,563,2308.53810553798
66,21.8538721368291,-0.931392148466401,0.728790366733504,22,-1,0.6,TRUE,3512,2453.80325551486
67,21.3143411998261,-0.618334030352061,1.41554150096911,22,-1,0.6,TRUE,138,2480.73866085026
68,21.9562440072087,-0.918736101597293,0.743599110073971,22,-1,0.6,TRUE,34,2503.7433709033
69,22.5101379079609,-1.06933997981821,0.369002581273223,22,-1,0.6,TRUE,1449,2652.73000134911
70,21.690177353334,-0.968365003632948,0.695046446698575,22,-1,0.6,TRUE,3020,2341.49276716821
71,21.7740612050436,-0.931913964820161,0.78206288341678,22,-1,0.6,TRUE,126,2445.53658752024
72,21.1378006319118,-1.05567202004486,0.68079280147061,22,-1,0.6,TRUE,2518,2616.36355765632
73,20.9449565515246,-1.04081520228673,0.77833918898153,22,-1,0.6,TRUE,1254,2514.30778241998
74,22.3398336201862,-0.641320707302297,1.20737626627992,22,-1,0.6,TRUE,49,2354.29794346252
75,21.6955121365155,-1.00149989186169,0.647651186208856,22,-1,0.6,TRUE,209,2368.25961634095
76,23.1995502445914,-0.965041887975378,0.400858757607864,22,-1,0.6,TRUE,136,2358.05156081525
77,21.8887388458393,-0.944773431400074,0.727786881486152,22,-1,0.6,TRUE,40,2499.39411719321
78,21.3726591876033,-1.13530478758669,0.58669096499226,22,-1,0.6,TRUE,88,2358.53966626219
79,22.2287936944425,-1.11024649475077,0.366240379091807,22,-1,0.6,TRUE,560,2187.82737975174
80,22.8000987023221,-1.1579011910401,0.190828861549269,22,-1,0.6,TRUE,200,2242.75555678701
81,21.5100270584806,-1.00430070561548,0.723073921340131,22,-1,0.6,TRUE,46,2533.79908636465
82,21.5798582419979,-1.15276279831246,0.485875112452547,22,-1,0.6,TRUE,3074,2221.07481695225
83,21.5319056672513,-1.03652250333502,0.676933480343127,22,-1,0.6,TRUE,206,2358.02198160823
84,20.4734349423794,-0.989333991113999,0.918603100860439,22,-1,0.6,TRUE,59,2832.40758856294
85,22.2254640839838,-0.826942175566531,0.860174116201506,22,-1,0.6,TRUE,306,2373.39420349534
86,21.6277187197202,-0.962012064141854,0.705466906243902,22,-1,0.6,TRUE,49,2574.08133695426
