rep,kappa_exit_est,K_est,K_log_est,gamma_price_est,gamma_risk_est,kappa_exit_true,K_true,gamma_price_true,gamma_risk_true,converged,n_iter,log_lik,cond_num,n_obs,maintain_sh,exit_sh,replace_sh
1,15.0699059501896,5.94887009368631,1.78320130130342,-1.0894155768924,0.58846885486085,15,6,-1,0.6,TRUE,27,-5456.05151959933,11553.7598090547,13796,0.848651783125544,0.140547984923166,0.0108002319512902
2,14.4093502754796,6.10557972234564,1.80920306166956,-1.01264255774733,0.613227135165594,15,6,-1,0.6,TRUE,23,-5520.70391411948,12617.9017028279,14579,0.857603402153783,0.130873173743055,0.0115234241031621
3,15.0945246143049,5.90150819006788,1.77520794368029,-0.99635192338096,0.592155549963947,15,6,-1,0.6,TRUE,29,-5538.78585462968,12041.4316749908,13992,0.851057747284162,0.137221269296741,0.0117209834190966
4,14.5603078188106,5.8994171070398,1.7748535506141,-1.13987122959618,0.611462643170143,15,6,-1,0.6,TRUE,31,-5379.94818169362,11963.3263419192,13370,0.844128646222887,0.143904263275991,0.0119670905011219
5,15.6520883377968,6.10168754429781,1.80856537952585,-0.9035469926902,0.58002938099552,15,6,-1,0.6,TRUE,10,-5401.62499348605,11820.8023628317,13765,0.85027243007628,0.140937159462405,0.00879041046131493
6,15.2459844421435,5.85633974251282,1.76752479111562,-1.00340123942385,0.587218909489366,15,6,-1,0.6,TRUE,9,-5496.22731874601,11909.3965244124,14107,0.853264336854044,0.135110228964344,0.011625434181612
7,14.028254047773,6.07422700832095,1.80405473970208,-1.2156652857945,0.61928579933836,15,6,-1,0.6,TRUE,5,-5389.65362776154,12929.545840943,13520,0.846523668639053,0.141937869822485,0.0115384615384615
8,14.9644913914318,6.02454789022629,1.79584243759456,-0.949253123916921,0.606093065778565,15,6,-1,0.6,TRUE,5,-5488.553293332,12460.0980626242,13888,0.849654377880184,0.139184907834101,0.0111607142857143
9,15.090907637989,5.91176116211032,1.77694378399871,-0.965277096990273,0.594505454824457,15,6,-1,0.6,TRUE,5,-5565.7351509859,11624.3267875113,14580,0.857818930041152,0.130589849108368,0.0115912208504801
10,14.5739787616393,6.16570517526901,1.81900251373582,-0.855921195472146,0.638190548823743,15,6,-1,0.6,TRUE,15,-5421.20522329599,12080.883008398,14023,0.852242744063325,0.137417100477786,0.010340155458889
11,15.6224643220869,5.9411672484948,1.78190562055029,-0.83477151435374,0.597961847035023,15,6,-1,0.6,TRUE,18,-5383.36626408362,11205.7117079229,13552,0.847771546635183,0.141971664698937,0.0102567886658796
12,15.1392825718264,5.83506348309595,1.7638851453873,-1.18305323309675,0.570850470665057,15,6,-1,0.6,TRUE,5,-5581.31498412748,11830.0330965721,14404,0.855317967231325,0.133365731741183,0.0113163010274924
13,14.8710277147414,5.92458507399364,1.77911065486329,-0.983593772661651,0.618193166258278,15,6,-1,0.6,TRUE,5,-5414.2248424933,11750.9659924602,13475,0.845491651205937,0.142857142857143,0.0116512059369202
14,14.7641006860483,5.97664656272302,1.78785963520479,-1.03998487294742,0.603138809782934,15,6,-1,0.6,TRUE,7,-5468.56732357307,11536.8707597709,14262,0.855139531622493,0.133782078249895,0.0110783901276118
15,14.3696703883996,5.96159449467456,1.78533797796029,-1.15680459631527,0.61580490866471,15,6,-1,0.6,TRUE,33,-5549.68207606686,12352.2769440887,14076,0.851094060812731,0.136686558681444,0.0122193805058255
16,15.0913034836521,5.88487688154883,1.77238581977103,-1.02848128014018,0.583646255207932,15,6,-1,0.6,TRUE,5,-5661.03089147491,12396.6345662133,14840,0.859636118598383,0.128436657681941,0.0119272237196766
17,14.5879285468871,6.15074342305955,1.81657295631111,-1.10647471450921,0.600341463949773,15,6,-1,0.6,TRUE,29,-5411.3525079537,12748.8406962571,13972,0.852633839106785,0.137274549098196,0.0100916117950186
18,14.6095558854673,6.03452730039139,1.79749752511752,-1.18724449058215,0.590364944765048,15,6,-1,0.6,TRUE,12,-5436.214735502,12296.981114906,14003,0.852531600371349,0.136470756266514,0.0109976433621367
19,14.9572706444797,5.84913068578062,1.76629304948032,-1.04224247843197,0.596989753023234,15,6,-1,0.6,TRUE,30,-5608.94705324089,11827.381119506,14307,0.853428391696373,0.13440972950304,0.0121618788005871
20,14.4893313770259,5.98876624816084,1.78988542232541,-1.03546975967759,0.630093821002533,15,6,-1,0.6,TRUE,45,-5439.19600589827,11961.1501098033,13771,0.848086558710333,0.14036743882071,0.0115460024689565
21,15.5507780030952,5.74260323341352,1.74791263250504,-0.831604167346166,0.594874749758742,15,6,-1,0.6,TRUE,28,-5543.49041888752,11662.5402579545,14074,0.851996589455734,0.135569134574392,0.0124342759698735
22,14.9640555954364,5.98493079087895,1.78924477518016,-1.00941362041897,0.603316508327651,15,6,-1,0.6,TRUE,17,-5458.59490182557,11586.6178752971,13979,0.85127691537306,0.137992703340725,0.010730381286215
23,15.1253392964878,6.00113521946847,1.79194865457612,-0.958822525480213,0.598774076972837,15,6,-1,0.6,TRUE,7,-5400.06956518245,11858.9350940268,13656,0.848125366139426,0.141329818394845,0.0105448154657293
24,15.3659593583812,5.91006358141867,1.77665658963741,-1.0058774687731,0.587151003633776,15,6,-1,0.6,TRUE,63,-5434.57908121542,11509.3448845718,13686,0.848823615373374,0.140362414145842,0.0108139704807833
25,15.1201494556816,6.04396042395734,1.79905949640053,-1.00004092016231,0.590951965622427,15,6,-1,0.6,TRUE,9,-5389.7539505351,11949.943939346,13769,0.850315927082577,0.139588931658073,0.0100951412593507
26,15.8466027228612,5.81554191626081,1.7605339744506,-0.84961876832974,0.590838792963114,15,6,-1,0.6,TRUE,23,-5468.94983334785,10931.7387824641,13503,0.845145523217063,0.143819891875879,0.0110345849070577
27,15.0938725631451,5.94723807033857,1.78292692192901,-0.763593790070712,0.629273126365953,15,6,-1,0.6,TRUE,8,-5555.75160417167,11575.6143492914,14593,0.857534434317824,0.131295826766258,0.0111697389159186
28,14.3145857576317,6.22343638255675,1.82832222727389,-1.17017438181453,0.597863785547502,15,6,-1,0.6,TRUE,9,-5379.29204873117,12834.9469720002,13981,0.853014805807882,0.137043129962091,0.00994206423002647
29,15.058012183568,6.01820112113129,1.79478839757818,-1.11234653832251,0.584720665262252,15,6,-1,0.6,TRUE,5,-5439.8847403629,11767.3215158129,13868,0.850519180847995,0.139241419094318,0.0102394000576868
30,14.8883894729893,6.13875797498033,1.81462243749168,-0.981248688283797,0.610565622092194,15,6,-1,0.6,TRUE,6,-5369.09562519235,12268.1743477736,13662,0.848631239935588,0.14163372859025,0.00973503147416191
