from,to,N,frac
Q1,Q1,536628,0.999236553093077
Q1,Q2,276,0.000513930112952901
Q1,Q3,81,0.000150827315757917
Q1,Q4,53,9.86894782119701e-05
Q2,Q1,962,0.0015125048936294
Q2,Q2,633023,0.995270670769192
Q2,Q3,872,0.00137100235680336
Q2,Q4,1174,0.00184582198037517
Q3,Q1,274,0.000572258017355709
Q3,Q2,1315,0.00274642077672539
Q3,Q3,474853,0.991746117939453
Q3,Q4,2363,0.00493520326646547
Q4,Q1,221,0.00045139718663129
Q4,Q2,1204,0.00245919553259762
Q4,Q3,2143,0.00437712294547898
Q4,Q4,486023,0.992712284335292
