panel_id,panel_year,n_active,sw,fac_mixed,age_rank,cap_rank,is_oldest,is_smallest
01000038_AR,2007,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
01000040_AR,1990,2,TRUE,FALSE,1,1,TRUE,FALSE
01000043_AR,1993,2,TRUE,FALSE,1,1,TRUE,FALSE
01000064_AR,1986,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
01000065_AR,1993,3,TRUE,FALSE,0.5,0,TRUE,TRUE
01000078_AR,1992,3,TRUE,FALSE,0.5,0.75,TRUE,FALSE
01000091_AR,1998,4,TRUE,FALSE,1,0,TRUE,TRUE
01001633_AR,1996,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
0101116_OK,1986,4,TRUE,FALSE,0.333333333333333,0.666666666666667,FALSE,FALSE
0104634_OK,1995,3,TRUE,FALSE,0.75,0.5,TRUE,FALSE
0104634_OK,2010,2,TRUE,FALSE,0,1,FALSE,FALSE
0110553_OK,1998,3,TRUE,FALSE,1,0,TRUE,TRUE
0112369_OK,1990,2,TRUE,FALSE,0.5,1,TRUE,FALSE
02000005_AR,1988,2,TRUE,FALSE,0.5,0,TRUE,TRUE
02000012_AR,1993,3,TRUE,FALSE,0,0,FALSE,TRUE
02000038_AR,1988,4,TRUE,FALSE,0.666666666666667,0.666666666666667,TRUE,FALSE
02000050_AR,1997,2,TRUE,FALSE,1,0.5,TRUE,TRUE
02000051_AR,1988,4,TRUE,FALSE,0,0,FALSE,TRUE
02000058_AR,1990,2,TRUE,FALSE,1,0,TRUE,TRUE
02000076_AR,1996,4,TRUE,FALSE,0,0,FALSE,TRUE
02000094_AR,1993,4,TRUE,FALSE,1,0,TRUE,TRUE
02001623_AR,1997,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
0204368_OK,1988,6,TRUE,FALSE,1,0.4,TRUE,FALSE
0207706_OK,1989,3,TRUE,FALSE,1,0,TRUE,TRUE
0211321_OK,2000,2,TRUE,FALSE,0,1,FALSE,FALSE
03000003_AR,1991,2,TRUE,FALSE,1,0.5,TRUE,TRUE
03000004_AR,1996,2,TRUE,FALSE,0,1,FALSE,FALSE
03000019_AR,1990,3,TRUE,FALSE,0,0,FALSE,TRUE
03000019_AR,1992,2,TRUE,FALSE,0,0.5,FALSE,TRUE
03000033_AR,1993,2,TRUE,FALSE,0,1,FALSE,FALSE
03000040_AR,1992,2,TRUE,FALSE,0.5,0.5,TRUE,TRUE
03000045_AR,1988,3,TRUE,FALSE,0.5,1,TRUE,FALSE
03000058_AR,1994,5,TRUE,FALSE,1,0.375,TRUE,FALSE
03000058_AR,1998,5,TRUE,FALSE,0.625,0.875,FALSE,FALSE
03000065_AR,1994,3,TRUE,FALSE,0,0.25,FALSE,TRUE
03000067_AR,1996,3,TRUE,FALSE,0,0,FALSE,TRUE
03000092_AR,1998,2,TRUE,FALSE,0.5,0,TRUE,TRUE
03001621_AR,1995,3,TRUE,FALSE,0.5,0.75,TRUE,FALSE
0302547_OK,1989,3,TRUE,FALSE,1,0.25,TRUE,TRUE
0306412_OK,2016,3,TRUE,FALSE,0.5,0,TRUE,TRUE
04000014_AR,1989,2,TRUE,FALSE,0,1,FALSE,FALSE
04000027_AR,1998,2,TRUE,FALSE,1,0,TRUE,TRUE
04000044_AR,1992,3,TRUE,FALSE,0.75,0,TRUE,TRUE
04000070_AR,1989,2,TRUE,FALSE,0,1,FALSE,FALSE
04000091_AR,1995,6,TRUE,FALSE,0.5,0.4,TRUE,FALSE
04000093_AR,2002,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
04000116_AR,1996,3,TRUE,FALSE,0,0.5,FALSE,TRUE
04000123_AR,1992,5,TRUE,FALSE,0.5,0,TRUE,TRUE
04000130_AR,2002,2,TRUE,FALSE,1,0,TRUE,TRUE
04000136_AR,1995,5,TRUE,FALSE,0.25,1,FALSE,FALSE
04000139_AR,1996,3,TRUE,FALSE,0,0,FALSE,TRUE
04000168_AR,1989,2,TRUE,FALSE,1,0,TRUE,TRUE
04000185_AR,1989,3,TRUE,FALSE,0.5,0,TRUE,TRUE
04001619_AR,2001,4,TRUE,FALSE,0.5,0,TRUE,TRUE
04001644_AR,2010,3,TRUE,FALSE,0.5,0.75,TRUE,FALSE
04001724_AR,1996,2,TRUE,FALSE,0.5,0,TRUE,TRUE
04001724_AR,2010,2,TRUE,TRUE,1,1,TRUE,FALSE
0405938_OK,1989,3,TRUE,FALSE,1,1,TRUE,FALSE
0407484_OK,1987,4,TRUE,FALSE,0.5,0,TRUE,TRUE
0407709_OK,1989,3,TRUE,FALSE,1,0,TRUE,TRUE
0410426_OK,1986,3,TRUE,FALSE,0.5,0.5,TRUE,TRUE
0412220_OK,1998,3,TRUE,FALSE,1,0,TRUE,TRUE
