seed,N_facilities,T_periods,n_obs,kappa_start,K_log_start,gp_start,gr_start,kappa_true,K_true,gp_true,gr_true,kappa_est,K_est,K_log_est,gp_est,gr_est,converged,n_iter,log_lik,maintain_sh,exit_sh,replace_sh,truth_label,start_label,rep
1001,2000,30,49373,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.095935230806,3.96296451090936,1.3769923590608,-1.0213689393094,0.593676833198414,TRUE,6,-12316.8309966898,0.926194478763697,0.0114435015089219,0.0623620197273814,truth1,warm,1
1001,2000,30,49373,10,2.30258509299405,-1,1,8,4,-1,0.6,8.09592422762566,3.96296306675037,1.37699199464692,-1.02138261661722,0.59367576985852,TRUE,6,-12316.8309948438,0.926194478763697,0.0114435015089219,0.0623620197273814,truth1,mid,1
1001,2000,30,49373,20.8813430648297,3.6068190944628,-2.1359157813713,0.667918507009745,8,4,-1,0.6,8.09593612397555,3.96296430013973,1.37699230587596,-1.02136871926616,0.593676826608475,TRUE,6,-12316.8309967059,0.926194478763697,0.0114435015089219,0.0623620197273814,truth1,cold,1
1002,2000,30,49854,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.14935101058779,3.94416876974305,1.37223822734186,-0.992340883551684,0.593022211982947,TRUE,5,-12372.7221266548,0.926284751474305,0.010430456934248,0.063284791591447,truth1,warm,2
1002,2000,30,49854,10,2.30258509299405,-1,1,8,4,-1,0.6,8.1509822275812,3.94386236779761,1.37216053952845,-0.992619059582912,0.592947552343182,TRUE,5,-12372.7221457745,0.926284751474305,0.010430456934248,0.063284791591447,truth1,mid,2
1002,2000,30,49854,-3.63477038219571,1.83220265884523,-3.57740483619273,1.00775248277932,8,4,-1,0.6,8.15073045981994,3.94391446656337,1.37217374952839,-0.992607632857973,0.592959975701099,TRUE,5,-12372.7221333252,0.926284751474305,0.010430456934248,0.063284791591447,truth1,cold,2
1003,2000,30,49495,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.94914334793124,4.01707916180364,1.39055506188042,-1.09178903657426,0.584372535847135,TRUE,5,-12243.3293472119,0.926901707243156,0.0114354985352056,0.0616627942216385,truth1,warm,3
1003,2000,30,49495,10,2.30258509299405,-1,1,8,4,-1,0.6,7.94303638663788,4.01742868328086,1.39064206695507,-1.09328922007081,0.584417761912245,TRUE,5,-12243.3289536987,0.926901707243156,0.0114354985352056,0.0616627942216385,truth1,mid,3
1003,2000,30,49495,26.6184475831687,3.58536169703254,-3.77948957402259,-0.0661154575645924,8,4,-1,0.6,7.94263079447322,4.01747191435453,1.39065282777859,-1.09329684850478,0.584433738345054,TRUE,5,-12243.3289508222,0.926901707243156,0.0114354985352056,0.0616627942216385,truth1,cold,3
1004,2000,30,49386,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,6.87865426968507,4.10359054966844,1.41186233429194,-1.166954829209,0.618716331518672,TRUE,6,-12083.582272856,0.926902360992994,0.0111772567124286,0.0619203822945774,truth1,warm,4
1004,2000,30,49386,10,2.30258509299405,-1,1,8,4,-1,0.6,6.87701073661204,4.10382623033797,1.41191976543646,-1.16706511095089,0.618758163196851,TRUE,6,-12083.5822706587,0.926902360992994,0.0111772567124286,0.0619203822945774,truth1,mid,4
1004,2000,30,49386,27.9330460820347,3.4942929387164,-2.55975262867287,2.73892027698457,8,4,-1,0.6,6.88642919309805,4.10269784980457,1.41164476946265,-1.16626926160774,0.618535970761055,TRUE,6,-12083.5825419974,0.926902360992994,0.0111772567124286,0.0619203822945774,truth1,cold,4
1005,2000,30,49412,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.02856202951231,3.99699771476066,1.38554350799038,-1.02400170450565,0.595482302288194,TRUE,5,-12296.5841830481,0.926030114142314,0.011232089371003,0.0627377964866834,truth1,warm,5
1005,2000,30,49412,10,2.30258509299405,-1,1,8,4,-1,0.6,8.02772302073735,3.99723384739422,1.38560258374565,-1.02528028740741,0.595349221907867,TRUE,7,-12296.5829831439,0.926030114142314,0.011232089371003,0.0627377964866834,truth1,mid,5
1005,2000,30,49412,43.0040359683335,3.63041008436424,-3.46665489347652,0.0759160835295916,8,4,-1,0.6,8.33466022324061,3.96218783242553,1.37679635563962,-1.01249534381336,0.586555630996902,TRUE,8,-12296.8343968074,0.926030114142314,0.011232089371003,0.0627377964866834,truth1,cold,5
1006,2000,30,49116,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.65987744616782,4.02505199590244,1.39253782902372,-0.934328627641337,0.623745477369014,TRUE,5,-12325.9678831493,0.925116051795749,0.011869859109048,0.0630140890952032,truth1,warm,6
1006,2000,30,49116,10,2.30258509299405,-1,1,8,4,-1,0.6,7.66019448045528,4.02506608198449,1.3925413286201,-0.934414519483199,0.623723291487021,TRUE,5,-12325.9678830671,0.925116051795749,0.011869859109048,0.0630140890952032,truth1,mid,6
1006,2000,30,49116,25.5618118634447,2.40999067745551,-2.25232674274594,0.1538081523031,8,4,-1,0.6,7.6601631269678,4.02499159716259,1.39252282320688,-0.934399661503488,0.623730728383141,TRUE,5,-12325.9678763341,0.925116051795749,0.011869859109048,0.0630140890952032,truth1,cold,6
1007,2000,30,49965,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.87706601583464,4.00100470192847,1.38654550506273,-0.873443053754087,0.618295248023344,TRUE,6,-12317.3820927599,0.926988892224557,0.0106474532172521,0.0623636545581907,truth1,warm,7
1007,2000,30,49965,10,2.30258509299405,-1,1,8,4,-1,0.6,7.86419347267048,4.0016946994113,1.38671794624787,-0.880075126484033,0.618005187784207,TRUE,5,-12317.3866642004,0.926988892224557,0.0106474532172521,0.0623636545581907,truth1,mid,7
1007,2000,30,49965,3.01987823564559,2.44001061763716,-0.0161991529166698,0.947657125070691,8,4,-1,0.6,7.87026175930711,4.0019864567986,1.38679085204752,-0.873470238151768,0.618498440613197,TRUE,5,-12317.3815912896,0.926988892224557,0.0106474532172521,0.0623636545581907,truth1,cold,7
1008,2000,30,49171,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.99328270665503,3.97190154836272,1.37924495946152,-1.05226946962709,0.594365564210516,TRUE,5,-12281.5541934219,0.926237009619491,0.0117548961786419,0.062008094201867,truth1,warm,8
1008,2000,30,49171,10,2.30258509299405,-1,1,8,4,-1,0.6,7.98769397714952,3.97253911788293,1.37940546655028,-1.05235777447122,0.594542471514745,TRUE,5,-12281.5541215966,0.926237009619491,0.0117548961786419,0.062008094201867,truth1,mid,8
1008,2000,30,49171,-1.54147535096854,2.83013553930039,-2.42539714695886,2.7212589411065,8,4,-1,0.6,7.98946812254633,3.97235215020799,1.37935840041214,-1.05229569676145,0.594475237141812,TRUE,5,-12281.5541437486,0.926237009619491,0.0117548961786419,0.062008094201867,truth1,cold,8
1009,2000,30,48948,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.08411080101691,3.98059201342217,1.38143055532559,-1.11161213308639,0.586601471985641,TRUE,6,-12152.7444238775,0.926493421590259,0.0116245811881997,0.0618819972215412,truth1,warm,9
1009,2000,30,48948,10,2.30258509299405,-1,1,8,4,-1,0.6,8.08614944578561,3.98013845165276,1.38131660553872,-1.11263143117619,0.586430302665724,TRUE,7,-12152.7442898259,0.926493421590259,0.0116245811881997,0.0618819972215412,truth1,mid,9
1009,2000,30,48948,10.5085019255057,3.41579578651065,-1.22347505949438,0.810849622823298,8,4,-1,0.6,8.08748062684508,3.98000675601279,1.38128351678556,-1.11248614013957,0.586400198120735,TRUE,7,-12152.7443872684,0.926493421590259,0.0116245811881997,0.0618819972215412,truth1,cold,9
1010,2000,30,49400,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.62945016848184,3.95009092350205,1.37373859725622,-0.906114704332448,0.58451824840289,TRUE,5,-12197.8257498672,0.926983805668016,0.0110121457489879,0.062004048582996,truth1,warm,10
1010,2000,30,49400,10,2.30258509299405,-1,1,8,4,-1,0.6,8.62969286309155,3.95006928347645,1.37373311887983,-0.906081764755591,0.584514028329741,TRUE,5,-12197.8261981657,0.926983805668016,0.0110121457489879,0.062004048582996,truth1,mid,10
1010,2000,30,49400,13.8323420938104,2.47062777378728,0.283077213913202,2.33975013718009,8,4,-1,0.6,8.62948443490236,3.95007020030292,1.37373335098369,-0.906217871264385,0.584505364616595,TRUE,5,-12197.8256780913,0.926983805668016,0.0110121457489879,0.062004048582996,truth1,cold,10
1011,2000,30,49064,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.25058485705897,3.95723522010534,1.37554560468643,-0.981639081631111,0.596876831014409,TRUE,5,-12296.6110999598,0.92577042230556,0.0116990053807272,0.0625305723137127,truth1,warm,11
1011,2000,30,49064,10,2.30258509299405,-1,1,8,4,-1,0.6,8.24212313573266,3.95768769435072,1.3756599391533,-0.983628334729182,0.596947279512914,TRUE,5,-12296.6115125561,0.92577042230556,0.0116990053807272,0.0625305723137127,truth1,mid,11
1011,2000,30,49064,37.8489509830251,3.23555840185476,-4.24184450181201,-0.173244236968458,8,4,-1,0.6,8.25079517885865,3.95715278322873,1.37552477253198,-0.981871504458879,0.596845656451725,TRUE,7,-12296.6110744865,0.92577042230556,0.0116990053807272,0.0625305723137127,truth1,cold,11
1012,2000,30,49624,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.6371555866442,3.93518733266161,1.3699584875117,-0.897458095158959,0.589427296594212,TRUE,8,-12375.8032882212,0.926346122843785,0.0113654683217798,0.062288408834435,truth1,warm,12
1012,2000,30,49624,10,2.30258509299405,-1,1,8,4,-1,0.6,8.63734762822392,3.9349322844052,1.36989367318386,-0.897547646541472,0.589422157780656,TRUE,7,-12375.8035506426,0.926346122843785,0.0113654683217798,0.062288408834435,truth1,mid,12
1012,2000,30,49624,46.6565610142425,2.86960437985739,-3.39702265756205,0.147253383882344,8,4,-1,0.6,8.63714843403065,3.93519032127743,1.36995924697102,-0.897458939931464,0.589427460460008,TRUE,8,-12375.8032791074,0.926346122843785,0.0113654683217798,0.062288408834435,truth1,cold,12
1013,2000,30,49455,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.12160082016072,3.95293081410084,1.37445728203663,-1.08317224387201,0.585265049079663,TRUE,6,-12377.9101160056,0.925669800829036,0.0112829845313922,0.0630472146395713,truth1,warm,13
1013,2000,30,49455,10,2.30258509299405,-1,1,8,4,-1,0.6,8.12204056094342,3.95285476785816,1.37443804391237,-1.08386807058481,0.585154028092187,TRUE,5,-12377.9101877431,0.925669800829036,0.0112829845313922,0.0630472146395713,truth1,mid,13
1013,2000,30,49455,-5.39293147157878,1.63143302869091,-0.480287479236722,-0.499386671930552,8,4,-1,0.6,8.12309880453119,3.95298949777232,1.374472127537,-1.08326598113838,0.585180714076297,TRUE,6,-12377.9102490281,0.925669800829036,0.0112829845313922,0.0630472146395713,truth1,cold,13
1014,2000,30,49476,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.02632344088109,4.05220512078987,1.39926120721522,-1.05963121083738,0.584959396930139,TRUE,8,-12058.957070843,0.928187403993856,0.0111165009297437,0.0606960950764007,truth1,warm,14
1014,2000,30,49476,10,2.30258509299405,-1,1,8,4,-1,0.6,8.0263284756729,4.05220232637123,1.39926051761054,-1.05963068563388,0.584959371499817,TRUE,8,-12058.957070544,0.928187403993856,0.0111165009297437,0.0606960950764007,truth1,mid,14
1014,2000,30,49476,38.0468220962212,2.1095864906375,-4.60705063631758,1.95418678410351,8,4,-1,0.6,8.02632293382884,4.05220421424307,1.39926098349828,-1.05963087562219,0.58495948810623,TRUE,8,-12058.9570709457,0.928187403993856,0.0111165009297437,0.0606960950764007,truth1,cold,14
1015,2000,30,49203,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.15730548623557,4.01746464926458,1.39065101940341,-1.04677657421825,0.588357695992088,TRUE,5,-12089.2286185854,0.927423124606223,0.0114220677600959,0.0611548076336809,truth1,warm,15
1015,2000,30,49203,10,2.30258509299405,-1,1,8,4,-1,0.6,8.16016775038385,4.01715820872805,1.39057473939821,-1.04659917345663,0.588283068999413,TRUE,5,-12089.2285827879,0.927423124606223,0.0114220677600959,0.0611548076336809,truth1,mid,15
1015,2000,30,49203,38.5501099657267,3.67903187195463,-4.19942698115483,0.67510084901005,8,4,-1,0.6,8.15906785186946,4.01706857856736,1.3905524273169,-1.04738554803757,0.58823046665335,TRUE,5,-12089.2286675398,0.927423124606223,0.0114220677600959,0.0611548076336809,truth1,cold,15
1016,2000,30,49079,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.71991966482889,4.08860408191268,1.40820361153267,-1.00531844577196,0.603827140695112,TRUE,5,-12058.035832466,0.927280506937794,0.0118991829499379,0.060820310112268,truth1,warm,16
1016,2000,30,49079,10,2.30258509299405,-1,1,8,4,-1,0.6,7.71984087167965,4.08852126953579,1.40818335688979,-1.00544933583471,0.603821018655789,TRUE,5,-12058.0358240138,0.927280506937794,0.0118991829499379,0.060820310112268,truth1,mid,16
1016,2000,30,49079,-1.58288287464529,1.85907818302963,-2.7400191789493,2.14166100230068,8,4,-1,0.6,7.71987493679207,4.08849682652742,1.40817737842476,-1.00544298317081,0.603822041900479,TRUE,5,-12058.0358228885,0.927280506937794,0.0118991829499379,0.060820310112268,truth1,cold,16
1017,2000,30,49142,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.75807091772866,4.03739213725975,1.39559897296213,-1.01296123030468,0.604122072130323,TRUE,5,-12130.767108109,0.92708884457287,0.0114158967888975,0.0614952586382321,truth1,warm,17
1017,2000,30,49142,10,2.30258509299405,-1,1,8,4,-1,0.6,7.75692059608842,4.03793810018632,1.39573419044832,-1.01006465331597,0.604475206851316,TRUE,5,-12130.7659160697,0.92708884457287,0.0114158967888975,0.0614952586382321,truth1,mid,17
1017,2000,30,49142,0.308448607102037,3.09461545726148,-4.39277946203947,-0.122133867815137,8,4,-1,0.6,7.75995621801984,4.03709955620614,1.39552650250459,-1.01283494685852,0.604075918382678,TRUE,5,-12130.7671412005,0.92708884457287,0.0114158967888975,0.0614952586382321,truth1,cold,17
1018,2000,30,49032,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.08168151897619,4.01875879220705,1.39097309679787,-0.890674109099633,0.607037741564857,TRUE,6,-12215.8179536021,0.92637461249796,0.0117066405612661,0.0619187469407734,truth1,warm,18
1018,2000,30,49032,10,2.30258509299405,-1,1,8,4,-1,0.6,8.0842556368203,4.01861451803211,1.39093719597072,-0.890704158138473,0.606931978625739,TRUE,5,-12215.8180373143,0.92637461249796,0.0117066405612661,0.0619187469407734,truth1,mid,18
1018,2000,30,49032,20.7662459416315,3.76296301621003,0.153306307736784,0.376611644402146,8,4,-1,0.6,8.08425120472536,4.01864631088965,1.3909451073371,-0.890323993390137,0.606974445542205,TRUE,5,-12215.8180112673,0.92637461249796,0.0117066405612661,0.0619187469407734,truth1,cold,18
1019,2000,30,49171,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.74275406003541,4.03364298616596,1.39466993441723,-1.09379449140009,0.59387032316638,TRUE,6,-12117.2676833872,0.927152183197413,0.0114701755099551,0.0613776412926318,truth1,warm,19
1019,2000,30,49171,10,2.30258509299405,-1,1,8,4,-1,0.6,7.74436744618765,4.03348396321242,1.39463050948824,-1.09382192379628,0.593800269840226,TRUE,5,-12117.2677098089,0.927152183197413,0.0114701755099551,0.0613776412926318,truth1,mid,19
1019,2000,30,49171,36.7842705082148,1.584937209355,-4.64535316079855,-0.692351843230426,8,4,-1,0.6,7.74276293069845,4.0336104434488,1.39466186656181,-1.0937112167413,0.593877710539828,TRUE,5,-12117.2676872599,0.927152183197413,0.0114701755099551,0.0613776412926318,truth1,cold,19
1020,2000,30,48981,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.7689224708605,4.03758590875919,1.39564696603366,-0.909618890805646,0.621660577340512,TRUE,9,-12163.303039053,0.926216287948388,0.0118209101488332,0.0619628019027786,truth1,warm,20
1020,2000,30,48981,10,2.30258509299405,-1,1,8,4,-1,0.6,7.71392513939023,4.04411482092311,1.39726269366393,-0.908768666602533,0.623589205275661,TRUE,5,-12163.2933822123,0.926216287948388,0.0118209101488332,0.0619628019027786,truth1,mid,20
1020,2000,30,48981,42.4849289329723,3.91125037101408,-2.5133391963318,-0.528410972096026,8,4,-1,0.6,7.71082250074622,4.044519980277,1.39736287357419,-0.908500282291222,0.623728045490461,TRUE,5,-12163.2933788205,0.926216287948388,0.0118209101488332,0.0619628019027786,truth1,cold,20
1021,2000,30,49321,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.36910072297011,4.02229461760604,1.39185254018586,-0.90769302865143,0.593419086332223,TRUE,5,-11976.0916655532,0.928549704993816,0.0110297844731453,0.0604205105330387,truth1,warm,21
1021,2000,30,49321,10,2.30258509299405,-1,1,8,4,-1,0.6,8.08614496367312,4.05370377236569,1.39963097490263,-0.921505740597531,0.601326849505319,TRUE,5,-11975.8965254959,0.928549704993816,0.0110297844731453,0.0604205105330387,truth1,mid,21
1021,2000,30,49321,25.9404279338196,3.7781946196904,-4.56440164521337,1.19676281977445,8,4,-1,0.6,8.08805554198489,4.05359637672807,1.39960448133864,-0.921315355642049,0.601278257263449,TRUE,7,-11975.8965059658,0.928549704993816,0.0110297844731453,0.0604205105330387,truth1,cold,21
1022,2000,30,48535,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.0267090826851,4.00270468229553,1.38697030319345,-1.05738307400797,0.591887306239096,TRUE,5,-12209.3263224889,0.925435252910271,0.012527042340579,0.0620377047491501,truth1,warm,22
1022,2000,30,48535,10,2.30258509299405,-1,1,8,4,-1,0.6,8.02705496860049,4.00280325513881,1.38699492944929,-1.05729584840591,0.591880852231356,TRUE,5,-12209.3263099719,0.925435252910271,0.012527042340579,0.0620377047491501,truth1,mid,22
1022,2000,30,48535,5.0669303489849,2.8141071642481,-1.74516569357365,1.1474504172802,8,4,-1,0.6,8.02666482418513,4.00270255973914,1.38696977291277,-1.057389221093,0.591888081154531,TRUE,5,-12209.3263238242,0.925435252910271,0.012527042340579,0.0620377047491501,truth1,cold,22
1023,2000,30,49145,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.37272618955943,3.94245239011818,1.37180296371827,-1.0022803669884,0.587339587788296,TRUE,5,-12265.6135100558,0.926075897853291,0.0114965917183844,0.0624275104283244,truth1,warm,23
1023,2000,30,49145,10,2.30258509299405,-1,1,8,4,-1,0.6,8.36670991945413,3.94307069801662,1.3719597847415,-1.00255411526669,0.587514779100384,TRUE,5,-12265.6049888364,0.926075897853291,0.0114965917183844,0.0624275104283244,truth1,mid,23
1023,2000,30,49145,2.08725417032838,3.85191450152881,-0.59639888536185,2.71420549694449,8,4,-1,0.6,8.37032862055921,3.94269909521164,1.37186553831661,-1.00236032902857,0.587413466406972,TRUE,5,-12265.6100935663,0.926075897853291,0.0114965917183844,0.0624275104283244,truth1,cold,23
1024,2000,30,49938,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.22465670905264,3.9757806800157,1.38022112631106,-1.03031427415244,0.585918591930545,TRUE,5,-12196.7851474433,0.927870559493772,0.0105330609956346,0.0615963795105931,truth1,warm,24
1024,2000,30,49938,10,2.30258509299405,-1,1,8,4,-1,0.6,8.22617523834564,3.97554818917082,1.38016264782306,-1.03006058929782,0.585895775355885,TRUE,5,-12196.7852181772,0.927870559493772,0.0105330609956346,0.0615963795105931,truth1,mid,24
1024,2000,30,49938,37.2117680776864,2.87808226946928,0.0837606135755777,0.277874870225787,8,4,-1,0.6,8.22654344994798,3.97549992895122,1.38015050848774,-1.03000170676984,0.585889581960033,TRUE,5,-12196.7852375249,0.927870559493772,0.0105330609956346,0.0615963795105931,truth1,cold,24
1025,2000,30,48774,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.17317286488267,4.027107060283,1.39304826713375,-0.959590243919202,0.601672149423213,TRUE,12,-11943.3556834192,0.927666379628491,0.0117480624923115,0.0605855578791979,truth1,warm,25
1025,2000,30,48774,10,2.30258509299405,-1,1,8,4,-1,0.6,8.17142939379393,4.02724498613141,1.39308251590948,-0.959867134221212,0.601697255416389,TRUE,11,-11943.3556679413,0.927666379628491,0.0117480624923115,0.0605855578791979,truth1,mid,25
1025,2000,30,48774,22.9114950401709,3.03187677254367,-0.822859062347561,-0.595049465075135,8,4,-1,0.6,8.17878153395523,4.0265947444643,1.39292104220494,-0.958403903947128,0.601615706565294,TRUE,11,-11943.3559507456,0.927666379628491,0.0117480624923115,0.0605855578791979,truth1,cold,25
1026,2000,30,49731,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,7.48427119206202,4.05524225361886,1.40001042773576,-1.06028607580612,0.604352997615525,TRUE,7,-12117.9949989864,0.927469787456516,0.0108584182904024,0.0616717942530816,truth1,warm,26
1026,2000,30,49731,10,2.30258509299405,-1,1,8,4,-1,0.6,7.16160546017197,4.09020806219112,1.4085958397122,-1.07836264873671,0.613118649391369,TRUE,14,-12117.7369828932,0.927469787456516,0.0108584182904024,0.0616717942530816,truth1,mid,26
1026,2000,30,49731,-4.42406727001071,3.56538981982409,0.638172065839171,2.84848132357001,8,4,-1,0.6,7.48369743619425,4.0549761802531,1.39994481338319,-1.0609550404222,0.604301730444441,TRUE,10,-12117.9939437616,0.927469787456516,0.0108584182904024,0.0616717942530816,truth1,cold,26
1027,2000,30,49365,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.55378863899587,3.94691670738866,1.37293469369358,-0.916980810867191,0.590602188986596,TRUE,5,-12174.9604428652,0.926911779600932,0.0110807252101691,0.062007495188899,truth1,warm,27
1027,2000,30,49365,10,2.30258509299405,-1,1,8,4,-1,0.6,8.55336040678027,3.94695488177425,1.37294436559796,-0.916980634354706,0.590616601220069,TRUE,5,-12174.9598938319,0.926911779600932,0.0110807252101691,0.062007495188899,truth1,mid,27
1027,2000,30,49365,41.874770289287,3.11823485454038,-1.4710201472044,-0.476182388141751,8,4,-1,0.6,8.55350333175473,3.94695984748203,1.37294562370827,-0.917055568202504,0.59060139016833,TRUE,5,-12174.9600811925,0.926911779600932,0.0110807252101691,0.062007495188899,truth1,cold,27
1028,2000,30,49522,6.4,1.68629436111989,-0.8,0.72,8,4,-1,0.6,8.47315877074735,3.92711136959389,1.36790413516162,-0.952964686804252,0.590973005624265,TRUE,5,-12384.8704823073,0.926073260369129,0.0111465611243488,0.0627801785065224,truth1,warm,28
