s_idx,rho_state,w_state,A_bin,P_maintain,P_exit,P_replace,V_hat,h_vec,L_vec,P_vec
1,1,1,1,0.982185789451709,0.0156667978581297,0.00214741269016162,30.8555874312792,0.00447431387304739,65.3798378114697,0.0108845276070999
2,1,1,2,0.981823916975057,0.0159850484439053,0.00219103458103777,30.8354773051218,0.00459218964731866,65.128918578716,0.0123701527566555
3,1,1,3,0.978920188644529,0.0185387470580526,0.00254106429741803,30.6872681408794,0.00746510518077893,48.2468706203876,0.013180648634842
4,1,1,4,0.9729494822039,0.0237897151333429,0.00326080266275737,30.43787776834,0.0100675389802726,47.5164287781872,0.0131943947009222
5,1,1,5,0.970009280174451,0.0263754907270786,0.00361522909847069,30.3346959210285,0.0114041063956539,46.5377953060403,0.0129691027037128
6,1,1,6,0.972149435967684,0.0244933198553134,0.00335724417700291,30.4087306969736,0.0120263895136818,41.1903173233099,0.0126210699482891
7,1,1,7,0.975578671927958,0.0214774608896965,0.00294386718234521,30.5401270637791,0.0123590535085872,35.2028592395739,0.0118496376262442
8,1,1,8,0.978638872879752,0.0187861516348161,0.00257497548543214,30.6740111350342,0.0125726942355789,30.0665109486817,0.0101333407997465
9,1,2,1,0.978766389521405,0.0190650159291882,0.00216859454940722,30.6592760893942,0.0126526417678612,39.4579774648395,0.013631440243878
10,1,2,2,0.985192725587272,0.0132950033547568,0.00151227105797147,31.0197428411394,0.00680129854436652,33.5248774185577,0.0141654747545449
11,1,2,3,0.986226434767874,0.0123668671805439,0.00140669805158209,31.0921102232819,0.00730509643139559,26.6608817840385,0.0149299194520645
12,1,2,4,0.985945503447157,0.0126191069072677,0.00143538964557545,31.0719190315941,0.00898173016805061,22.741393269442,0.015493092977292
13,1,2,5,0.987848178092056,0.0109107529535381,0.001241068954406,31.2173823056881,0.00853568151452786,17.0307832403943,0.0158606286127125
14,1,2,6,0.987621114552552,0.0111146264305404,0.00126425901690781,31.1988691807796,0.00985825174553962,15.2345478560432,0.0167015190865902
15,1,2,7,0.985092578278789,0.0133849225907442,0.00152249913046684,31.013002224493,0.0101330487890738,21.36832303131,0.0199206075533656
16,1,2,8,0.978490804805628,0.0193124551012222,0.00219674009314953,30.6463808884635,0.0117414088502813,31.7907858109901,0.018023369375654
17,2,1,1,0.980950595403121,0.0168938800467942,0.00215552455008432,30.7801796892683,0.00447431387304739,65.3798378114697,0.0279808543914077
18,2,1,2,0.98055806964868,0.0172419897725909,0.00219994057872897,30.7597834435902,0.00459218964731866,65.128918578716,0.0297254812401182
19,2,1,3,0.977498223648333,0.0199556006378876,0.00254617571377912,30.6136212805889,0.00746510518077893,48.2468706203876,0.0307788381302914
20,2,1,4,0.971281450577347,0.0254689182854423,0.00324963113721054,30.3696723004086,0.0100675389802726,47.5164287781872,0.0306651625643102
21,2,1,5,0.968109461048937,0.0282819831416231,0.00360855580943986,30.2649061546005,0.0114041063956539,46.5377953060403,0.0315172702435111
22,2,1,6,0.970150768764907,0.0264716584400392,0.00337757279505362,30.3310564505188,0.0120263895136818,41.1903173233099,0.0328481170505162
23,2,1,7,0.973446496555335,0.0235488568545507,0.00300464659011461,30.4480538402308,0.0123590535085872,35.2028592395739,0.0349832115307912
24,2,1,8,0.976275311159097,0.0210401351594687,0.00268455368143407,30.5606993064786,0.0125726942355789,30.0665109486817,0.0377039157572529
25,2,2,1,0.977604906199251,0.0202201117321899,0.00217498206855924,30.6004533788181,0.0126526417678612,39.4579774648395,0.0269535605577841
26,2,2,2,0.984321084272972,0.0141562000436669,0.00152271568336079,30.9569784244114,0.00680129854436652,33.5248774185577,0.0278385133189219
27,2,2,3,0.985384291303176,0.0131962502825078,0.00141945841431638,31.0271983984239,0.00730509643139559,26.6608817840385,0.0288953849549002
28,2,2,4,0.985068430940848,0.0134814347016873,0.00145013435746463,31.0058175864589,0.00898173016805061,22.741393269442,0.029721509384991
29,2,2,5,0.986961879507569,0.0117718753705731,0.00126624512185807,31.141417874762,0.00853568151452786,17.0307832403943,0.0318590428963274
30,2,2,6,0.986672322797489,0.0120333107136316,0.00129436648887973,31.1194524212258,0.00985825174553962,15.2345478560432,0.033540566135793
31,2,2,7,0.984057040903183,0.0143945998685031,0.00154835922831415,30.9402779910453,0.0101330487890738,21.36832303131,0.0358874056418214
32,2,2,8,0.976634198298068,0.0210965457581363,0.00226925594379573,30.5580217993202,0.0117414088502813,31.7907858109901,0.0395690619749731
