panel_year,group,n_obs,maintain_sh,exit_sh,replace_sh,mean_premium
1999,TX_imputed_pre2006,22560,0.89906914893617,0.0905585106382979,0.0103723404255319,0.02093937849123
2000,TX_imputed_pre2006,21175,0.967272727272727,0.0287131050767414,0.00401416765053129,0.0221114294554651
2001,TX_imputed_pre2006,21009,0.968251701651673,0.0278452091960588,0.00390308915226808,0.0228756199550965
2002,TX_imputed_pre2006,20735,0.970098866650591,0.0258500120569086,0.0040511212925006,0.0235753199196201
2003,TX_imputed_pre2006,20403,0.969416262314365,0.0250943488702642,0.00548938881537029,0.0243012294837828
2004,TX_imputed_pre2006,20143,0.975028545896838,0.0201558854192523,0.00481556868391004,0.0250640796069151
2005,TX_imputed_pre2006,19913,0.977451915833877,0.0191834479987948,0.00336463616732788,0.0257949679885589
2006,TX_observed_2006+,19729,0.976075827462112,0.0204774697146333,0.00344670282325511,0.026539277378107
2007,TX_observed_2006+,19454,0.962784003289812,0.0337205716048114,0.00349542510537679,0.0272272354733133
2008,TX_observed_2006+,18965,0.973161086211442,0.0223569733720011,0.00448194041655682,0.028117710370773
2009,TX_observed_2006+,18629,0.976917708948414,0.0201835847334801,0.00289870631810618,0.0288917343702441
2010,TX_observed_2006+,18414,0.975724991854024,0.0213967633322472,0.00287824481372868,0.0295378568144654
2011,TX_observed_2006+,18196,0.979940646295889,0.0165420971642119,0.00351725653989888,0.0302273081892143
2012,TX_observed_2006+,18131,0.97986873310904,0.0150570845513209,0.00507418233963929,0.0308087370473326
2013,TX_observed_2006+,18080,0.979314159292035,0.0169800884955752,0.00370575221238938,0.0313580612882069
2014,TX_observed_2006+,18054,0.977124183006536,0.0186108341641741,0.00426498282928991,0.0328202785405202
2015,TX_observed_2006+,18020,0.978912319644839,0.0165371809100999,0.00455049944506104,0.0340108607550884
2016,TX_observed_2006+,18013,0.976516959973353,0.0187642258368956,0.00471881418975185,0.034759365285383
2017,TX_observed_2006+,17910,0.97465103294249,0.0194863204913456,0.00586264656616415,0.0355743448143877
2018,TX_observed_2006+,17754,0.976456009913259,0.0180804325785738,0.00546355750816717,0.0363671565148513
2019,TX_observed_2006+,17625,0.976170212765958,0.0179858156028369,0.00584397163120567,0.036528195353478
2020,TX_observed_2006+,17536,0.980554288321168,0.0148266423357664,0.00461906934306569,0.0372320684499904
1999,control,105333,0.916778217652588,0.0744970711932633,0.00872471115414922,0.00928906895274985
2000,control,100376,0.968428708057703,0.0287718179644537,0.00279947397784331,0.00952006953853511
2001,control,99135,0.973510869016997,0.0239168810208302,0.00257224996217279,0.00977604276996015
2002,control,98021,0.975505248875241,0.0220054886197856,0.00248926250497342,0.010858479305455
2003,control,96919,0.977022049340171,0.0204294307617701,0.0025485198980592,0.0108777484291006
2004,control,95916,0.977157095792152,0.0205909337336836,0.00225197047416489,0.0111937278451979
2005,control,94940,0.977954497577417,0.0198651780071624,0.00218032441542027,0.0138438024015168
2006,control,94113,0.975710050683752,0.0217398234037806,0.00255012591246693,0.0138695313081083
2007,control,92995,0.976192268401527,0.021420506478843,0.00238722511963009,0.0138554341631271
2008,control,91887,0.977113193378824,0.0206013908387476,0.00228541578242842,0.0139041725162428
2009,control,90705,0.977917424618268,0.0200650460283336,0.00201752935339838,0.0139151976186539
2010,control,89605,0.980112716924279,0.0178784666034261,0.00200881647229507,0.0140134032699068
2011,control,88624,0.982657068062827,0.015120057772161,0.00222287416501174,0.0138385527622314
2012,control,87966,0.982811540822591,0.0152445262942501,0.0019439328831594,0.0136609496851056
2013,control,87271,0.982835076944231,0.0151482164751177,0.00201670658065108,0.0134938272736648
2014,control,86692,0.984208462141835,0.0138421076915978,0.0019494301665667,0.0133334909795598
2015,control,86162,0.984552354866415,0.0130916181147141,0.00235602701887143,0.0131762992966737
2016,control,85643,0.983676424226148,0.0143269152178228,0.0019966605560291,0.0131539180084771
2017,control,85010,0.98281378661334,0.0138101399835314,0.00337607340312904,0.0130844959416539
2018,control,84242,0.987334108876807,0.011265164644714,0.00140072647847867,0.0130178117803471
2019,control,83551,0.991837320917763,0.00731289870857321,0.00084978037366399,0.0130523692116192
2020,control,83119,0.994164992360351,0.00508908913726104,0.000745918502388142,0.0130923916312756
