group,model_share,empirical_sh,gap
All cells | Maintain,0.976994454252579,0.976897887840682,-9.65664118969256e-05
All cells | Exit,0.0203061866972956,0.0203816912607026,7.55045634070507e-05
All cells | Replace,0.0026993590501251,0.00272042089861504,2.10618484899391e-05
FF regime | Maintain,0.977150170358158,0.97699411171557,-0.000156058642588164
FF regime | Exit,0.0201444919400106,0.0205016868129816,0.000357194872971013
FF regime | Replace,0.00270533770183152,0.00250420147144867,-0.000201136230382851
RB regime | Maintain,0.975855286367528,0.976193945575753,0.000338659208225289
RB regime | Exit,0.0214890924346043,0.0195038432115406,-0.00198524922306371
RB regime | Replace,0.00265562119786791,0.00430221121270628,0.00164659001483837
Single-walled | Maintain,0.975248467777945,0.974200036490795,-0.00104843128715071
Single-walled | Exit,0.0217890806355792,0.0241335865377037,0.0023445059021245
Single-walled | Replace,0.00296245158647546,0.00166637697150155,-0.00129607461497391
Double-walled | Maintain,0.984512772750537,0.988514991411231,0.00400221866069406
Double-walled | Exit,0.0139207598405127,0.00422581372482933,-0.0096949461156834
Double-walled | Replace,0.00156646740895005,0.00725919486393949,0.00569272745498944
