s_idx,rho_state,w_state,A_bin,model_maintain,model_exit,model_replace,emp_maintain,emp_exit,emp_replace,n_cell,regime,wall,res_maintain,res_exit,res_replace
1,1,1,1,0.982185789451709,0.0156667978581297,0.00214741269016162,0.982187586974673,0.0157999528998694,0.00201246012545762,46709,FF (controls / TX pre-99),Single / Mixed,1.79752296425306e-06,0.000133155041739722,-0.000134952564704003
2,1,1,2,0.981823916975057,0.0159850484439053,0.00219103458103777,0.98202022469617,0.0144797395891795,0.00350003571465015,97999,FF (controls / TX pre-99),Single / Mixed,0.000196307721113342,-0.00150530885472583,0.00130900113361238
3,1,1,3,0.978920188644529,0.0185387470580526,0.00254106429741803,0.969677458745691,0.026925617357615,0.00339692389669355,180163,FF (controls / TX pre-99),Single / Mixed,-0.0092427298988379,0.00838687029956245,0.000855859599275519
4,1,1,4,0.9729494822039,0.0237897151333429,0.00326080266275737,0.966314948573711,0.0309722730752588,0.00271277835103019,240344,FF (controls / TX pre-99),Single / Mixed,-0.00663453363018873,0.00718255794191585,-0.000548024311727175
5,1,1,5,0.970009280174451,0.0263754907270786,0.00361522909847069,0.967278809768174,0.0309819099178151,0.00173928031401061,255278,FF (controls / TX pre-99),Single / Mixed,-0.0027304704062765,0.00460641919073652,-0.00187594878446008
6,1,1,6,0.972149435967684,0.0244933198553134,0.00335724417700291,0.972802632141178,0.0260693073537581,0.00112806050506345,234030,FF (controls / TX pre-99),Single / Mixed,0.000653196173494797,0.00157598749844469,-0.00222918367193946
7,1,1,7,0.975578671927958,0.0214774608896965,0.00294386718234521,0.976230163499271,0.0228501857589993,0.000919650741729675,191377,FF (controls / TX pre-99),Single / Mixed,0.000651491571312723,0.00137272486930279,-0.00202421644061553
8,1,1,8,0.978638872879752,0.0187861516348161,0.00257497548543214,0.983266297890575,0.0164098868350831,0.000323815274342144,410728,FF (controls / TX pre-99),Single / Mixed,0.00462742501082303,-0.00237626479973305,-0.00225116021108999
9,1,2,1,0.978766389521405,0.0190650159291882,0.00216859454940722,0.997895420993176,0.00111418888596586,0.000990390120858544,64621,FF (controls / TX pre-99),Double-Walled,0.019129031471771,-0.0179508270432224,-0.00117820442854867
10,1,2,2,0.985192725587272,0.0132950033547568,0.00151227105797147,0.98983178345849,0.00381308120306603,0.00635513533844338,77103,FF (controls / TX pre-99),Double-Walled,0.00463905787121888,-0.00948192215169079,0.00484286428047192
11,1,2,3,0.986226434767874,0.0123668671805439,0.00140669805158209,0.985237154657158,0.00556652899982043,0.00919631634302132,77966,FF (controls / TX pre-99),Double-Walled,-0.000989280110715751,-0.00680033818072349,0.00778961829143923
12,1,2,4,0.985945503447157,0.0126191069072677,0.00143538964557545,0.982776626339551,0.00655516460211115,0.0106682090583378,62241,FF (controls / TX pre-99),Double-Walled,-0.00316887710760572,-0.00606394230515658,0.0092328194127623
13,1,2,5,0.987848178092056,0.0109107529535381,0.001241068954406,0.987764932562621,0.00537090558766859,0.00686416184971098,41520,FF (controls / TX pre-99),Double-Walled,-8.3245529435505e-05,-0.00553984736586946,0.00562309289530499
14,1,2,6,0.987621114552552,0.0111146264305404,0.00126425901690781,0.99196354192189,0.00539030724751311,0.00264615083059734,20407,FF (controls / TX pre-99),Double-Walled,0.00434242736933765,-0.00572431918302729,0.00138189181368953
15,1,2,7,0.985092578278789,0.0133849225907442,0.00152249913046684,0.987684729064039,0.00697865353037767,0.00533661740558292,4872,FF (controls / TX pre-99),Double-Walled,0.00259215078525032,-0.00640626906036654,0.00381411827511609
16,1,2,8,0.978490804805628,0.0193124551012222,0.00219674009314953,0.988489710498779,0.00767352633414719,0.0038367631670736,2867,FF (controls / TX pre-99),Double-Walled,0.00999890569315098,-0.011638928767075,0.00164002307392407
17,2,1,1,0.980950595403121,0.0168938800467942,0.00215552455008432,0.993731343283582,0.00537313432835821,0.000895522388059701,3350,RB (TX 1999+),Single / Mixed,0.0127807478804606,-0.011520745718436,-0.00126000216202462
18,2,1,2,0.98055806964868,0.0172419897725909,0.00219994057872897,0.987798779877988,0.0115011501150115,0.0007000700070007,9999,RB (TX 1999+),Single / Mixed,0.00724071022930772,-0.00574083965757936,-0.00149987057172827
19,2,1,3,0.977498223648333,0.0199556006378876,0.00254617571377912,0.986330068611533,0.011417797098413,0.00225213429005395,19093,RB (TX 1999+),Single / Mixed,0.00883184496319977,-0.00853780353947459,-0.000294041423725171
20,2,1,4,0.971281450577347,0.0254689182854423,0.00324963113721054,0.976575614222494,0.0214405615748512,0.00198382420265527,26212,RB (TX 1999+),Single / Mixed,0.00529416364514634,-0.00402835671059111,-0.00126580693455527
21,2,1,5,0.968109461048937,0.0282819831416231,0.00360855580943986,0.971580575988708,0.0269265220813767,0.00149290192991504,36841,RB (TX 1999+),Single / Mixed,0.00347111493977126,-0.00135546106024637,-0.00211565387952482
22,2,1,6,0.970150768764907,0.0264716584400392,0.00337757279505362,0.971790732752918,0.0262245627034322,0.00198470454365027,37789,RB (TX 1999+),Single / Mixed,0.00163996398801025,-0.000247095736607021,-0.00139286825140335
23,2,1,7,0.973446496555335,0.0235488568545507,0.00300464659011461,0.967354490717511,0.0304189663823382,0.00222654290015053,31888,RB (TX 1999+),Single / Mixed,-0.00609200583782332,0.00687010952778745,-0.000778103689964084
24,2,1,8,0.976275311159097,0.0210401351594687,0.00268455368143407,0.956708547620598,0.0412408046351149,0.00205064774428748,30722,RB (TX 1999+),Single / Mixed,-0.0195667635384996,0.0202006694756462,-0.000633905937146591
25,2,2,1,0.977604906199251,0.0202201117321899,0.00217498206855924,0.99946845266571,0,0.000531547334290119,18813,RB (TX 1999+),Double-Walled,0.0218635464664589,-0.0202201117321899,-0.00164343473426912
26,2,2,2,0.984321084272972,0.0141562000436669,0.00152271568336079,0.993114694691067,0.00120794829981277,0.00567735700912001,16557,RB (TX 1999+),Double-Walled,0.0087936104180949,-0.0129482517438541,0.00415464132575922
27,2,2,3,0.985384291303176,0.0131962502825078,0.00141945841431638,0.990068280571074,0.00255190013104352,0.00737981929788261,14499,RB (TX 1999+),Double-Walled,0.00468398926789804,-0.0106443501514643,0.00596036088356623
28,2,2,4,0.985068430940848,0.0134814347016873,0.00145013435746463,0.975965206775523,0.00427285212879597,0.0197619410956814,13106,RB (TX 1999+),Double-Walled,-0.00910322416532539,-0.00920858257289135,0.0183118067382167
29,2,2,5,0.986961879507569,0.0117718753705731,0.00126624512185807,0.968883254581076,0.00599285467327417,0.0251238907456494,8677,RB (TX 1999+),Double-Walled,-0.0180786249264925,-0.00577902069729892,0.0238576456237913
30,2,2,6,0.986672322797489,0.0120333107136316,0.00129436648887973,0.974158368895211,0.0087719298245614,0.0170697012802276,4218,RB (TX 1999+),Double-Walled,-0.0125139539022777,-0.00326138088907018,0.0157753347913479
31,2,2,7,0.984057040903183,0.0143945998685031,0.00154835922831415,0.976271186440678,0.00451977401129944,0.0192090395480226,1770,RB (TX 1999+),Double-Walled,-0.00778585446250479,-0.00987482585720369,0.0176606803197085
32,2,2,8,0.976634198298068,0.0210965457581363,0.00226925594379573,0.970286885245902,0.0112704918032787,0.0184426229508197,976,RB (TX 1999+),Double-Walled,-0.0063473130521664,-0.00982605395485757,0.0161733670070239
