panel_year,group,mean_premium,n_obs
1999,TX_imputed_pre2006,0.02093937849123,22560
2000,TX_imputed_pre2006,0.0221114294554651,21175
2001,TX_imputed_pre2006,0.0228756199550965,21009
2002,TX_imputed_pre2006,0.0235753199196201,20735
2003,TX_imputed_pre2006,0.0243012294837828,20403
2004,TX_imputed_pre2006,0.0250640796069151,20143
2005,TX_imputed_pre2006,0.0257949679885589,19913
2006,TX_observed_2006+,0.026539277378107,19729
2007,TX_observed_2006+,0.0272272354733133,19454
2008,TX_observed_2006+,0.028117710370773,18965
2009,TX_observed_2006+,0.0288917343702441,18629
2010,TX_observed_2006+,0.0295378568144654,18414
2011,TX_observed_2006+,0.0302273081892143,18196
2012,TX_observed_2006+,0.0308087370473326,18131
2013,TX_observed_2006+,0.0313580612882069,18080
2014,TX_observed_2006+,0.0328202785405202,18054
2015,TX_observed_2006+,0.0340108607550884,18020
2016,TX_observed_2006+,0.034759365285383,18013
2017,TX_observed_2006+,0.0355743448143877,17910
2018,TX_observed_2006+,0.0363671565148513,17754
2019,TX_observed_2006+,0.036528195353478,17625
2020,TX_observed_2006+,0.0372320684499904,17536
1999,control,0.00928906895274985,105333
2000,control,0.00952006953853511,100376
2001,control,0.00977604276996015,99135
2002,control,0.010858479305455,98021
2003,control,0.0108777484291006,96919
2004,control,0.0111937278451979,95916
2005,control,0.0138438024015168,94940
2006,control,0.0138695313081083,94113
2007,control,0.0138554341631271,92995
2008,control,0.0139041725162428,91887
2009,control,0.0139151976186539,90705
2010,control,0.0140134032699068,89605
2011,control,0.0138385527622314,88624
2012,control,0.0136609496851056,87966
2013,control,0.0134938272736648,87271
2014,control,0.0133334909795598,86692
2015,control,0.0131762992966737,86162
2016,control,0.0131539180084771,85643
2017,control,0.0130844959416539,85010
2018,control,0.0130178117803471,84242
2019,control,0.0130523692116192,83551
2020,control,0.0130923916312756,83119
