wall,regime,action,N_cells,total_n,unweighted_mean_residual,weighted_mean_residual,unweighted_RMSE,weighted_RMSE,max_abs_residual
DW,FF,Exit,8,351597,-0.0087,-0.00912858440202846,0.00958530255130218,0.0101429101196374,0.01795
DW,RB,Exit,8,78616,-0.01022,-0.0122208628014653,0.0112509244064655,0.0132600157840369,0.02022
SW,FF,Exit,8,1656628,0.00242125,0.00237022674975915,0.00440924171485302,0.00452975018149257,0.00839
SW,RB,Exit,8,195894,-0.00054625,0.00212068317559496,0.00943384531885063,0.00923407989843305,0.0202
DW,FF,Maintain,8,351597,0.0045575,0.00411266478382921,0.0080937136099568,0.00871665909668621,0.01913
DW,RB,Maintain,8,78616,-0.0023125,0.00350750089040399,0.0124711126207729,0.0139575257397167,0.02186
SW,FF,Maintain,8,1656628,-0.00155875,-0.0010607757384277,0.00445967067169763,0.00471555961336941,0.00924
SW,RB,Maintain,8,195894,0.00169875,-0.000934979121361553,0.00972434123732811,0.00925723669013857,0.01957
DW,FF,Replace,8,351597,0.00414125,0.00501578105046403,0.00526057862786975,0.00616393992317154,0.00923
DW,RB,Replace,8,78616,0.01253125,0.0087116682354737,0.0149262449229537,0.0123763807024305,0.02386
SW,FF,Replace,8,1656628,-0.00086125,-0.00130836348293039,0.00159786185260178,0.00178885033973564,0.00225
SW,RB,Replace,8,195894,-0.001155,-0.00118892278477136,0.00127310643702716,0.00132107871969615,0.00212
