s_idx,regime,wall,age_bin,age_label,n_cell,action,model,empirical,residual
9,FF,DW,1,0-5,64621,Exit,0.01907,0.00111,-0.01795
10,FF,DW,2,5-10,77103,Exit,0.0133,0.00381,-0.00948
11,FF,DW,3,10-15,77966,Exit,0.01237,0.00557,-0.0068
12,FF,DW,4,15-20,62241,Exit,0.01262,0.00656,-0.00606
13,FF,DW,5,20-25,41520,Exit,0.01091,0.00537,-0.00554
14,FF,DW,6,25-30,20407,Exit,0.01111,0.00539,-0.00572
15,FF,DW,7,30-35,4872,Exit,0.01338,0.00698,-0.00641
16,FF,DW,8,35+,2867,Exit,0.01931,0.00767,-0.01164
1,FF,SW,1,0-5,46709,Exit,0.01567,0.0158,0.00013
2,FF,SW,2,5-10,97999,Exit,0.01599,0.01448,-0.00151
3,FF,SW,3,10-15,180163,Exit,0.01854,0.02693,0.00839
4,FF,SW,4,15-20,240344,Exit,0.02379,0.03097,0.00718
5,FF,SW,5,20-25,255278,Exit,0.02638,0.03098,0.00461
6,FF,SW,6,25-30,234030,Exit,0.02449,0.02607,0.00158
7,FF,SW,7,30-35,191377,Exit,0.02148,0.02285,0.00137
8,FF,SW,8,35+,410728,Exit,0.01879,0.01641,-0.00238
25,RB,DW,1,0-5,18813,Exit,0.02022,0,-0.02022
26,RB,DW,2,5-10,16557,Exit,0.01416,0.00121,-0.01295
27,RB,DW,3,10-15,14499,Exit,0.0132,0.00255,-0.01064
28,RB,DW,4,15-20,13106,Exit,0.01348,0.00427,-0.00921
29,RB,DW,5,20-25,8677,Exit,0.01177,0.00599,-0.00578
30,RB,DW,6,25-30,4218,Exit,0.01203,0.00877,-0.00326
31,RB,DW,7,30-35,1770,Exit,0.01439,0.00452,-0.00987
32,RB,DW,8,35+,976,Exit,0.0211,0.01127,-0.00983
17,RB,SW,1,0-5,3350,Exit,0.01689,0.00537,-0.01152
18,RB,SW,2,5-10,9999,Exit,0.01724,0.0115,-0.00574
19,RB,SW,3,10-15,19093,Exit,0.01996,0.01142,-0.00854
20,RB,SW,4,15-20,26212,Exit,0.02547,0.02144,-0.00403
21,RB,SW,5,20-25,36841,Exit,0.02828,0.02693,-0.00136
22,RB,SW,6,25-30,37789,Exit,0.02647,0.02622,-0.00025
23,RB,SW,7,30-35,31888,Exit,0.02355,0.03042,0.00687
24,RB,SW,8,35+,30722,Exit,0.02104,0.04124,0.0202
9,FF,DW,1,0-5,64621,Maintain,0.97877,0.9979,0.01913
10,FF,DW,2,5-10,77103,Maintain,0.98519,0.98983,0.00464
11,FF,DW,3,10-15,77966,Maintain,0.98623,0.98524,-0.00099
12,FF,DW,4,15-20,62241,Maintain,0.98595,0.98278,-0.00317
13,FF,DW,5,20-25,41520,Maintain,0.98785,0.98776,-8e-05
14,FF,DW,6,25-30,20407,Maintain,0.98762,0.99196,0.00434
15,FF,DW,7,30-35,4872,Maintain,0.98509,0.98768,0.00259
16,FF,DW,8,35+,2867,Maintain,0.97849,0.98849,0.01
1,FF,SW,1,0-5,46709,Maintain,0.98219,0.98219,0
2,FF,SW,2,5-10,97999,Maintain,0.98182,0.98202,2e-04
3,FF,SW,3,10-15,180163,Maintain,0.97892,0.96968,-0.00924
4,FF,SW,4,15-20,240344,Maintain,0.97295,0.96631,-0.00663
5,FF,SW,5,20-25,255278,Maintain,0.97001,0.96728,-0.00273
6,FF,SW,6,25-30,234030,Maintain,0.97215,0.9728,0.00065
7,FF,SW,7,30-35,191377,Maintain,0.97558,0.97623,0.00065
8,FF,SW,8,35+,410728,Maintain,0.97864,0.98327,0.00463
25,RB,DW,1,0-5,18813,Maintain,0.9776,0.99947,0.02186
26,RB,DW,2,5-10,16557,Maintain,0.98432,0.99311,0.00879
27,RB,DW,3,10-15,14499,Maintain,0.98538,0.99007,0.00468
28,RB,DW,4,15-20,13106,Maintain,0.98507,0.97597,-0.0091
29,RB,DW,5,20-25,8677,Maintain,0.98696,0.96888,-0.01808
30,RB,DW,6,25-30,4218,Maintain,0.98667,0.97416,-0.01251
31,RB,DW,7,30-35,1770,Maintain,0.98406,0.97627,-0.00779
32,RB,DW,8,35+,976,Maintain,0.97663,0.97029,-0.00635
17,RB,SW,1,0-5,3350,Maintain,0.98095,0.99373,0.01278
18,RB,SW,2,5-10,9999,Maintain,0.98056,0.9878,0.00724
