s_idx,regime,wall,age_bin,age_label,n_cell,model_maintain,emp_maintain,res_maintain,model_exit,emp_exit,res_exit,model_replace,emp_replace,res_replace
9,FF,DW,1,0-5,64621,0.97877,0.9979,0.01913,0.01907,0.00111,-0.01795,0.00217,0.00099,-0.00118
10,FF,DW,2,5-10,77103,0.98519,0.98983,0.00464,0.0133,0.00381,-0.00948,0.00151,0.00636,0.00484
11,FF,DW,3,10-15,77966,0.98623,0.98524,-0.00099,0.01237,0.00557,-0.0068,0.00141,0.0092,0.00779
12,FF,DW,4,15-20,62241,0.98595,0.98278,-0.00317,0.01262,0.00656,-0.00606,0.00144,0.01067,0.00923
13,FF,DW,5,20-25,41520,0.98785,0.98776,-8e-05,0.01091,0.00537,-0.00554,0.00124,0.00686,0.00562
14,FF,DW,6,25-30,20407,0.98762,0.99196,0.00434,0.01111,0.00539,-0.00572,0.00126,0.00265,0.00138
15,FF,DW,7,30-35,4872,0.98509,0.98768,0.00259,0.01338,0.00698,-0.00641,0.00152,0.00534,0.00381
16,FF,DW,8,35+,2867,0.97849,0.98849,0.01,0.01931,0.00767,-0.01164,0.0022,0.00384,0.00164
1,FF,SW,1,0-5,46709,0.98219,0.98219,0,0.01567,0.0158,0.00013,0.00215,0.00201,-0.00013
2,FF,SW,2,5-10,97999,0.98182,0.98202,2e-04,0.01599,0.01448,-0.00151,0.00219,0.0035,0.00131
3,FF,SW,3,10-15,180163,0.97892,0.96968,-0.00924,0.01854,0.02693,0.00839,0.00254,0.0034,0.00086
4,FF,SW,4,15-20,240344,0.97295,0.96631,-0.00663,0.02379,0.03097,0.00718,0.00326,0.00271,-0.00055
5,FF,SW,5,20-25,255278,0.97001,0.96728,-0.00273,0.02638,0.03098,0.00461,0.00362,0.00174,-0.00188
6,FF,SW,6,25-30,234030,0.97215,0.9728,0.00065,0.02449,0.02607,0.00158,0.00336,0.00113,-0.00223
7,FF,SW,7,30-35,191377,0.97558,0.97623,0.00065,0.02148,0.02285,0.00137,0.00294,0.00092,-0.00202
8,FF,SW,8,35+,410728,0.97864,0.98327,0.00463,0.01879,0.01641,-0.00238,0.00257,0.00032,-0.00225
25,RB,DW,1,0-5,18813,0.9776,0.99947,0.02186,0.02022,0,-0.02022,0.00217,0.00053,-0.00164
26,RB,DW,2,5-10,16557,0.98432,0.99311,0.00879,0.01416,0.00121,-0.01295,0.00152,0.00568,0.00415
27,RB,DW,3,10-15,14499,0.98538,0.99007,0.00468,0.0132,0.00255,-0.01064,0.00142,0.00738,0.00596
28,RB,DW,4,15-20,13106,0.98507,0.97597,-0.0091,0.01348,0.00427,-0.00921,0.00145,0.01976,0.01831
29,RB,DW,5,20-25,8677,0.98696,0.96888,-0.01808,0.01177,0.00599,-0.00578,0.00127,0.02512,0.02386
30,RB,DW,6,25-30,4218,0.98667,0.97416,-0.01251,0.01203,0.00877,-0.00326,0.00129,0.01707,0.01578
31,RB,DW,7,30-35,1770,0.98406,0.97627,-0.00779,0.01439,0.00452,-0.00987,0.00155,0.01921,0.01766
32,RB,DW,8,35+,976,0.97663,0.97029,-0.00635,0.0211,0.01127,-0.00983,0.00227,0.01844,0.01617
17,RB,SW,1,0-5,3350,0.98095,0.99373,0.01278,0.01689,0.00537,-0.01152,0.00216,9e-04,-0.00126
18,RB,SW,2,5-10,9999,0.98056,0.9878,0.00724,0.01724,0.0115,-0.00574,0.0022,7e-04,-0.0015
19,RB,SW,3,10-15,19093,0.9775,0.98633,0.00883,0.01996,0.01142,-0.00854,0.00255,0.00225,-0.00029
20,RB,SW,4,15-20,26212,0.97128,0.97658,0.00529,0.02547,0.02144,-0.00403,0.00325,0.00198,-0.00127
21,RB,SW,5,20-25,36841,0.96811,0.97158,0.00347,0.02828,0.02693,-0.00136,0.00361,0.00149,-0.00212
22,RB,SW,6,25-30,37789,0.97015,0.97179,0.00164,0.02647,0.02622,-0.00025,0.00338,0.00198,-0.00139
23,RB,SW,7,30-35,31888,0.97345,0.96735,-0.00609,0.02355,0.03042,0.00687,0.003,0.00223,-0.00078
24,RB,SW,8,35+,30722,0.97628,0.95671,-0.01957,0.02104,0.04124,0.0202,0.00268,0.00205,-0.00063
