wall,regime,action,N_cells,total_n,weighted_RMSE,weighted_mean_residual,max_abs_residual
DW,FF,Exit,8,351597,0.00169669999635295,-6.48949791949306e-05,0.00532
DW,RB,Exit,8,78616,0.00176130321385694,0.000236858018723924,0.00497
SW,FF,Exit,8,1656628,0.00226562415412434,4.77289530298896e-05,0.00792
SW,RB,Exit,8,195894,0.00557930444980267,-0.000417869715254168,0.01475
DW,FF,Maintain,8,351597,0.00537327054479669,0.000308031382520329,0.01818
DW,RB,Maintain,8,78616,0.0077283293651427,-0.00140000992164445,0.01421
SW,FF,Maintain,8,1656628,0.00192626496402585,-2.8918308757307e-05,0.00598
SW,RB,Maintain,8,195894,0.00562527937488207,0.000265739889940478,0.01516
DW,FF,Replace,8,351597,0.00377505072302183,-0.000243111858178539,0.01286
DW,RB,Replace,8,78616,0.0063706160537897,0.00116582133407958,0.01192
SW,FF,Replace,8,1656628,0.000904691383055135,-1.88106442725826e-05,0.00194
SW,RB,Replace,8,195894,0.000510898888582171,0.000154010485262438,0.00077
