s_idx,regime,wall,age_bin,age_label,n_cell,model_maintain,emp_maintain,res_maintain,model_exit,emp_exit,res_exit,model_replace,emp_replace,res_replace
9,FF,DW,1,0-5,64621,0.98994,0.9979,0.00795,0.00406,0.00111,-0.00294,0.006,0.00099,-0.00501
10,FF,DW,2,5-10,77103,0.9907,0.98983,-0.00087,0.00375,0.00381,6e-05,0.00555,0.00636,8e-04
11,FF,DW,3,10-15,77966,0.98929,0.98524,-0.00405,0.00432,0.00557,0.00125,0.00639,0.0092,0.00281
12,FF,DW,4,15-20,62241,0.98777,0.98278,-0.00499,0.00493,0.00656,0.00162,0.0073,0.01067,0.00337
13,FF,DW,5,20-25,41520,0.98743,0.98776,0.00033,0.00507,0.00537,3e-04,0.0075,0.00686,-0.00063
14,FF,DW,6,25-30,20407,0.98469,0.99196,0.00727,0.00617,0.00539,-0.00078,0.00913,0.00265,-0.00649
15,FF,DW,7,30-35,4872,0.96951,0.98768,0.01818,0.0123,0.00698,-0.00532,0.01819,0.00534,-0.01286
16,FF,DW,8,35+,2867,0.97546,0.98849,0.01303,0.0099,0.00767,-0.00222,0.01464,0.00384,-0.01081
1,FF,SW,1,0-5,46709,0.97997,0.98219,0.00222,0.01873,0.0158,-0.00293,0.0013,0.00201,0.00071
2,FF,SW,2,5-10,97999,0.97604,0.98202,0.00598,0.0224,0.01448,-0.00792,0.00156,0.0035,0.00194
3,FF,SW,3,10-15,180163,0.97099,0.96968,-0.00131,0.02712,0.02693,-2e-04,0.00189,0.0034,0.00151
4,FF,SW,4,15-20,240344,0.96818,0.96631,-0.00187,0.02975,0.03097,0.00123,0.00207,0.00271,0.00064
5,FF,SW,5,20-25,255278,0.96817,0.96728,-0.00089,0.02976,0.03098,0.00122,0.00207,0.00174,-0.00033
6,FF,SW,6,25-30,234030,0.97091,0.9728,0.00189,0.0272,0.02607,-0.00113,0.00189,0.00113,-0.00076
7,FF,SW,7,30-35,191377,0.97606,0.97623,0.00017,0.02238,0.02285,0.00047,0.00156,0.00092,-0.00064
8,FF,SW,8,35+,410728,0.984,0.98327,-0.00073,0.01496,0.01641,0.00145,0.00104,0.00032,-0.00072
25,RB,DW,1,0-5,18813,0.99266,0.99947,0.00681,0.00161,0,-0.00161,0.00573,0.00053,-0.0052
26,RB,DW,2,5-10,16557,0.99046,0.99311,0.00266,0.00209,0.00121,-0.00088,0.00745,0.00568,-0.00177
27,RB,DW,3,10-15,14499,0.98875,0.99007,0.00132,0.00247,0.00255,8e-05,0.00878,0.00738,-0.0014
28,RB,DW,4,15-20,13106,0.98766,0.97597,-0.01169,0.00271,0.00427,0.00157,0.00964,0.01976,0.01013
29,RB,DW,5,20-25,8677,0.98309,0.96888,-0.01421,0.00371,0.00599,0.00228,0.0132,0.02512,0.01192
30,RB,DW,6,25-30,4218,0.97985,0.97416,-0.00569,0.00442,0.00877,0.00435,0.01573,0.01707,0.00134
31,RB,DW,7,30-35,1770,0.97621,0.97627,6e-05,0.00522,0.00452,-7e-04,0.01857,0.01921,0.00064
32,RB,DW,8,35+,976,0.97127,0.97029,-0.00098,0.0063,0.01127,0.00497,0.02243,0.01844,-0.00399
17,RB,SW,1,0-5,3350,0.97857,0.99373,0.01516,0.02012,0.00537,-0.01475,0.00131,9e-04,-0.00041
18,RB,SW,2,5-10,9999,0.97636,0.9878,0.01144,0.0222,0.0115,-0.0107,0.00144,7e-04,-0.00074
19,RB,SW,3,10-15,19093,0.9757,0.98633,0.01063,0.02282,0.01142,-0.0114,0.00148,0.00225,0.00077
20,RB,SW,4,15-20,26212,0.97879,0.97658,-0.00222,0.01991,0.02144,0.00153,0.00129,0.00198,0.00069
21,RB,SW,5,20-25,36841,0.97812,0.97158,-0.00654,0.02054,0.02693,0.00639,0.00133,0.00149,0.00016
22,RB,SW,6,25-30,37789,0.97401,0.97179,-0.00222,0.0244,0.02622,0.00182,0.00159,0.00198,4e-04
23,RB,SW,7,30-35,31888,0.96632,0.96735,0.00103,0.03162,0.03042,-0.0012,0.00206,0.00223,0.00017
24,RB,SW,8,35+,30722,0.9556,0.95671,0.00111,0.04169,0.04124,-0.00045,0.00271,0.00205,-0.00066
