state,param,alpha
AR,alphaAR,0.0953352645892537
CO,alphaCO,0.0639031960753224
ID,alphaID,-0.11430639103665
KS,alphaKS,0.478025411598494
KY,alphaKY,-0.124090297979976
LA,alphaLA,-0.448817064753197
MA,alphaMA,-0.415068776466489
MD,alphaMD,-0.35997577336491
ME,alphaME,-1.39307674852175
MN,alphaMN,0.290047805366584
MO,alphaMO,8.18144821178776
NC,alphaNC,0.572199111622505
OH,alphaOH,0.0642473953214701
OK,alphaOK,0.151398826412798
SD,alphaSD,2.26877631714385
TN,alphaTN,0.187126239654272
VA,alphaVA,0.803452779902193
