Scenario,sidx,mu
B_Pigouvian_internalizeE_E17K,1,0.0190563592389714
B_Pigouvian_internalizeE_E17K,2,0.0832668063244365
B_Pigouvian_internalizeE_E17K,3,0.0351407732212653
B_Pigouvian_internalizeE_E17K,4,0.00834919663023234
B_Pigouvian_internalizeE_E17K,5,0.0010630486232172
B_Pigouvian_internalizeE_E17K,6,0.000106140123038063
B_Pigouvian_internalizeE_E17K,7,9.40359364992388e-06
B_Pigouvian_internalizeE_E17K,8,0.578728953796048
B_Pigouvian_internalizeE_E17K,9,0.0130094097145058
B_Pigouvian_internalizeE_E17K,10,0.0650692931025953
B_Pigouvian_internalizeE_E17K,11,0.0451531416937666
B_Pigouvian_internalizeE_E17K,12,0.02261025541017
B_Pigouvian_internalizeE_E17K,13,0.00695295954461051
B_Pigouvian_internalizeE_E17K,14,0.00117808973946103
B_Pigouvian_internalizeE_E17K,15,5.00131854486242e-05
B_Pigouvian_internalizeE_E17K,16,1.28635184979535e-06
B_Pigouvian_internalizeE_E17K,17,0.00218809320600748
B_Pigouvian_internalizeE_E17K,18,0.0107194971072017
B_Pigouvian_internalizeE_E17K,19,0.00827619274430176
B_Pigouvian_internalizeE_E17K,20,0.0164967548836403
B_Pigouvian_internalizeE_E17K,21,0.0352749211451613
B_Pigouvian_internalizeE_E17K,22,0.0120286264827637
B_Pigouvian_internalizeE_E17K,23,0.000815492083559426
B_Pigouvian_internalizeE_E17K,24,1.59024622266006e-05
B_Pigouvian_internalizeE_E17K,25,0.00450000063914883
B_Pigouvian_internalizeE_E17K,26,0.0177720309778372
B_Pigouvian_internalizeE_E17K,27,0.00869126960292543
B_Pigouvian_internalizeE_E17K,28,0.003006542390324
B_Pigouvian_internalizeE_E17K,29,0.000433443646981677
B_Pigouvian_internalizeE_E17K,30,3.47353447591048e-05
B_Pigouvian_internalizeE_E17K,31,1.34052924728653e-06
B_Pigouvian_internalizeE_E17K,32,2.64606476438496e-08
BASELINE,1,0.0189058646882781
BASELINE,2,0.0823872872054082
BASELINE,3,0.0350590254299548
BASELINE,4,0.00851737770550833
BASELINE,5,0.00111608642944128
BASELINE,6,0.000114645520668983
BASELINE,7,1.04179639148944e-05
BASELINE,8,0.579609976607685
BASELINE,9,0.0131389196055978
BASELINE,10,0.0654255817320563
BASELINE,11,0.0450741807813885
BASELINE,12,0.0224046472405035
BASELINE,13,0.00679450613929588
BASELINE,14,0.00113718127487534
BASELINE,15,4.81801718019467e-05
BASELINE,16,1.25179688836626e-06
BASELINE,17,0.00222366448048866
BASELINE,18,0.0110590956422896
BASELINE,19,0.00861666907334414
BASELINE,20,0.0171361234250103
BASELINE,21,0.0345061442222732
BASELINE,22,0.0114889413595814
BASELINE,23,0.000769930240704608
BASELINE,24,1.49116711703124e-05
BASELINE,25,0.00446192799076472
BASELINE,26,0.017716637112466
BASELINE,27,0.00873275798391376
BASELINE,28,0.00304637117001213
