parameter,estimate,SE_raw,CI_lo,CI_hi
kappa_SW,24.6706419322076,0.0810661450739502,24.5117552074972,24.8295286569181
kappa_DW,21.9264432197838,0.0925433869105164,21.7450615144319,22.1078249251358
K_SW,5.53312806994392,0.0362123258631308,5.46215321545576,5.60410292443209
K_DW,4.30511313168317,0.0359415249738018,4.23466903718507,4.37555722618127
gamma_price_FF,-11.0879528937437,0.342784630602813,-11.7597984241791,-10.4161073633083
gamma_price_RB,-6.50555192949559,0.163306723157656,-6.82562722531785,-6.18547663367333
gamma_risk_FF,0.0879780664516974,0.00533669975647476,0.0775183271327032,0.0984378057706916
gamma_risk_RB,-0.11981999189844,0.00889757417791389,-0.137258916836925,-0.102381066959955
alphaAR,0.0953352645892537,0.0404809234989273,0.015994112470435,0.174676416708072
alphaCO,0.0639031960753224,0.0416740694097594,-0.0177764790570283,0.145582871207673
alphaID,-0.11430639103665,0.0487732890592615,-0.209900281000364,-0.0187125010729357
alphaKS,0.478025411598494,0.0432694811430532,0.393218786928375,0.562832036268613
alphaKY,-0.124090297979976,0.0383846849380653,-0.199322898016501,-0.0488576979434509
alphaLA,-0.448817064753197,0.0373995390305793,-0.522118814291533,-0.375515315214862
alphaMA,-0.415068776466489,0.0391129810528873,-0.491728810658146,-0.338408742274832
alphaMD,-0.35997577336491,0.0370968989839744,-0.432684359311621,-0.2872671874182
alphaME,-1.39307674852175,0.0417242379121842,-1.47485475211201,-1.31129874493149
alphaMN,0.290047805366584,0.0402302647024198,0.211197935461328,0.36889767527184
alphaMO,8.18144821178776,0.774006191890855,6.66442395187069,9.69847247170483
alphaNC,0.572199111622505,0.0384148933629304,0.496907304161215,0.647490919083796
alphaOH,0.0642473953214701,0.0373159178095178,-0.00889045963524152,0.137385250278182
alphaOK,0.151398826412798,0.0390157710344353,0.0749293203562434,0.227868332469352
alphaSD,2.26877631714385,0.0825750575891597,2.10693217824778,2.43062045603993
alphaTN,0.187126239654272,0.0380510389253997,0.112547573786157,0.261704905522387
alphaVA,0.803452779902193,0.0385657948478819,0.727865210965184,0.879040348839202
