# CF B per-cell comparison uses cf_B at E = HEALTH_ONLY ($17K, Marcus 2021 SVI)
s_idx,A_bin,w_state,rho_state,n_cell,V_baseline,V_cf,delta_V,P_M_base,P_M_cf,P_E_base,P_E_cf,P_R_base,P_R_cf,counterfactual,E_label
1,1,1,1,46709,28.9814,28.9814,0,0.97444,0.97444,0.02391,0.02391,0.00165,0.00165,A_TX_stays_FF,HEALTH_ONLY
2,2,1,1,97999,28.8464,28.8464,0,0.97074,0.97074,0.02736,0.02736,0.00189,0.00189,A_TX_stays_FF,HEALTH_ONLY
3,3,1,1,180163,28.6805,28.6805,0,0.96547,0.96547,0.0323,0.0323,0.00223,0.00223,A_TX_stays_FF,HEALTH_ONLY
4,4,1,1,240344,28.5657,28.5657,0,0.96126,0.96126,0.03623,0.03623,0.00251,0.00251,A_TX_stays_FF,HEALTH_ONLY
5,5,1,1,255278,28.5443,28.5443,0,0.96043,0.96043,0.03701,0.03701,0.00256,0.00256,A_TX_stays_FF,HEALTH_ONLY
6,6,1,1,234030,28.6222,28.6222,0,0.96339,0.96339,0.03424,0.03424,0.00237,0.00237,A_TX_stays_FF,HEALTH_ONLY
7,7,1,1,191377,28.7854,28.7854,0,0.9689,0.9689,0.02909,0.02909,0.00201,0.00201,A_TX_stays_FF,HEALTH_ONLY
8,8,1,1,410728,29.0941,29.0941,0,0.97716,0.97716,0.02136,0.02136,0.00148,0.00148,A_TX_stays_FF,HEALTH_ONLY
9,1,2,1,64621,28.0124,28.0124,0,0.99002,0.99002,0.00405,0.00405,0.00593,0.00593,A_TX_stays_FF,HEALTH_ONLY
10,2,2,1,77103,28.162,28.162,0,0.99141,0.99141,0.00349,0.00349,0.0051,0.0051,A_TX_stays_FF,HEALTH_ONLY
11,3,2,1,77966,28.0704,28.0704,0,0.99059,0.99059,0.00382,0.00382,0.00559,0.00559,A_TX_stays_FF,HEALTH_ONLY
12,4,2,1,62241,27.961,27.961,0,0.9895,0.9895,0.00426,0.00426,0.00624,0.00624,A_TX_stays_FF,HEALTH_ONLY
13,5,2,1,41520,27.9747,27.9747,0,0.98964,0.98964,0.00421,0.00421,0.00615,0.00615,A_TX_stays_FF,HEALTH_ONLY
14,6,2,1,20407,27.8121,27.8121,0,0.98781,0.98781,0.00495,0.00495,0.00724,0.00724,A_TX_stays_FF,HEALTH_ONLY
15,7,2,1,4872,27.2009,27.2009,0,0.97754,0.97754,0.00912,0.00912,0.01334,0.01334,A_TX_stays_FF,HEALTH_ONLY
16,8,2,1,2867,27.3012,27.3012,0,0.97968,0.97968,0.00825,0.00825,0.01207,0.01207,A_TX_stays_FF,HEALTH_ONLY
17,1,1,2,3350,29.0166,27.3582,-1.6585,0.97527,0.87701,0.02308,0.1212,0.00165,0.00179,A_TX_stays_FF,HEALTH_ONLY
18,2,1,2,9999,28.9379,27.2775,-1.6604,0.97324,0.86667,0.02497,0.13139,0.00179,0.00194,A_TX_stays_FF,HEALTH_ONLY
19,3,1,2,19093,28.9533,27.1984,-1.7549,0.97365,0.85569,0.02459,0.1422,0.00176,0.0021,A_TX_stays_FF,HEALTH_ONLY
20,4,1,2,26212,29.1422,27.1575,-1.9847,0.97819,0.84968,0.02036,0.14813,0.00146,0.00219,A_TX_stays_FF,HEALTH_ONLY
21,5,1,2,36841,29.1485,27.0976,-2.051,0.97833,0.84039,0.02023,0.15728,0.00145,0.00233,A_TX_stays_FF,HEALTH_ONLY
22,6,1,2,37789,28.9756,27.0502,-1.9254,0.97423,0.83264,0.02405,0.16492,0.00172,0.00244,A_TX_stays_FF,HEALTH_ONLY
23,7,1,2,31888,28.7139,26.9795,-1.7344,0.96653,0.8204,0.03124,0.17699,0.00223,0.00262,A_TX_stays_FF,HEALTH_ONLY
24,8,1,2,30722,28.4426,26.8903,-1.5522,0.95609,0.80363,0.04098,0.19351,0.00293,0.00286,A_TX_stays_FF,HEALTH_ONLY
25,1,2,2,18813,28.9913,25.7339,-3.2575,0.99284,0.95381,0.00152,0.03955,0.00564,0.00664,A_TX_stays_FF,HEALTH_ONLY
26,2,2,2,16557,28.6492,25.8219,-2.8273,0.98991,0.9577,0.00214,0.03621,0.00794,0.00608,A_TX_stays_FF,HEALTH_ONLY
27,3,2,2,14499,28.4843,25.7324,-2.7519,0.9881,0.95374,0.00253,0.03961,0.00937,0.00665,A_TX_stays_FF,HEALTH_ONLY
28,4,2,2,13106,28.4099,25.6339,-2.776,0.98719,0.94895,0.00272,0.04371,0.01009,0.00734,A_TX_stays_FF,HEALTH_ONLY
29,5,2,2,8677,28.0967,25.4653,-2.6315,0.98247,0.93958,0.00372,0.05173,0.0138,0.00869,A_TX_stays_FF,HEALTH_ONLY
30,6,2,2,4218,27.9491,25.3069,-2.6422,0.97969,0.92921,0.00432,0.06061,0.016,0.01018,A_TX_stays_FF,HEALTH_ONLY
31,7,2,2,1770,27.8479,25.0741,-2.7738,0.97752,0.91065,0.00478,0.0765,0.0177,0.01284,A_TX_stays_FF,HEALTH_ONLY
32,8,2,2,976,27.7783,24.75,-3.0283,0.9759,0.87646,0.00512,0.10578,0.01898,0.01776,A_TX_stays_FF,HEALTH_ONLY
1,1,1,1,46709,28.9814,28.9635,-0.0179,0.97444,0.974,0.02391,0.02434,0.00165,0.00165,B_Pigouvian_internalizeE,HEALTH_ONLY
2,2,1,1,97999,28.8464,28.8287,-0.0178,0.97074,0.97025,0.02736,0.02785,0.00189,0.00189,B_Pigouvian_internalizeE,HEALTH_ONLY
3,3,1,1,180163,28.6805,28.6605,-0.02,0.96547,0.96481,0.0323,0.03295,0.00223,0.00224,B_Pigouvian_internalizeE,HEALTH_ONLY
4,4,1,1,240344,28.5657,28.5409,-0.0248,0.96126,0.96033,0.03623,0.03714,0.00251,0.00253,B_Pigouvian_internalizeE,HEALTH_ONLY
5,5,1,1,255278,28.5443,28.5172,-0.0271,0.96043,0.95938,0.03701,0.03803,0.00256,0.00259,B_Pigouvian_internalizeE,HEALTH_ONLY
6,6,1,1,234030,28.6222,28.596,-0.0263,0.96339,0.96246,0.03424,0.03515,0.00237,0.00239,B_Pigouvian_internalizeE,HEALTH_ONLY
7,7,1,1,191377,28.7854,28.7606,-0.0247,0.9689,0.96816,0.02909,0.02981,0.00201,0.00203,B_Pigouvian_internalizeE,HEALTH_ONLY
8,8,1,1,410728,29.0941,29.07,-0.024,0.97716,0.97663,0.02136,0.02188,0.00148,0.00149,B_Pigouvian_internalizeE,HEALTH_ONLY
9,1,2,1,64621,28.0124,27.9813,-0.0311,0.99002,0.98989,0.00405,0.00418,0.00593,0.00593,B_Pigouvian_internalizeE,HEALTH_ONLY
10,2,2,1,77103,28.162,28.1418,-0.0202,0.99141,0.99139,0.00349,0.00356,0.0051,0.00505,B_Pigouvian_internalizeE,HEALTH_ONLY
11,3,2,1,77966,28.0704,28.0525,-0.0179,0.99059,0.99058,0.00382,0.00389,0.00559,0.00553,B_Pigouvian_internalizeE,HEALTH_ONLY
12,4,2,1,62241,27.961,27.9426,-0.0184,0.9895,0.98949,0.00426,0.00434,0.00624,0.00617,B_Pigouvian_internalizeE,HEALTH_ONLY
13,5,2,1,41520,27.9747,27.9606,-0.0141,0.98964,0.98967,0.00421,0.00427,0.00615,0.00606,B_Pigouvian_internalizeE,HEALTH_ONLY
14,6,2,1,20407,27.8121,27.7975,-0.0146,0.98781,0.98785,0.00495,0.00502,0.00724,0.00713,B_Pigouvian_internalizeE,HEALTH_ONLY
15,7,2,1,4872,27.2009,27.1817,-0.0192,0.97754,0.9775,0.00912,0.0093,0.01334,0.0132,B_Pigouvian_internalizeE,HEALTH_ONLY
16,8,2,1,2867,27.3012,27.2718,-0.0294,0.97968,0.97944,0.00825,0.0085,0.01207,0.01207,B_Pigouvian_internalizeE,HEALTH_ONLY
17,1,1,2,3350,29.0166,29.0354,0.0188,0.97527,0.9757,0.02308,0.02265,0.00165,0.00165,B_Pigouvian_internalizeE,HEALTH_ONLY
18,2,1,2,9999,28.9379,28.9569,0.0189,0.97324,0.97371,0.02497,0.0245,0.00179,0.00178,B_Pigouvian_internalizeE,HEALTH_ONLY
19,3,1,2,19093,28.9533,28.9762,0.0229,0.97365,0.97422,0.02459,0.02403,0.00176,0.00175,B_Pigouvian_internalizeE,HEALTH_ONLY
20,4,1,2,26212,29.1422,29.1739,0.0317,0.97819,0.97884,0.02036,0.01972,0.00146,0.00144,B_Pigouvian_internalizeE,HEALTH_ONLY
21,5,1,2,36841,29.1485,29.1835,0.035,0.97833,0.97905,0.02023,0.01953,0.00145,0.00142,B_Pigouvian_internalizeE,HEALTH_ONLY
22,6,1,2,37789,28.9756,29.0065,0.0309,0.97423,0.97499,0.02405,0.02332,0.00172,0.0017,B_Pigouvian_internalizeE,HEALTH_ONLY
23,7,1,2,31888,28.7139,28.7386,0.0247,0.96653,0.9673,0.03124,0.03048,0.00223,0.00222,B_Pigouvian_internalizeE,HEALTH_ONLY
24,8,1,2,30722,28.4426,28.4617,0.0192,0.95609,0.95687,0.04098,0.0402,0.00293,0.00293,B_Pigouvian_internalizeE,HEALTH_ONLY
25,1,2,2,18813,28.9913,29.0243,0.033,0.99284,0.99289,0.00152,0.00147,0.00564,0.00563,B_Pigouvian_internalizeE,HEALTH_ONLY
26,2,2,2,16557,28.6492,28.6709,0.0217,0.98991,0.98988,0.00214,0.0021,0.00794,0.00802,B_Pigouvian_internalizeE,HEALTH_ONLY
27,3,2,2,14499,28.4843,28.5039,0.0196,0.9881,0.98804,0.00253,0.00248,0.00937,0.00948,B_Pigouvian_internalizeE,HEALTH_ONLY
28,4,2,2,13106,28.4099,28.4301,0.0202,0.98719,0.98713,0.00272,0.00267,0.01009,0.01021,B_Pigouvian_internalizeE,HEALTH_ONLY
29,5,2,2,8677,28.0967,28.1133,0.0166,0.98247,0.98233,0.00372,0.00366,0.0138,0.01401,B_Pigouvian_internalizeE,HEALTH_ONLY
30,6,2,2,4218,27.9491,27.9664,0.0173,0.97969,0.97953,0.00432,0.00424,0.016,0.01623,B_Pigouvian_internalizeE,HEALTH_ONLY
