s_idx,Scenario,mu
1,Baseline,0.0318998186308472
2,Baseline,0.280924155962465
3,Baseline,0.2752919846506
4,Baseline,0.113015606324469
5,Baseline,0.0210122787323679
6,Baseline,0.00312633431600237
7,Baseline,0.00039180726448795
8,Baseline,5.86956696188628e-05
9,Baseline,0.00314243148385827
10,Baseline,0.0188322265542353
11,Baseline,0.0210426124802278
12,Baseline,0.0215515095296627
13,Baseline,0.0326711190145949
14,Baseline,0.045101804421012
15,Baseline,0.0111705132588139
16,Baseline,0.000512232000002933
17,Baseline,0.00377899454493569
18,Baseline,0.0336918658073087
19,Baseline,0.0326550424699788
20,Baseline,0.0130097616652371
21,Baseline,0.00231659202304376
22,Baseline,0.000323275574899712
23,Baseline,3.598527664407e-05
24,Baseline,3.96275281437123e-06
25,Baseline,0.000711244229584024
26,Baseline,0.00426782270974808
27,Baseline,0.00480382324112142
28,Baseline,0.00493182658569292
29,Baseline,0.00749012920985875
30,Baseline,0.0098135133511516
31,Baseline,0.00232445392932018
32,Baseline,9.65763353942073e-05
1,CF_C,0.245613894143169
2,CF_C,0.399627418744855
3,CF_C,0.0728545938326205
4,CF_C,0.00725300618271306
5,CF_C,0.000359472358964323
6,CF_C,1.20505462105993e-05
7,CF_C,2.42691004216719e-07
8,CF_C,3.05132269479865e-09
9,CF_C,0.0392573581698538
10,CF_C,0.0833712033884291
11,CF_C,0.0252242116719924
12,CF_C,0.00533997253575453
13,CF_C,0.000759668064178992
14,CF_C,6.93007017674205e-05
15,CF_C,2.69634230374756e-06
16,CF_C,3.78681277187177e-08
17,CF_C,0.0291484980271072
18,CF_C,0.0472255496124894
19,CF_C,0.00855370909149645
20,CF_C,0.000844945197598831
21,CF_C,4.13882076099467e-05
22,CF_C,1.36299586084238e-06
23,CF_C,2.66631321529454e-08
24,CF_C,3.19567382434586e-10
25,CF_C,0.00880990193974031
26,CF_C,0.0186460461962097
27,CF_C,0.00561976666030428
28,CF_C,0.00118244883749862
29,CF_C,0.000165825811824222
30,CF_C,1.48253207962495e-05
31,CF_C,5.67180329179862e-07
32,CF_C,7.64516860567982e-09
1,CF_M,0.0319705411153599
2,CF_M,0.282867733387189
3,CF_M,0.278329621997629
4,CF_M,0.114061083596974
5,CF_M,0.0184633469239623
6,CF_M,2.83545297450652e-05
7,CF_M,0
8,CF_M,0
9,CF_M,0.00346895966335213
10,CF_M,0.0233034950229686
11,CF_M,0.0312736470735189
12,CF_M,0.0413309286084719
13,CF_M,0.0545624907679406
14,CF_M,8.49276061555652e-05
15,CF_M,0
16,CF_M,0
17,CF_M,0.00378615297385227
18,CF_M,0.033900052769492
19,CF_M,0.0329756471168598
20,CF_M,0.0131116980337528
21,CF_M,0.00203880016203444
22,CF_M,3.129058870934e-06
23,CF_M,0
24,CF_M,0
25,CF_M,0.000779990690405359
26,CF_M,0.00524058351211747
27,CF_M,0.00707965090372425
28,CF_M,0.00935227929604798
29,CF_M,0.011968257466529
30,CF_M,1.86277230471336e-05
31,CF_M,0
32,CF_M,0
