wall,regime,action,N_cells,total_n,weighted_RMSE,weighted_mean_residual,max_abs_residual
DW,FF,Exit,8,351597,0.00153606965259275,-5.12101639092484e-05,0.00317
DW,RB,Exit,8,78616,0.00180184113147107,0.000260712959194057,0.00615
SW,FF,Exit,8,1656628,0.00234623908514155,2.36481274009615e-05,0.0081
SW,RB,Exit,8,195894,0.00641603205233571,-0.000541653138942489,0.01771
DW,FF,Maintain,8,351597,0.00486276771700419,0.000195985460626797,0.01267
DW,RB,Maintain,8,78616,0.00753802885673557,-0.0011429291747227,0.01359
SW,FF,Maintain,8,1656628,0.00184240336565433,-2.52596116931502e-05,0.00616
SW,RB,Maintain,8,195894,0.00652038532687042,0.000572889164548174,0.01846
DW,FF,Replace,8,351597,0.00344698169445401,-0.000145432327352054,0.0095
DW,RB,Replace,8,78616,0.00615733411474317,0.000878265874631118,0.01132
SW,FF,Replace,8,1656628,0.000881265443426898,-4.93128209833503e-07,0.00195
SW,RB,Replace,8,195894,0.000516961894431337,-2.79367412988657e-05,0.00109
