s_idx,regime,wall,age_bin,age_label,n_cell,model_maintain,emp_maintain,res_maintain,model_exit,emp_exit,res_exit,model_replace,emp_replace,res_replace
9,FF,DW,1,0-5,64621,0.99024,0.9979,0.00765,0.00396,0.00111,-0.00285,0.0058,0.00099,-0.00481
10,FF,DW,2,5-10,77103,0.99081,0.98983,-0.00098,0.00373,0.00381,8e-05,0.00546,0.00636,9e-04
11,FF,DW,3,10-15,77966,0.98904,0.98524,-0.00381,0.00445,0.00557,0.00112,0.00651,0.0092,0.00269
12,FF,DW,4,15-20,62241,0.98749,0.98278,-0.00472,0.00508,0.00656,0.00148,0.00743,0.01067,0.00324
13,FF,DW,5,20-25,41520,0.98736,0.98776,0.00041,0.00514,0.00537,0.00024,0.00751,0.00686,-0.00064
14,FF,DW,6,25-30,20407,0.98465,0.99196,0.00732,0.00624,0.00539,-0.00085,0.00912,0.00265,-0.00647
15,FF,DW,7,30-35,4872,0.97501,0.98768,0.01267,0.01015,0.00698,-0.00317,0.01484,0.00534,-0.0095
16,FF,DW,8,35+,2867,0.98402,0.98849,0.00447,0.00649,0.00767,0.00118,0.00949,0.00384,-0.00565
1,FF,SW,1,0-5,46709,0.97899,0.98219,0.0032,0.01966,0.0158,-0.00386,0.00135,0.00201,0.00066
2,FF,SW,2,5-10,97999,0.97586,0.98202,0.00616,0.02258,0.01448,-0.0081,0.00155,0.0035,0.00195
3,FF,SW,3,10-15,180163,0.97067,0.96968,-0.00099,0.02744,0.02693,-0.00052,0.00189,0.0034,0.00151
4,FF,SW,4,15-20,240344,0.96714,0.96631,-0.00082,0.03075,0.03097,0.00022,0.00211,0.00271,6e-04
5,FF,SW,5,20-25,255278,0.96771,0.96728,-0.00043,0.03022,0.03098,0.00076,0.00208,0.00174,-0.00034
6,FF,SW,6,25-30,234030,0.97152,0.9728,0.00128,0.02665,0.02607,-0.00058,0.00183,0.00113,-7e-04
7,FF,SW,7,30-35,191377,0.97686,0.97623,-0.00063,0.02166,0.02285,0.00119,0.00149,0.00092,-0.00057
8,FF,SW,8,35+,410728,0.98446,0.98327,-0.00119,0.01454,0.01641,0.00187,0.001,0.00032,-0.00068
25,RB,DW,1,0-5,18813,0.99284,0.99947,0.00663,0.00152,0,-0.00152,0.00564,0.00053,-0.00511
26,RB,DW,2,5-10,16557,0.98991,0.99311,0.0032,0.00214,0.00121,-0.00094,0.00794,0.00568,-0.00227
27,RB,DW,3,10-15,14499,0.9881,0.99007,0.00196,0.00253,0.00255,2e-05,0.00937,0.00738,-0.00199
28,RB,DW,4,15-20,13106,0.98718,0.97597,-0.01122,0.00272,0.00427,0.00155,0.01009,0.01976,0.00967
29,RB,DW,5,20-25,8677,0.98247,0.96888,-0.01359,0.00372,0.00599,0.00227,0.0138,0.02512,0.01132
30,RB,DW,6,25-30,4218,0.97968,0.97416,-0.00553,0.00432,0.00877,0.00446,0.016,0.01707,0.00107
31,RB,DW,7,30-35,1770,0.97752,0.97627,-0.00125,0.00478,0.00452,-0.00026,0.0177,0.01921,0.00151
32,RB,DW,8,35+,976,0.9759,0.97029,-0.00561,0.00512,0.01127,0.00615,0.01898,0.01844,-0.00054
17,RB,SW,1,0-5,3350,0.97527,0.99373,0.01846,0.02308,0.00537,-0.01771,0.00165,9e-04,-0.00075
18,RB,SW,2,5-10,9999,0.97324,0.9878,0.01455,0.02497,0.0115,-0.01347,0.00179,7e-04,-0.00109
19,RB,SW,3,10-15,19093,0.97365,0.98633,0.01268,0.02459,0.01142,-0.01317,0.00176,0.00225,0.00049
20,RB,SW,4,15-20,26212,0.97819,0.97658,-0.00161,0.02036,0.02144,0.00108,0.00146,0.00198,0.00053
21,RB,SW,5,20-25,36841,0.97833,0.97158,-0.00674,0.02023,0.02693,0.0067,0.00145,0.00149,5e-05
22,RB,SW,6,25-30,37789,0.97423,0.97179,-0.00244,0.02405,0.02622,0.00218,0.00172,0.00198,0.00027
23,RB,SW,7,30-35,31888,0.96653,0.96735,0.00083,0.03124,0.03042,-0.00082,0.00223,0.00223,-1e-05
24,RB,SW,8,35+,30722,0.95609,0.95671,0.00062,0.04098,0.04124,0.00026,0.00293,0.00205,-0.00088
