wall,regime,action,N_cells,total_n,weighted_RMSE,weighted_mean_residual,max_abs_residual
DW,FF,Exit,8,351597,0.00142900055054492,-0.000111562129369704,0.00313
DW,RB,Exit,8,78616,0.00180033101434683,0.000191939172687494,0.00516
SW,FF,Exit,8,1656628,0.00290032615805341,2.30443949999638e-05,0.00889
SW,RB,Exit,8,195894,0.0055440824545083,-0.00036083529868194,0.01503
DW,FF,Maintain,8,351597,0.00492138254233896,0.000112089636714762,0.01239
DW,RB,Maintain,8,78616,0.00778123866719746,-0.0010944632135952,0.01412
SW,FF,Maintain,8,1656628,0.00218953645394642,1.0706821326212e-05,0.00695
SW,RB,Maintain,8,195894,0.00556842067597901,0.000317185569746904,0.01555
DW,FF,Replace,8,351597,0.00358696631912296,-5.27507345057141e-07,0.00926
DW,RB,Replace,8,78616,0.00638818318590334,0.000898024956751806,0.01182
SW,FF,Replace,8,1656628,0.000916521079071784,-3.2595996204338e-05,0.00194
SW,RB,Replace,8,195894,0.000485526840139176,4.36497289350363e-05,0.00085
