s_idx,regime,wall,age_bin,age_label,n_cell,model_maintain,emp_maintain,res_maintain,model_exit,emp_exit,res_exit,model_replace,emp_replace,res_replace
9,FF,DW,1,0-5,64621,0.99017,0.9979,0.00772,0.00373,0.00111,-0.00262,0.00609,0.00099,-0.0051
10,FF,DW,2,5-10,77103,0.9906,0.98983,-0.00077,0.00378,0.00381,3e-05,0.00562,0.00636,0.00074
11,FF,DW,3,10-15,77966,0.98918,0.98524,-0.00394,0.00458,0.00557,0.00099,0.00624,0.0092,0.00295
12,FF,DW,4,15-20,62241,0.98787,0.98278,-0.00509,0.0052,0.00656,0.00136,0.00694,0.01067,0.00373
13,FF,DW,5,20-25,41520,0.98759,0.98776,0.00018,0.00539,0.00537,-2e-05,0.00702,0.00686,-0.00016
14,FF,DW,6,25-30,20407,0.98523,0.99196,0.00673,0.00652,0.00539,-0.00113,0.00825,0.00265,-0.0056
15,FF,DW,7,30-35,4872,0.97529,0.98768,0.01239,0.01011,0.00698,-0.00313,0.0146,0.00534,-0.00926
16,FF,DW,8,35+,2867,0.98196,0.98849,0.00653,0.0059,0.00767,0.00177,0.01214,0.00384,-0.0083
1,FF,SW,1,0-5,46709,0.97842,0.98219,0.00377,0.02023,0.0158,-0.00443,0.00136,0.00201,0.00066
2,FF,SW,2,5-10,97999,0.97507,0.98202,0.00695,0.02337,0.01448,-0.00889,0.00156,0.0035,0.00194
3,FF,SW,3,10-15,180163,0.96925,0.96968,0.00043,0.02888,0.02693,-0.00195,0.00188,0.0034,0.00152
4,FF,SW,4,15-20,240344,0.96609,0.96631,0.00023,0.03184,0.03097,-0.00087,0.00207,0.00271,0.00064
5,FF,SW,5,20-25,255278,0.96748,0.96728,-2e-04,0.03045,0.03098,0.00053,0.00207,0.00174,-0.00033
6,FF,SW,6,25-30,234030,0.97184,0.9728,0.00096,0.02628,0.02607,-0.00021,0.00188,0.00113,-0.00075
7,FF,SW,7,30-35,191377,0.97756,0.97623,-0.00133,0.02087,0.02285,0.00198,0.00156,0.00092,-0.00064
8,FF,SW,8,35+,410728,0.98544,0.98327,-0.00217,0.01346,0.01641,0.00295,0.0011,0.00032,-0.00078
25,RB,DW,1,0-5,18813,0.99219,0.99947,0.00727,0.0017,0,-0.0017,0.00611,0.00053,-0.00558
26,RB,DW,2,5-10,16557,0.99004,0.99311,0.00307,0.00216,0.00121,-0.00096,0.00779,0.00568,-0.00212
27,RB,DW,3,10-15,14499,0.98839,0.99007,0.00168,0.00252,0.00255,3e-05,0.00909,0.00738,-0.00171
28,RB,DW,4,15-20,13106,0.98734,0.97597,-0.01137,0.00275,0.00427,0.00152,0.00991,0.01976,0.00985
29,RB,DW,5,20-25,8677,0.983,0.96888,-0.01412,0.00369,0.00599,0.0023,0.0133,0.02512,0.01182
30,RB,DW,6,25-30,4218,0.97995,0.97416,-0.0058,0.00436,0.00877,0.00442,0.01569,0.01707,0.00138
31,RB,DW,7,30-35,1770,0.97653,0.97627,-0.00026,0.0051,0.00452,-0.00058,0.01837,0.01921,0.00084
32,RB,DW,8,35+,976,0.97187,0.97029,-0.00158,0.00611,0.01127,0.00516,0.02202,0.01844,-0.00358
17,RB,SW,1,0-5,3350,0.97818,0.99373,0.01555,0.02041,0.00537,-0.01503,0.00141,9e-04,-0.00052
18,RB,SW,2,5-10,9999,0.97607,0.9878,0.01173,0.02238,0.0115,-0.01088,0.00155,7e-04,-0.00085
19,RB,SW,3,10-15,19093,0.97542,0.98633,0.01091,0.02298,0.01142,-0.01157,0.00159,0.00225,0.00066
20,RB,SW,4,15-20,26212,0.97832,0.97658,-0.00175,0.02027,0.02144,0.00117,0.00141,0.00198,0.00058
21,RB,SW,5,20-25,36841,0.97767,0.97158,-0.00609,0.02088,0.02693,0.00604,0.00145,0.00149,5e-05
22,RB,SW,6,25-30,37789,0.97377,0.97179,-0.00198,0.02453,0.02622,0.0017,0.0017,0.00198,0.00028
23,RB,SW,7,30-35,31888,0.96656,0.96735,8e-04,0.03128,0.03042,-0.00086,0.00217,0.00223,6e-05
24,RB,SW,8,35+,30722,0.95658,0.95671,0.00013,0.04061,0.04124,0.00063,0.00282,0.00205,-0.00076
