parameter,estimate,SE_raw,CI_lo,CI_hi
kappa_SW,239187.516440712,732.88324802804,237751.091669704,240623.94121172
kappa_DW,214379.549523013,874.562228061154,212665.439053774,216093.659992252
K_SW,57185.5151700997,209.67467494234,56774.5603587426,57596.4699814568
K_DW,42554.0034660485,240.607256081084,42082.4219097105,43025.5850223864
gamma_price_FF,-10.2808308516975,0.285740489560378,-10.8408719201607,-9.72078978323436
gamma_price_RB,-7.04501471034399,0.154073756229718,-7.34699372351704,-6.74303569717094
gamma_risk_FF,0.0575121977115623,0.00493650552032532,0.0478368246822415,0.0671875707408831
gamma_risk_RB,-0.0767195272361388,0.00886729260134924,-0.0940991013751618,-0.0593399530971158
logL,-252364.73608011,,,
N_obs,2282735,,,
