state,obs_stayFE,ext_stayFE,obs_stayFE_dropSDMO,ext_stayFE_dropSDMO
TX,0,0,0,0
AR,-0.7101,-0.4605,-0.7107,-0.4579
CO,-0.7268,-0.6174,-0.7258,-0.6130
ID,-1.0109,-0.8334,-1.0117,-0.8307
KS,-0.3435,-0.1121,-0.3421,-0.1098
KY,-0.9832,-0.8251,-0.9839,-0.8237
LA,-1.2710,-1.0932,-1.2721,-1.0913
MA,-1.2074,-1.0646,-1.2027,-1.0562
MD,-1.1476,-1.0213,-1.1454,-1.0179
ME,-2.2666,-2.2702,-2.2615,-2.2627
MN,-0.5248,-0.2679,-0.5273,-0.2673
MO,20.0000,20.0000,dropped,dropped
NC,-0.2385,-0.0628,-0.2393,-0.0611
OH,-0.7375,-0.5925,-0.7391,-0.5904
OK,-0.6311,-0.4788,-0.6304,-0.4764
SD,1.4642,1.5631,dropped,dropped
TN,-0.6024,-0.3596,-0.6000,-0.3558
VA,0.0972,0.2818,0.0998,0.2849
