parameter,obs_noFE,ext_noFE,obs_stayFE,ext_stayFE,obs_stayFE_dropSDMO,ext_stayFE_dropSDMO
kappa_SW,26.5699324040894,26.1896012492996,25.7761982145515,25.7443508414386,25.8122309853007,25.7202508591213
kappa_DW,24.9404842706569,24.5624745538815,23.772485351553,23.6454899134683,23.8242342164598,23.6780658457493
K_SW,5.63854409511763,5.76529966912204,5.65705627272518,5.6885232775924,5.48208144678522,5.61895836389733
K_DW,3.73609261293372,3.81833832032866,3.8162714971939,3.95239668722569,3.83651583851089,3.91380954646666
gamma_price,-0.797371662681174,-1.56639371128711,-2.03428257146407,-2.53476963084244,-2.11065578333388,-2.54399769923638
gamma_risk,0.110416632817346,0.104783344937497,0.0798776183391071,0.0739843860973579,0.069466744730875,0.0741127213010789
log_L,-263199.067401116,-242454.472181031,-252799.77040317,-233574.95363201,-251014.75575334,-231994.521266055
N_obs,2282735,2300780,2282735,2300780,2028908,2057888
k_effective,6,6,23,23,21,21
BIC,526485.980111293,484996.836914586,505936.281157739,467486.828715358,502334.49468046,464294.323538324
