A_bin,w_state,scenario,action,P
1,1,baseline,maintain,0.981912393339138
1,1,baseline,exit,0.0157513091587385
1,1,baseline,replace,0.00233629750212318
2,1,baseline,maintain,0.980870027781274
2,1,baseline,exit,0.0166590368900069
2,1,baseline,replace,0.00247093532871893
3,1,baseline,maintain,0.978432862598074
3,1,baseline,exit,0.0187814040440075
3,1,baseline,replace,0.00278573335791824
4,1,baseline,maintain,0.974691027746396
4,1,baseline,exit,0.022039922358499
4,1,baseline,replace,0.0032690498951056
5,1,baseline,maintain,0.972047904267011
5,1,baseline,exit,0.0243416450711334
5,1,baseline,replace,0.0036104506618555
6,1,baseline,maintain,0.972466781987874
6,1,baseline,exit,0.0239768719640698
6,1,baseline,replace,0.00355634604805572
7,1,baseline,maintain,0.97316286986791
7,1,baseline,exit,0.0233706947287028
7,1,baseline,replace,0.00346643540338742
8,1,baseline,maintain,0.973453172930193
8,1,baseline,exit,0.0231178888506515
8,1,baseline,replace,0.00342893821915587
1,2,baseline,maintain,0.989297982530407
1,2,baseline,exit,0.00828807723962662
1,2,baseline,replace,0.00241394022996616
2,2,baseline,maintain,0.991544876178758
2,2,baseline,exit,0.00654799148853649
2,2,baseline,replace,0.00190713233270571
3,2,baseline,maintain,0.991728830777745
3,2,baseline,exit,0.00640552957148921
3,2,baseline,replace,0.00186563965076565
4,2,baseline,maintain,0.99139538916334
4,2,baseline,exit,0.00666376030816515
4,2,baseline,replace,0.00194085052849438
5,2,baseline,maintain,0.991540449434375
5,2,baseline,exit,0.00655141973928204
5,2,baseline,replace,0.00190813082634348
6,2,baseline,maintain,0.991010946937254
6,2,baseline,exit,0.00696148799110252
6,2,baseline,replace,0.00202756507164329
7,2,baseline,maintain,0.988853498790348
7,2,baseline,exit,0.00863230351096657
7,2,baseline,replace,0.00251419769868591
8,2,baseline,maintain,0.983565245867143
8,2,baseline,exit,0.012727741479997
8,2,baseline,replace,0.00370701265285964
1,1,cf_TX_FF,maintain,0.991484689628631
1,1,cf_TX_FF,exit,0.00628392863513083
1,1,cf_TX_FF,replace,0.00223138173623783
2,1,cf_TX_FF,maintain,0.991212834656255
2,1,cf_TX_FF,exit,0.0064845457789592
2,1,cf_TX_FF,replace,0.00230261956478543
3,1,cf_TX_FF,maintain,0.989983882088773
3,1,cf_TX_FF,exit,0.00739145931390016
3,1,cf_TX_FF,replace,0.00262465859732642
4,1,cf_TX_FF,maintain,0.987308651660833
4,1,cf_TX_FF,exit,0.00936566299627369
4,1,cf_TX_FF,replace,0.00332568534289354
5,1,cf_TX_FF,maintain,0.986261807716773
5,1,cf_TX_FF,exit,0.0101381882889173
5,1,cf_TX_FF,replace,0.00360000399431006
6,1,cf_TX_FF,maintain,0.987088225723915
6,1,cf_TX_FF,exit,0.00952832774911485
6,1,cf_TX_FF,replace,0.00338344652697036
7,1,cf_TX_FF,maintain,0.988426736314435
7,1,cf_TX_FF,exit,0.00854056515898368
7,1,cf_TX_FF,replace,0.00303269852658162
8,1,cf_TX_FF,maintain,0.990286551916308
8,1,cf_TX_FF,exit,0.00716810214742152
8,1,cf_TX_FF,replace,0.00254534593627042
1,2,cf_TX_FF,maintain,0.994254389991018
1,2,cf_TX_FF,exit,0.0034356509901771
1,2,cf_TX_FF,replace,0.00230995901880445
2,2,cf_TX_FF,maintain,0.995583269960582
2,2,cf_TX_FF,exit,0.00264103252910509
2,2,cf_TX_FF,replace,0.00177569751031311
3,2,cf_TX_FF,maintain,0.995772235627322
3,2,cf_TX_FF,exit,0.00252803842072802
3,2,cf_TX_FF,replace,0.00169972595194945
4,2,cf_TX_FF,maintain,0.995492588093787
4,2,cf_TX_FF,exit,0.00269525675333134
4,2,cf_TX_FF,replace,0.00181215515288135
5,2,cf_TX_FF,maintain,0.994337264674958
5,2,cf_TX_FF,exit,0.00338609515720316
5,2,cf_TX_FF,replace,0.00227664016783856
6,2,cf_TX_FF,maintain,0.991844188194002
6,2,cf_TX_FF,exit,0.00487685778588766
6,2,cf_TX_FF,replace,0.00327895402011053
7,2,cf_TX_FF,maintain,0.990772933414455
7,2,cf_TX_FF,exit,0.00551742641799629
7,2,cf_TX_FF,replace,0.003709640167549
8,2,cf_TX_FF,maintain,0.991340815462451
8,2,cf_TX_FF,exit,0.00517785507266434
8,2,cf_TX_FF,replace,0.00348132946488457
