start_state,scenario,action,age_at_event,density
A1_W1_TX,baseline,Exit,[1-5],0.078
A1_W1_TX,baseline,Exit,[6-10],0.0723
A1_W1_TX,baseline,Exit,[11-15],0.0645
A1_W1_TX,baseline,Exit,[16+],0.3309
A1_W1_TX,baseline,Retrofit,[1-5],0.0104
A1_W1_TX,baseline,Retrofit,[6-10],0.0114
A1_W1_TX,baseline,Retrofit,[11-15],0.01
A1_W1_TX,baseline,Retrofit,[16+],0.0477
A1_W1_TX,cf_TX_FF,Exit,[1-5],0.0304
A1_W1_TX,cf_TX_FF,Exit,[6-10],0.0296
A1_W1_TX,cf_TX_FF,Exit,[11-15],0.0309
A1_W1_TX,cf_TX_FF,Exit,[16+],0.1784
A1_W1_TX,cf_TX_FF,Retrofit,[1-5],0.0133
A1_W1_TX,cf_TX_FF,Retrofit,[6-10],0.009
A1_W1_TX,cf_TX_FF,Retrofit,[11-15],0.0112
A1_W1_TX,cf_TX_FF,Retrofit,[16+],0.0599
A1_W2_TX,baseline,Exit,[1-5],0.0423
A1_W2_TX,baseline,Exit,[6-10],0.0342
A1_W2_TX,baseline,Exit,[11-15],0.0305
A1_W2_TX,baseline,Exit,[16+],0.1742
A1_W2_TX,baseline,Retrofit,[1-5],0.0119
A1_W2_TX,baseline,Retrofit,[6-10],0.0107
A1_W2_TX,baseline,Retrofit,[11-15],0.0081
A1_W2_TX,baseline,Retrofit,[16+],0.0528
A1_W2_TX,cf_TX_FF,Exit,[1-5],0.016
A1_W2_TX,cf_TX_FF,Exit,[6-10],0.0161
A1_W2_TX,cf_TX_FF,Exit,[11-15],0.0153
A1_W2_TX,cf_TX_FF,Exit,[16+],0.0841
A1_W2_TX,cf_TX_FF,Retrofit,[1-5],0.0124
A1_W2_TX,cf_TX_FF,Retrofit,[6-10],0.0115
A1_W2_TX,cf_TX_FF,Retrofit,[11-15],0.011
A1_W2_TX,cf_TX_FF,Retrofit,[16+],0.0523
A2_W1_TX,baseline,Exit,[1-5],0.0838
A2_W1_TX,baseline,Exit,[6-10],0.0722
A2_W1_TX,baseline,Exit,[11-15],0.0669
A2_W1_TX,baseline,Exit,[16+],0.3245
A2_W1_TX,baseline,Retrofit,[1-5],0.0111
A2_W1_TX,baseline,Retrofit,[6-10],0.0118
A2_W1_TX,baseline,Retrofit,[11-15],0.0105
A2_W1_TX,baseline,Retrofit,[16+],0.0513
A2_W1_TX,cf_TX_FF,Exit,[1-5],0.0321
A2_W1_TX,cf_TX_FF,Exit,[6-10],0.0311
A2_W1_TX,cf_TX_FF,Exit,[11-15],0.028
A2_W1_TX,cf_TX_FF,Exit,[16+],0.1839
A2_W1_TX,cf_TX_FF,Retrofit,[1-5],0.0114
A2_W1_TX,cf_TX_FF,Retrofit,[6-10],0.0119
A2_W1_TX,cf_TX_FF,Retrofit,[11-15],0.0098
A2_W1_TX,cf_TX_FF,Retrofit,[16+],0.0646
A2_W2_TX,baseline,Exit,[1-5],0.0318
A2_W2_TX,baseline,Exit,[6-10],0.0312
A2_W2_TX,baseline,Exit,[11-15],0.0292
A2_W2_TX,baseline,Exit,[16+],0.1767
A2_W2_TX,baseline,Retrofit,[1-5],0.0089
A2_W2_TX,baseline,Retrofit,[6-10],0.0087
A2_W2_TX,baseline,Retrofit,[11-15],0.0085
A2_W2_TX,baseline,Retrofit,[16+],0.0534
A2_W2_TX,cf_TX_FF,Exit,[1-5],0.0127
A2_W2_TX,cf_TX_FF,Exit,[6-10],0.0147
A2_W2_TX,cf_TX_FF,Exit,[11-15],0.0112
A2_W2_TX,cf_TX_FF,Exit,[16+],0.0775
A2_W2_TX,cf_TX_FF,Retrofit,[1-5],0.0089
A2_W2_TX,cf_TX_FF,Retrofit,[6-10],0.0087
A2_W2_TX,cf_TX_FF,Retrofit,[11-15],0.0083
A2_W2_TX,cf_TX_FF,Retrofit,[16+],0.0506
