s_idx,A_bin,w_state,baseline_P,cf_P,source
17,1,1,0.0280267693062474,0.003,median_FF_control_2006plus
25,1,2,0.0268880072532488,0.005,median_FF_control_2006plus
18,2,1,0.0302328046995022,0.0035,median_FF_control_2006plus
26,2,2,0.0281164154903652,0.0054,median_FF_control_2006plus
19,3,1,0.0308975232523904,0.0035,median_FF_control_2006plus
27,3,2,0.028903513555333,0.0054,median_FF_control_2006plus
20,4,1,0.0306508851923748,0.005,median_FF_control_2006plus
28,4,2,0.0297525607493459,0.006,median_FF_control_2006plus
21,5,1,0.0318568556570747,0.005,median_FF_control_2006plus
29,5,2,0.0321953648149017,0.015,median_FF_control_2006plus
22,6,1,0.0331567926355702,0.005,median_FF_control_2006plus
30,6,2,0.03353614520744,0.025,median_FF_control_2006plus
23,7,1,0.0353862399289822,0.005,median_FF_control_2006plus
31,7,2,0.0360344193087255,0.025,median_FF_control_2006plus
24,8,1,0.0379906559405987,0.003,median_FF_control_2006plus
32,8,2,0.0394282895929751,0.015,median_FF_control_2006plus
