s_idx,regime,wall,age_bin,age_label,n_cell,model_maintain,emp_maintain,res_maintain,model_exit,emp_exit,res_exit,model_replace,emp_replace,res_replace
9,FF,DW,1,0-5,75344,0.99275,0.9977,0.00495,0.0049,0.00198,-0.00292,0.00235,0.00032,-0.00203
10,FF,DW,2,5-10,79010,0.99437,0.99356,-0.00082,0.0038,0.00563,0.00183,0.00182,0.00081,-0.00101
11,FF,DW,3,10-15,76516,0.99453,0.98859,-0.00594,0.0037,0.00954,0.00584,0.00178,0.00187,9e-05
12,FF,DW,4,15-20,59733,0.99441,0.9846,-0.00981,0.00378,0.01282,0.00905,0.00181,0.00258,0.00077
13,FF,DW,5,20-25,37657,0.99488,0.98088,-0.014,0.00346,0.01628,0.01282,0.00166,0.00284,0.00118
14,FF,DW,6,25-30,17294,0.99459,0.97363,-0.02095,0.00366,0.02151,0.01785,0.00176,0.00486,0.0031
15,FF,DW,7,30-35,3354,0.99299,0.98599,-0.007,0.00474,0.01103,0.00629,0.00227,0.00298,0.00071
16,FF,DW,8,35+,2617,0.99137,0.98051,-0.01086,0.00583,0.01758,0.01175,0.0028,0.00191,-0.00089
1,FF,SW,1,0-5,58241,0.98903,0.98848,-0.00055,0.0087,0.01056,0.00186,0.00227,0.00096,-0.00131
2,FF,SW,2,5-10,111053,0.98849,0.98941,0.00092,0.00913,0.00936,0.00024,0.00238,0.00122,-0.00115
3,FF,SW,3,10-15,196202,0.98685,0.97818,-0.00867,0.01043,0.0192,0.00877,0.00272,0.00262,-9e-05
4,FF,SW,4,15-20,248059,0.98424,0.97199,-0.01224,0.0125,0.02437,0.01186,0.00326,0.00364,0.00038
5,FF,SW,5,20-25,253677,0.98313,0.97421,-0.00892,0.01338,0.02229,0.00891,0.00349,0.0035,1e-05
6,FF,SW,6,25-30,228981,0.98431,0.97571,-0.00859,0.01245,0.02001,0.00756,0.00324,0.00428,0.00104
7,FF,SW,7,30-35,181463,0.98626,0.97896,-0.0073,0.0109,0.01803,0.00713,0.00284,0.00301,0.00017
8,FF,SW,8,35+,379024,0.98824,0.98482,-0.00342,0.00933,0.01409,0.00476,0.00243,0.00109,-0.00134
25,RB,DW,1,0-5,21234,0.9893,0.99849,0.0092,0.00829,0.00127,-0.00702,0.00241,0.00024,-0.00218
26,RB,DW,2,5-10,16152,0.99154,0.99505,0.0035,0.00655,0.00483,-0.00172,0.00191,0.00012,-0.00178
27,RB,DW,3,10-15,14383,0.99173,0.98915,-0.00257,0.00641,0.0073,0.00089,0.00187,0.00355,0.00168
28,RB,DW,4,15-20,12775,0.9914,0.98239,-0.00901,0.00666,0.01409,0.00743,0.00194,0.00352,0.00158
29,RB,DW,5,20-25,7755,0.99154,0.98027,-0.01127,0.00655,0.01547,0.00892,0.00191,0.00426,0.00235
30,RB,DW,6,25-30,3752,0.99101,0.97388,-0.01713,0.00696,0.01972,0.01276,0.00203,0.0064,0.00437
31,RB,DW,7,30-35,1456,0.98885,0.96909,-0.01976,0.00863,0.02541,0.01678,0.00251,0.00549,0.00298
32,RB,DW,8,35+,839,0.98357,0.96186,-0.02171,0.01273,0.02741,0.01469,0.00371,0.01073,0.00702
17,RB,SW,1,0-5,4417,0.98191,0.99887,0.01696,0.01575,0.00091,-0.01485,0.00234,0.00023,-0.00211
18,RB,SW,2,5-10,11788,0.98087,0.99601,0.01514,0.01666,0.00365,-0.01301,0.00247,0.00034,-0.00213
19,RB,SW,3,10-15,20296,0.97843,0.99202,0.01359,0.01878,0.00665,-0.01213,0.00279,0.00133,-0.00146
20,RB,SW,4,15-20,28217,0.97469,0.98012,0.00543,0.02204,0.01783,-0.00421,0.00327,0.00206,-0.00121
21,RB,SW,5,20-25,38105,0.97205,0.97457,0.00252,0.02434,0.02168,-0.00266,0.00361,0.00375,0.00014
22,RB,SW,6,25-30,37488,0.97247,0.96978,-0.00269,0.02398,0.02291,-0.00106,0.00356,0.00731,0.00375
23,RB,SW,7,30-35,29795,0.97316,0.96204,-0.01112,0.02337,0.02886,0.00549,0.00347,0.0091,0.00563
24,RB,SW,8,35+,26058,0.97345,0.95115,-0.02231,0.02312,0.04018,0.01706,0.00343,0.00867,0.00524
