scenario,component,E_label,E_external_USD,level_USD,delta_USD
CF1_flatfee,ExternalDamage_USD,HEALTH_ONLY,17000,3453,41
CF1_flatfee,GovtOutlay_USD,HEALTH_ONLY,17000,0,0
CF1_flatfee,ProducerSurplus_USD,HEALTH_ONLY,17000,306215,9213
CF1_flatfee,SocialWelfare_USD,HEALTH_ONLY,17000,302762,9172
CF1_flatfee,ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,10156,120
CF1_flatfee,GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,0,0
CF1_flatfee,ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,306215,9213
CF1_flatfee,SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,296058,9092
CF2_subsidy,ExternalDamage_USD,HEALTH_ONLY,17000,3324,-89
CF2_subsidy,GovtOutlay_USD,HEALTH_ONLY,17000,18170,18170
CF2_subsidy,ProducerSurplus_USD,HEALTH_ONLY,17000,302150,5148
CF2_subsidy,SocialWelfare_USD,HEALTH_ONLY,17000,280656,-12933
CF2_subsidy,ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,9775,-261
CF2_subsidy,GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,18170,18170
CF2_subsidy,ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,302150,5148
CF2_subsidy,SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,274205,-12761
CF3_pigou,ExternalDamage_USD,HEALTH_ONLY,17000,3393,-20
CF3_pigou,GovtOutlay_USD,HEALTH_ONLY,17000,0,0
CF3_pigou,ProducerSurplus_USD,HEALTH_ONLY,17000,294622,-2380
CF3_pigou,SocialWelfare_USD,HEALTH_ONLY,17000,291229,-2361
CF3_pigou,ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,9842,-194
CF3_pigou,GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,0,0
CF3_pigou,ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,290481,-6521
CF3_pigou,SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,280639,-6327
CF4_mandate,ExternalDamage_USD,HEALTH_ONLY,17000,1951,-1461
CF4_mandate,GovtOutlay_USD,HEALTH_ONLY,17000,0,0
CF4_mandate,ProducerSurplus_USD,HEALTH_ONLY,17000,283316,-13686
CF4_mandate,SocialWelfare_USD,HEALTH_ONLY,17000,281365,-12225
CF4_mandate,ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,5739,-4297
CF4_mandate,GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,0,0
CF4_mandate,ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,283316,-13686
CF4_mandate,SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,277577,-9389
baseline,ExternalDamage_USD,HEALTH_ONLY,17000,3412,0
baseline,GovtOutlay_USD,HEALTH_ONLY,17000,0,0
baseline,ProducerSurplus_USD,HEALTH_ONLY,17000,297002,0
baseline,SocialWelfare_USD,HEALTH_ONLY,17000,293590,0
baseline,ExternalDamage_USD,HEALTH_PLUS_UNMEASURED,50000,10036,0
baseline,GovtOutlay_USD,HEALTH_PLUS_UNMEASURED,50000,0,0
baseline,ProducerSurplus_USD,HEALTH_PLUS_UNMEASURED,50000,297002,0
baseline,SocialWelfare_USD,HEALTH_PLUS_UNMEASURED,50000,286966,0
