state,regime,meanH,q10,q90,D_usd,nfy
OH,Flat fee,0.00966,0.0068,0.01236,55000,172007
TN,Flat fee,0.01042,0.0068,0.01257,17100,151960
NC,Flat fee,0.01019,0.00459,0.01257,17053,176805
CO,Flat fee,0.01006,0.0068,0.01257,10000,65144
ID,Flat fee,0.00951,0.0068,0.01257,10000,28622
MO,Flat fee,0.01135,0.00747,0.01257,10000,187130
AR,Flat fee,0.01,0.0068,0.01257,7500,76279
OK,Flat fee,0.0106,0.0068,0.01257,5000,113412
TX,Risk-based (TX),0.01,0.0068,0.01257,5000,423596
LA,Flat fee,0.00987,0.00459,0.01257,5000,85776
MA,Flat fee,0.00938,0.0068,0.01257,5000,91553
ME,Flat fee,0.00934,0.0068,0.01257,500,26306
KY,Flat fee,0.00994,0.00459,0.01257,500,101558
VA,Flat fee,0.01081,0.00731,0.01257,500,251217
MN,Flat fee,0.00938,0.00459,0.01236,0,97917
SD,Flat fee,0.01134,0.00747,0.01257,0,50680
