state,age_bin,mean_oop,n
AR,1,78.61,5232
AR,2,43.59,8819
AR,3,55.54,11839
AR,4,73.32,13056
AR,5,81.9,11876
AR,6,88.85,9423
AR,7,92.29,6622
AR,8,94.25,9412
CO,1,118.27,5032
CO,2,63.04,7958
CO,3,73.69,9812
CO,4,95.87,10455
CO,5,105.52,9605
CO,6,117.32,7760
CO,7,123.02,5859
CO,8,125.64,8663
ID,1,100.64,2164
ID,2,58.94,3842
ID,3,73.97,5365
ID,4,96.94,5495
ID,5,106.32,4826
ID,6,116.85,3258
ID,7,122.63,1893
ID,8,125.69,1779
KY,1,3.73,6382
KY,2,2.58,10739
KY,3,3.72,15077
KY,4,4.97,17269
KY,5,5.58,15953
KY,6,5.96,12207
KY,7,6.16,8958
KY,8,6.28,14973
LA,1,40.66,6106
LA,2,26.2,9691
LA,3,37.19,12501
LA,4,49.78,15463
LA,5,56.14,14578
LA,6,59.69,11365
LA,7,61.62,8415
LA,8,62.76,7657
MA,1,63.09,6687
MA,2,33.83,11400
MA,3,36.63,17552
MA,4,46.48,19313
MA,5,48.03,16262
MA,6,54.7,11340
MA,7,58.85,5586
MA,8,62.65,3413
ME,1,6.31,851
ME,2,3.39,2807
ME,3,3.67,5814
ME,4,4.67,5822
ME,5,4.77,4492
ME,6,5.39,2949
ME,7,6.04,1576
ME,8,6.28,1995
MN,1,0,6999
MN,2,0,13152
MN,3,0,18752
MN,4,0,19917
MN,5,0,16880
MN,6,0,11028
MN,7,0,5802
MN,8,0,5387
MO,1,79.32,4686
MO,2,53.17,7039
MO,3,74.35,11171
MO,4,99.62,16941
MO,5,112.49,22408
MO,6,119.62,26942
MO,7,123.29,29014
MO,8,125.62,68929
NC,1,130.7,8242
NC,2,87.47,17068
NC,3,126.94,24957
NC,4,170.56,28296
NC,5,193.28,27729
NC,6,204.65,24151
NC,7,210.6,19072
NC,8,214.3,27290
OH,1,506.2,10744
OH,2,306.85,19811
OH,3,407.95,30872
OH,4,539.9,33612
OH,5,597.57,29425
OH,6,645.24,22359
OH,7,671.41,13978
OH,8,689.52,11206
OK,1,40.45,5819
OK,2,26.13,8779
OK,3,37.21,11419
OK,4,49.94,15448
OK,5,56.46,17034
OK,6,59.94,15981
OK,7,61.73,14053
OK,8,62.85,24879
SD,1,0,1254
SD,2,0,2050
SD,3,0,3148
SD,4,0,4515
SD,5,0,6339
SD,6,0,7624
SD,7,0,7869
SD,8,0,17881
TN,1,187.87,8585
TN,2,103.79,14167
TN,3,126.31,19278
TN,4,165.63,21536
TN,5,183.5,21241
TN,6,201.27,18527
TN,7,210.05,15402
TN,8,214.93,33224
TX,1,49.23,34137
TX,2,28.45,47208
TX,3,37.06,59352
TX,4,49.17,73249
TX,5,54.98,69069
TX,6,59.18,57000
TX,7,61.22,43500
TX,8,62.74,40081
VA,1,4.39,8632
VA,2,2.76,16613
VA,3,3.71,24973
VA,4,4.93,30722
VA,5,5.51,33105
VA,6,5.94,32158
VA,7,6.17,29568
VA,8,6.29,75446
