state,size_lab,age_bin,mean_oop,n
AR,1 tank,1,75.85,1433
AR,1 tank,2,44.08,2270
AR,1 tank,3,55.43,2766
AR,1 tank,4,72.68,2790
AR,1 tank,5,80.5,2382
AR,1 tank,6,88.21,1858
AR,1 tank,7,92.3,1395
AR,1 tank,8,94.23,2819
AR,2 tanks,1,81.02,2701
AR,2 tanks,2,44.24,4020
AR,2 tanks,3,55.48,4439
AR,2 tanks,4,72.99,4352
AR,2 tanks,5,81.88,3651
AR,2 tanks,6,89.34,2558
AR,2 tanks,7,92.52,1695
AR,2 tanks,8,94.28,2539
AR,3 tanks,1,73.94,729
AR,3 tanks,2,41.87,1758
AR,3 tanks,3,55.62,2950
AR,3 tanks,4,73.66,3642
AR,3 tanks,5,82.11,3559
AR,3 tanks,6,88.67,2909
AR,3 tanks,7,92.13,1937
AR,3 tanks,8,94.21,2089
AR,4+ tanks,1,80.93,369
AR,4+ tanks,2,42.67,771
AR,4+ tanks,3,55.72,1684
AR,4+ tanks,4,74.21,2272
AR,4+ tanks,5,83.09,2284
AR,4+ tanks,6,89.07,2098
AR,4+ tanks,7,92.23,1595
AR,4+ tanks,8,94.27,1965
CO,1 tank,1,116.02,926
CO,1 tank,2,61.67,1693
CO,1 tank,3,73.74,2039
CO,1 tank,4,96.04,2098
CO,1 tank,5,105.61,1963
CO,1 tank,6,116.69,1582
CO,1 tank,7,123.19,1115
CO,1 tank,8,125.72,2379
CO,2 tanks,1,120.4,2362
CO,2 tanks,2,64.33,3095
CO,2 tanks,3,73.52,3048
CO,2 tanks,4,94.7,2787
CO,2 tanks,5,103.64,2264
CO,2 tanks,6,117.25,1618
CO,2 tanks,7,123.11,1259
CO,2 tanks,8,125.66,2139
CO,3 tanks,1,116.49,1271
CO,3 tanks,2,62.85,2340
CO,3 tanks,3,73.73,3393
CO,3 tanks,4,96.18,4052
CO,3 tanks,5,105.66,3856
CO,3 tanks,6,117.28,3098
CO,3 tanks,7,122.9,2325
CO,3 tanks,8,125.53,2459
CO,4+ tanks,1,116.84,473
CO,4+ tanks,2,61.57,830
CO,4+ tanks,3,73.91,1332
CO,4+ tanks,4,96.93,1518
CO,4+ tanks,5,107.84,1522
CO,4+ tanks,6,118.16,1462
CO,4+ tanks,7,123,1160
CO,4+ tanks,8,125.68,1686
ID,1 tank,1,100.77,381
ID,1 tank,2,60.61,695
ID,1 tank,3,73.9,1174
ID,1 tank,4,95.99,1132
ID,1 tank,5,102.8,993
ID,1 tank,6,113.23,684
ID,1 tank,7,119.68,302
ID,1 tank,8,125.48,267
ID,2 tanks,1,90.69,429
ID,2 tanks,2,57.25,922
ID,2 tanks,3,74.04,1327
ID,2 tanks,4,97.35,1386
ID,2 tanks,5,107.2,1228
ID,2 tanks,6,116.8,821
ID,2 tanks,7,123.07,429
ID,2 tanks,8,125.73,424
ID,3 tanks,1,99.54,894
ID,3 tanks,2,58.43,1492
ID,3 tanks,3,73.97,1864
ID,3 tanks,4,97.12,1948
ID,3 tanks,5,107.54,1664
ID,3 tanks,6,118.38,1057
ID,3 tanks,7,123.31,708
ID,3 tanks,8,125.73,614
ID,4+ tanks,1,111.95,460
ID,4+ tanks,2,60.51,733
ID,4+ tanks,3,73.95,1000
ID,4+ tanks,4,97.08,1029
ID,4+ tanks,5,106.73,941
ID,4+ tanks,6,118.15,696
ID,4+ tanks,7,123.1,454
ID,4+ tanks,8,125.73,474
KY,1 tank,1,3.72,694
KY,1 tank,2,2.64,1208
KY,1 tank,3,3.72,1884
KY,1 tank,4,4.94,2084
KY,1 tank,5,5.49,2061
KY,1 tank,6,5.92,1879
KY,1 tank,7,6.15,1599
KY,1 tank,8,6.29,4791
KY,2 tanks,1,3.27,1824
KY,2 tanks,2,2.52,3092
KY,2 tanks,3,3.72,3764
KY,2 tanks,4,4.96,3897
KY,2 tanks,5,5.57,3310
KY,2 tanks,6,5.95,2173
KY,2 tanks,7,6.16,1682
KY,2 tanks,8,6.28,4761
KY,3 tanks,1,4.09,2187
KY,3 tanks,2,2.64,3298
KY,3 tanks,3,3.72,4265
KY,3 tanks,4,4.97,4844
KY,3 tanks,5,5.6,4421
KY,3 tanks,6,5.98,3395
KY,3 tanks,7,6.17,2512
KY,3 tanks,8,6.29,2832
KY,4+ tanks,1,3.76,1677
KY,4+ tanks,2,2.56,3141
KY,4+ tanks,3,3.72,5164
KY,4+ tanks,4,4.99,6444
KY,4+ tanks,5,5.61,6161
KY,4+ tanks,6,5.97,4760
KY,4+ tanks,7,6.15,3165
KY,4+ tanks,8,6.28,2589
LA,1 tank,1,38.37,1495
LA,1 tank,2,26.37,2293
LA,1 tank,3,37.15,2666
LA,1 tank,4,49.44,2852
LA,1 tank,5,55.02,2388
LA,1 tank,6,59.04,1543
LA,1 tank,7,61.42,929
LA,1 tank,8,62.68,1073
LA,2 tanks,1,43.32,2830
LA,2 tanks,2,26.66,3851
LA,2 tanks,3,37.17,3846
LA,2 tanks,4,49.69,3854
LA,2 tanks,5,56.2,3301
LA,2 tanks,6,59.67,2294
LA,2 tanks,7,61.53,1761
LA,2 tanks,8,62.66,2036
LA,3 tanks,1,38.88,1489
LA,3 tanks,2,25.77,2861
LA,3 tanks,3,37.2,4419
LA,3 tanks,4,49.86,5902
LA,3 tanks,5,56.32,5935
LA,3 tanks,6,59.8,4883
LA,3 tanks,7,61.67,3658
LA,3 tanks,8,62.81,3038
LA,4+ tanks,1,35.68,292
LA,4+ tanks,2,24.81,686
LA,4+ tanks,3,37.24,1570
LA,4+ tanks,4,50.07,2855
LA,4+ tanks,5,56.6,2954
LA,4+ tanks,6,59.89,2645
LA,4+ tanks,7,61.7,2067
LA,4+ tanks,8,62.84,1510
MA,1 tank,1,63.11,1573
MA,1 tank,2,33.83,3075
MA,1 tank,3,36.59,4503
MA,1 tank,4,45.81,4521
MA,1 tank,5,46,3623
MA,1 tank,6,53.22,2315
MA,1 tank,7,57.46,1045
MA,1 tank,8,62.29,927
MA,2 tanks,1,63.07,3431
MA,2 tanks,2,33.85,4701
MA,2 tanks,3,36.59,5325
MA,2 tanks,4,45.73,4904
MA,2 tanks,5,45.72,3560
MA,2 tanks,6,53.54,1813
MA,2 tanks,7,57.9,752
MA,2 tanks,8,62.7,655
MA,3 tanks,1,63.2,1352
MA,3 tanks,2,33.85,2666
MA,3 tanks,3,36.67,4753
MA,3 tanks,4,46.91,5736
MA,3 tanks,5,49.24,5235
MA,3 tanks,6,55.44,4102
MA,3 tanks,7,59.45,2201
MA,3 tanks,8,62.8,1037
MA,4+ tanks,1,62.65,331
MA,4+ tanks,2,33.64,958
MA,4+ tanks,3,36.71,2971
MA,4+ tanks,4,47.51,4152
MA,4+ tanks,5,50.44,3844
MA,4+ tanks,6,55.49,3110
MA,4+ tanks,7,59.38,1588
MA,4+ tanks,8,62.82,794
ME,1 tank,1,6.32,591
ME,1 tank,2,3.4,1665
ME,1 tank,3,3.66,2705
ME,1 tank,4,4.56,2435
ME,1 tank,5,4.48,1931
ME,1 tank,6,5.15,1212
ME,1 tank,7,6.03,767
ME,1 tank,8,6.29,1023
ME,2 tanks,1,6.25,168
ME,2 tanks,2,3.37,670
ME,2 tanks,3,3.67,1368
ME,2 tanks,4,4.66,1273
ME,2 tanks,5,4.73,909
ME,2 tanks,6,5.32,538
ME,2 tanks,7,6.05,324
ME,2 tanks,8,6.28,518
ME,3 tanks,1,6.33,79
ME,3 tanks,2,3.38,371
ME,3 tanks,3,3.68,1161
ME,3 tanks,4,4.78,1380
ME,3 tanks,5,5.09,1046
ME,3 tanks,6,5.64,763
ME,3 tanks,7,6.07,325
ME,3 tanks,8,6.29,321
ME,4+ tanks,2,3.38,101
ME,4+ tanks,3,3.69,580
ME,4+ tanks,4,4.83,734
ME,4+ tanks,5,5.22,606
ME,4+ tanks,6,5.73,436
ME,4+ tanks,7,6.06,160
ME,4+ tanks,8,6.29,133
MN,1 tank,1,0,2154
MN,1 tank,2,0,3572
MN,1 tank,3,0,4451
MN,1 tank,4,0,4382
MN,1 tank,5,0,3390
MN,1 tank,6,0,2168
MN,1 tank,7,0,1267
MN,1 tank,8,0,2571
MN,2 tanks,1,0,1997
MN,2 tanks,2,0,3578
MN,2 tanks,3,0,4569
MN,2 tanks,4,0,4662
MN,2 tanks,5,0,3937
MN,2 tanks,6,0,2382
MN,2 tanks,7,0,1188
MN,2 tanks,8,0,1375
MN,3 tanks,1,0,1400
MN,3 tanks,2,0,3052
MN,3 tanks,3,0,4923
MN,3 tanks,4,0,5405
MN,3 tanks,5,0,4785
MN,3 tanks,6,0,3244
MN,3 tanks,7,0,1699
MN,3 tanks,8,0,807
MN,4+ tanks,1,0,1448
MN,4+ tanks,2,0,2950
MN,4+ tanks,3,0,4809
MN,4+ tanks,4,0,5468
MN,4+ tanks,5,0,4768
MN,4+ tanks,6,0,3234
MN,4+ tanks,7,0,1648
MN,4+ tanks,8,0,634
MO,1 tank,1,78.41,741
MO,1 tank,2,54.19,1261
MO,1 tank,3,74.27,2128
MO,1 tank,4,99.37,3753
MO,1 tank,5,112.01,5667
MO,1 tank,6,119.36,7143
MO,1 tank,7,123.16,7701
MO,1 tank,8,125.61,26276
MO,2 tanks,1,77.95,2389
MO,2 tanks,2,52.81,3222
MO,2 tanks,3,74.32,3810
MO,2 tanks,4,99.4,4847
MO,2 tanks,5,112.25,5582
MO,2 tanks,6,119.53,6225
MO,2 tanks,7,123.28,6689
MO,2 tanks,8,125.66,16202
MO,3 tanks,1,74.57,1105
MO,3 tanks,2,52.45,1881
MO,3 tanks,3,74.38,3227
MO,3 tanks,4,99.66,4533
MO,3 tanks,5,112.57,5594
MO,3 tanks,6,119.7,6377
MO,3 tanks,7,123.31,6957
MO,3 tanks,8,125.6,13536
MO,4+ tanks,1,99.69,451
MO,4+ tanks,2,54.92,675
