state,age_bin,mean_prem,n
AR,1,102.1,5232
AR,2,107.6,8819
AR,3,117.4,11839
AR,4,123.7,13056
AR,5,127.7,11876
AR,6,132,9423
AR,7,132.6,6622
AR,8,121.4,9412
CO,1,80.1,5032
CO,2,81.3,7958
CO,3,85.5,9812
CO,4,88,10455
CO,5,89.7,9605
CO,6,92.4,7760
CO,7,93.7,5859
CO,8,86.4,8663
ID,1,41.9,2164
ID,2,40.5,3842
ID,3,39.2,5365
ID,4,39.4,5495
ID,5,39.6,4826
ID,6,40,3258
ID,7,42.6,1893
ID,8,43.9,1779
KY,1,85.6,6382
KY,2,86.6,10739
KY,3,89.5,15077
KY,4,91.9,17269
KY,5,92.6,15953
KY,6,92.8,12207
KY,7,89.2,8958
KY,8,68.8,14973
LA,1,83,6106
LA,2,87.4,9691
LA,3,95.5,12501
LA,4,102.9,15463
LA,5,106.2,14578
LA,6,111,11365
LA,7,113.6,8415
LA,8,106.5,7657
MA,1,464.2,6687
MA,2,481.6,11400
MA,3,536.6,17552
MA,4,570.7,19313
MA,5,590,16262
MA,6,623.2,11340
MA,7,642.4,5586
MA,8,574.6,3413
ME,1,50.1,851
ME,2,56.8,2807
ME,3,69,5814
ME,4,74.1,5822
ME,5,74.2,4492
ME,6,76.7,2949
ME,7,69,1576
ME,8,63.1,1995
MN,1,0,6999
MN,2,0,13152
MN,3,0,18752
MN,4,0,19917
MN,5,0,16880
MN,6,0,11028
MN,7,0,5802
MN,8,0,5387
MO,1,345.1,4686
MO,2,347.4,7039
MO,3,379.2,11171
MO,4,390.8,16941
MO,5,394.9,22408
MO,6,400.1,26942
MO,7,397.4,29014
MO,8,341.6,68929
NC,1,866.2,8242
NC,2,886.8,17068
NC,3,998.5,24957
NC,4,1081.5,28296
NC,5,1129.3,27729
NC,6,1202.9,24151
NC,7,1263.2,19072
NC,8,1088.9,27290
OH,1,1190.3,10744
OH,2,1166.3,19811
OH,3,1190.1,30872
OH,4,1218.6,33612
OH,5,1222.9,29425
OH,6,1242.7,22359
OH,7,1260.5,13978
OH,8,1117.3,11206
OK,1,0,5819
OK,2,0,8779
OK,3,0,11419
OK,4,0,15448
OK,5,0,17034
OK,6,0,15981
OK,7,0,14053
OK,8,0,24879
SD,1,0,1254
SD,2,0,2050
SD,3,0,3148
SD,4,0,4515
SD,5,0,6339
SD,6,0,7624
SD,7,0,7869
SD,8,0,17881
TN,1,610.9,8585
TN,2,602.1,14167
TN,3,613.8,19278
TN,4,622.9,21536
TN,5,623.8,21241
TN,6,618.1,18527
TN,7,604.4,15402
TN,8,507.5,33224
TX,1,540.9,34137
TX,2,595.8,47208
TX,3,705.8,59352
TX,4,774.4,73249
TX,5,852.5,69069
TX,6,947.8,57000
TX,7,1031.8,43500
TX,8,1065.6,40081
VA,1,0,8632
VA,2,0,16613
VA,3,0,24973
VA,4,0,30722
VA,5,0,33105
VA,6,0,32158
VA,7,0,29568
VA,8,0,75446
