state,size_lab,age_bin,mean_prem,n
AR,1 tank,1,50,1433
AR,1 tank,2,50,2270
AR,1 tank,3,50,2766
AR,1 tank,4,50,2790
AR,1 tank,5,50,2382
AR,1 tank,6,50,1858
AR,1 tank,7,50,1395
AR,1 tank,8,50,2819
AR,2 tanks,1,100,2701
AR,2 tanks,2,100,4020
AR,2 tanks,3,100,4439
AR,2 tanks,4,100,4352
AR,2 tanks,5,100,3651
AR,2 tanks,6,100,2558
AR,2 tanks,7,100,1695
AR,2 tanks,8,100,2539
AR,3 tanks,1,150,729
AR,3 tanks,2,150,1758
AR,3 tanks,3,150,2950
AR,3 tanks,4,150,3642
AR,3 tanks,5,150,3559
AR,3 tanks,6,150,2909
AR,3 tanks,7,150,1937
AR,3 tanks,8,150,2089
AR,4+ tanks,1,224.7,369
AR,4+ tanks,2,220,771
AR,4+ tanks,3,217,1684
AR,4+ tanks,4,217.3,2272
AR,4+ tanks,5,218.3,2284
AR,4+ tanks,6,218.6,2098
AR,4+ tanks,7,218.4,1595
AR,4+ tanks,8,221.1,1965
CO,1 tank,1,35,926
CO,1 tank,2,35,1693
CO,1 tank,3,35,2039
CO,1 tank,4,35,2098
CO,1 tank,5,35,1963
CO,1 tank,6,35,1582
CO,1 tank,7,35,1115
CO,1 tank,8,35,2379
CO,2 tanks,1,70,2362
CO,2 tanks,2,70,3095
CO,2 tanks,3,70,3048
CO,2 tanks,4,70,2787
CO,2 tanks,5,70,2264
CO,2 tanks,6,70,1618
CO,2 tanks,7,70,1259
CO,2 tanks,8,70,2139
CO,3 tanks,1,105,1271
CO,3 tanks,2,105,2340
CO,3 tanks,3,105,3393
CO,3 tanks,4,105,4052
CO,3 tanks,5,105,3856
CO,3 tanks,6,105,3098
CO,3 tanks,7,105,2325
CO,3 tanks,8,105,2459
CO,4+ tanks,1,151.8,473
CO,4+ tanks,2,151.2,830
CO,4+ tanks,3,148.7,1332
CO,4+ tanks,4,148.8,1518
CO,4+ tanks,5,150.6,1522
CO,4+ tanks,6,152.5,1462
CO,4+ tanks,7,153,1160
CO,4+ tanks,8,152.8,1686
ID,1 tank,1,15.3,381
ID,1 tank,2,15.3,695
ID,1 tank,3,15.3,1174
ID,1 tank,4,15.3,1132
ID,1 tank,5,15.3,993
ID,1 tank,6,15.3,684
