sample,pair,pearson,pearson_qtrim,n
pooled,P-H,0.03104,0.030953,2351957
pooled,P-N,0.358528,0.364125,2351957
pooled,P-Q,-0.001537,0.224978,2351957
pooled,H-N,0.056935,0.05709,2351957
pooled,H-Q,0.003721,-0.062813,2351957
pooled,N-Q,0.004198,0.374296,2351957
FF,P-H,-0.013246,-0.01352,1925166
FF,P-N,0.332217,0.337839,1925166
FF,P-Q,-0.001029,0.191801,1925166
FF,H-N,0.031814,0.031565,1925166
FF,H-Q,0.004049,-0.059406,1925166
FF,N-Q,0.004204,0.359264,1925166
RB,P-H,0.381715,0.381706,426791
RB,P-N,0.942902,0.942892,426791
RB,P-Q,0.379006,0.43174,426791
RB,H-N,0.221098,0.221072,426791
RB,H-Q,-0.055511,-0.066517,426791
RB,N-Q,0.506355,0.578235,426791
