action,size_bin,n,rate_pct
Exit,1,12307,2.3079
Replace,1,491,0.0921
Downsize,1,135,0.0253
Expansion,1,615,0.1153
Maintain,1,519707,97.4594
Exit,2,9863,1.6308
Replace,2,1054,0.1743
Downsize,2,1147,0.1897
Expansion,2,1209,0.1999
Maintain,2,591516,97.8054
Exit,3,10451,1.6057
Replace,3,2471,0.3796
Downsize,3,1564,0.2403
Expansion,3,1332,0.2046
Maintain,3,635058,97.5697
Exit,4+,7683,1.3646
Replace,4+,2406,0.4273
Downsize,4+,4479,0.7955
Expansion,4+,1253,0.2225
Maintain,4+,547216,97.1901
Exit,All,40304,1.7136
Replace,All,6422,0.273
Downsize,All,7325,0.3114
Expansion,All,4409,0.1875
Maintain,All,2293497,97.5144
