era,wall,age_bin,n,mean_premium,median_premium,sd_premium
era_2006,DW,1,5526,264.82,283.2,71.67
era_2006,DW,2,7851,266.63,318.6,99.61
era_2006,DW,3,8436,276.59,330.4,107.75
era_2006,DW,4,5546,266.86,336.3,121.42
era_2006,DW,5,3079,280.11,354,126.84
era_2006,DW,6,1023,305.69,389.4,126.89
era_2006,DW,7,381,319.51,407.1,121.53
era_2006,DW,8,206,287.6,289.1,125.08
era_2006,SW,1,2955,280.56,318.6,74.7
era_2006,SW,2,8128,295.32,318.6,89.1
era_2006,SW,3,13101,301.91,354,103.39
era_2006,SW,4,14494,288.88,371.7,119.73
era_2006,SW,5,22059,297.27,373.31,126.07
era_2006,SW,6,20941,309.75,376.12,126.63
era_2006,SW,7,10707,300.2,265.5,126.11
era_2006,SW,8,8755,277.64,177,122.31
era_2014,DW,1,7015,278.05,283.2,40.2
era_2014,DW,2,4908,296.66,318.44,53.46
era_2014,DW,3,3848,305.77,336.3,81.83
era_2014,DW,4,5314,315.15,354,91.27
era_2014,DW,5,3301,330.52,374.65,103.08
era_2014,DW,6,2059,332.91,398.25,118.25
era_2014,DW,7,700,356.13,414.18,123.04
era_2014,DW,8,427,412.86,477.9,122.18
era_2014,SW,2,1217,322.66,354,62.76
era_2014,SW,3,3674,329.04,354,74.7
era_2014,SW,4,7271,340.01,371.7,85.9
era_2014,SW,5,7252,353.87,389.4,102.54
era_2014,SW,6,9486,359.22,424.8,115.26
era_2014,SW,7,12591,376.46,442.5,120.73
era_2014,SW,8,11328,416.03,477.9,126.02
era_2019,DW,1,2999,253.24,250.75,23.35
era_2019,DW,2,3208,278.47,280.84,39.07
era_2019,DW,3,1434,308.94,318.6,44.53
era_2019,DW,4,1622,328.08,354,72.02
era_2019,DW,5,1949,355.76,389.4,77.37
era_2019,DW,6,964,366.3,407.1,96.87
era_2019,DW,7,601,378.8,439.55,110.83
era_2019,DW,8,261,457.78,477.9,103.56
era_2019,SW,3,829,328.39,354,55.76
era_2019,SW,4,1598,351.23,355.48,62.4
era_2019,SW,5,3098,380.07,404.15,77.42
era_2019,SW,6,2391,390.87,427.75,92.29
era_2019,SW,7,4084,413.82,477.9,103.74
era_2019,SW,8,6961,455.47,513.3,114.3
