action,G,G_next,n,prob
Downsize,Q1,Q1,917,0.994577
Downsize,Q1,Q2,3,0.003254
Downsize,Q1,Q3,1,0.001085
Downsize,Q1,Q4,1,0.001085
Downsize,Q2,Q1,719,0.418023
Downsize,Q2,Q2,987,0.573837
Downsize,Q2,Q3,7,0.00407
Downsize,Q2,Q4,7,0.00407
Downsize,Q3,Q1,236,0.144785
Downsize,Q3,Q2,770,0.472393
Downsize,Q3,Q3,607,0.372393
Downsize,Q3,Q4,17,0.010429
Downsize,Q4,Q1,162,0.06929
Downsize,Q4,Q2,261,0.111634
Downsize,Q4,Q3,700,0.299401
Downsize,Q4,Q4,1215,0.519675
Maintain,Q1,Q1,534261,0.999196
Maintain,Q1,Q2,268,0.000501
Maintain,Q1,Q3,99,0.000185
Maintain,Q1,Q4,63,0.000118
Maintain,Q2,Q2,572937,0.996658
Maintain,Q2,Q3,809,0.001407
Maintain,Q2,Q4,1112,0.001934
Maintain,Q3,Q3,458160,0.995057
Maintain,Q3,Q4,2276,0.004943
Maintain,Q4,Q4,459303,1
Replace,Q1,Q1,314,0.996825
Replace,Q1,Q2,1,0.003175
Replace,Q2,Q1,183,0.45297
Replace,Q2,Q2,221,0.54703
Replace,Q3,Q1,51,0.08347
Replace,Q3,Q2,451,0.738134
Replace,Q3,Q3,106,0.173486
Replace,Q3,Q4,3,0.00491
Replace,Q4,Q1,63,0.014841
Replace,Q4,Q2,864,0.203534
Replace,Q4,Q3,1368,0.322261
Replace,Q4,Q4,1950,0.459364
