action,size_bin,k,n,exact_match_share,wrong_wall_share,wrong_ageband_share
Downsize,1,1,62,1,0,0
Downsize,2,1,1029,0.758017,0.043732,0.198251
Downsize,2,2+,31,1,0,0
Downsize,3,1,1051,0.787821,0.03901,0.175071
Downsize,3,2+,435,0.744828,0.029885,0.232184
Downsize,4+,1,2475,0.726869,0.051313,0.229899
Downsize,4+,2+,1930,0.659585,0.056995,0.298964
Replace,1,1,467,1,0,0
Replace,2,1,117,0.871795,0.025641,0.102564
Replace,2,2+,917,1,0,0
Replace,3,1,118,0.847458,0.050847,0.110169
Replace,3,2+,2336,0.994435,0.000856,0.004709
Replace,4+,1,178,0.702247,0.089888,0.213483
Replace,4+,2+,2214,0.946703,0.007227,0.047425
