Group,wall_cat,alive_n,year,base_n,survival_share
Control,Double-Walled,9042,1990,9042,1
Control,Double-Walled,8975,1991,9042,0.992590134925901
Control,Double-Walled,8899,1992,9042,0.984184914841849
Control,Double-Walled,8788,1993,9042,0.971908869719089
Control,Double-Walled,8666,1994,9042,0.958416279584163
Control,Double-Walled,8575,1995,9042,0.948352134483521
Control,Double-Walled,8482,1996,9042,0.938066799380668
Control,Double-Walled,8380,1997,9042,0.926786109267861
Control,Double-Walled,8121,1998,9042,0.89814200398142
Control,Double-Walled,7894,1999,9042,0.873036938730369
Control,Double-Walled,7708,2000,9042,0.852466268524663
Control,Double-Walled,7500,2001,9042,0.829462508294625
Control,Double-Walled,7343,2002,9042,0.812099093120991
Control,Double-Walled,7152,2003,9042,0.790975447909755
Control,Double-Walled,6977,2004,9042,0.771621322716213
Control,Double-Walled,6794,2005,9042,0.751382437513824
Control,Double-Walled,6628,2006,9042,0.733023667330237
Control,Double-Walled,6415,2007,9042,0.709466932094669
Control,Double-Walled,6276,2008,9042,0.694094226940942
Control,Double-Walled,6081,2009,9042,0.672528201725282
Control,Double-Walled,5876,2010,9042,0.649856226498562
Control,Double-Walled,5735,2011,9042,0.634262331342623
Control,Double-Walled,5611,2012,9042,0.620548551205486
Control,Double-Walled,5463,2013,9042,0.604180491041805
Control,Double-Walled,5294,2014,9042,0.585489935854899
Control,Double-Walled,5138,2015,9042,0.568237115682371
Control,Double-Walled,4976,2016,9042,0.550320725503207
Control,Double-Walled,4789,2017,9042,0.529639460296395
Control,Double-Walled,4637,2018,9042,0.51282902012829
Control,Double-Walled,4507,2019,9042,0.498451669984517
Control,Double-Walled,4405,2020,9042,0.48717097987171
Control,Single-Walled,280866,1990,280866,1
Control,Single-Walled,258566,1991,280866,0.920602707340867
Control,Single-Walled,235204,1992,280866,0.83742425213447
Control,Single-Walled,210748,1993,280866,0.75035070104605
Control,Single-Walled,189994,1994,280866,0.676457812622389
Control,Single-Walled,173223,1995,280866,0.616746063959326
