year,n_covered,n_total,cov_rate,post
1901,0,9131,0,0
1902,0,9131,0,0
1903,0,9131,0,0
1904,0,9131,0,0
1905,0,9131,0,0
1906,0,9131,0,0
1907,0,9131,0,0
1908,0,9131,0,0
1909,0,9131,0,0
1910,0,9131,0,0
1911,0,9131,0,0
1912,0,9131,0,0
1913,0,9131,0,0
1914,0,9131,0,0
1915,0,9131,0,0
1916,0,9131,0,0
1917,0,9131,0,0
1918,0,9131,0,0
1919,0,9131,0,0
1920,0,9131,0,0
1921,0,9131,0,0
1922,0,9131,0,0
1923,0,9131,0,0
1924,0,9131,0,0
1925,0,9131,0,0
1926,0,9131,0,0
1927,0,9131,0,0
1928,0,9131,0,0
1929,0,9131,0,0
1930,0,9131,0,0
1931,0,9131,0,0
1932,0,9131,0,0
1933,0,9131,0,0
1934,0,9131,0,0
1935,0,9131,0,0
1936,0,9131,0,0
1937,0,9131,0,0
1938,0,9131,0,0
1939,0,9131,0,0
1940,0,9131,0,0
1941,0,9131,0,0
1942,0,9131,0,0
1943,0,9131,0,0
1944,0,9131,0,0
1945,0,9131,0,0
1946,0,9131,0,0
1947,0,9131,0,0
1948,0,9131,0,0
1949,0,9131,0,0
1950,0,9131,0,0
1951,0,9131,0,0
1952,0,9131,0,0
1953,0,9131,0,0
1954,0,9131,0,0
1955,0,9131,0,0
1956,0,9131,0,0
1957,0,9131,0,0
1958,0,9131,0,0
1959,0,9131,0,0
1960,0,9131,0,0
1961,0,9131,0,0
1962,0,9131,0,0
1963,0,9131,0,0
1964,0,9131,0,0
1965,0,9131,0,0
1966,0,9131,0,0
1967,0,9131,0,0
1968,0,9131,0,0
1969,0,9131,0,0
1970,0,9131,0,0
1971,0,9131,0,0
1972,0,9131,0,0
1973,0,9131,0,0
1974,0,9131,0,0
1975,0,9131,0,0
1976,0,9131,0,0
1977,0,9131,0,0
1978,0,9131,0,0
1979,0,9131,0,0
1980,0,9131,0,0
1981,0,9131,0,0
1982,0,9131,0,0
1983,0,9131,0,0
1984,0,9131,0,0
1985,0,9131,0,0
1986,0,9131,0,0
1987,0,9131,0,0
1988,0,9131,0,0
1989,0,9131,0,0
1990,0,9131,0,0
1991,0,9131,0,0
1992,0,9131,0,0
1993,0,9131,0,0
1994,0,9131,0,0
1995,0,9131,0,0
1996,0,9131,0,0
1997,0,9131,0,0
1998,0,9131,0,0
1999,1,9131,0.000109517029898149,1
2000,1,9131,0.000109517029898149,1
2001,21,9138,0.00229809586342745,1
2002,21,9138,0.00229809586342745,1
2003,26,9141,0.00284432775407505,1
2004,27,9141,0.00295372497538563,1
2005,40,9142,0.00437541019470575,1
2006,545,9451,0.0576658554650302,1
2007,8366,13054,0.640876359736479,1
2008,14023,15969,0.878138894107333,1
2009,13538,16154,0.83805868515538,1
2010,13505,16166,0.835395274031919,1
2011,12822,16132,0.79481775353335,1
2012,14929,16167,0.923424259293623,1
2013,15145,16174,0.936379374304439,1
2014,15317,16138,0.949126285785104,1
2015,15630,16459,0.949632419952609,1
2016,15388,16464,0.934645286686103,1
2017,15268,16446,0.928371640520491,1
2018,15315,16441,0.931512681710358,1
2019,15503,16417,0.944326003532923,1
2020,15832,16535,0.957484124584215,1
2021,15730,16510,0.952755905511811,1
2022,15560,16143,0.963885275351546,1
2023,15141,16088,0.941136250621581,1
2024,13180,13329,0.988821366944257,1
2025,3304,3304,1,1
2026,18,18,1,1
