YEAR,median_premium,mean_premium,p25_premium,p75_premium,n,index,post
2006,336.3,330.706740097908,306.8,389.4,321,100,1
2007,354,312.315897829228,194.7,389.4,8009,105.263157894737,1
2008,354,310.998698437166,177,398.25,24632,105.263157894737,1
2009,354,316.341476523047,212.4,407.1,28453,105.263157894737,1
2010,365.8,326.462380098575,247.8,424.8,31127,108.771929824561,1
2011,371.7,333.353753960259,277.3,424.8,34688,110.526315789474,1
2012,371.7,340.771880974281,283.2,424.8,39976,110.526315789474,1
2013,380.55,351.276420918689,309.75,433.65,53373,113.157894736842,1
2014,389.4,363.461717690434,318.6,442.5,76124,115.789473684211,1
2015,389.4,379.584281680283,336.3,442.5,44999,115.789473684211,1
2016,396,388.674545221358,336.3,450,46479,117.752007136485,1
2017,407.1,396.957963290507,354,477.9,49286,121.052631578947,1
2018,424.8,402.984296227149,354,477.9,52170,126.315789473684,1
2019,424.8,405.988918355556,354,477.9,37607,126.315789473684,1
2020,398.25,399.327027741742,342,475.5,911,118.421052631579,1
2021,432,429.248120646998,375.948,486,19935,128.456735057984,1
2022,442.5,436.603702195173,389.4,489.7,84156,131.578947368421,1
2023,442.5,439.597772045862,389.4,504,90106,131.578947368421,1
2024,442.5,442.878567325742,389.4,513.3,83272,131.578947368421,1
2025,442.5,442.127621005479,389.4,513.3,34311,131.578947368421,1
2026,442.5,442.555495218389,389.4,513.3,632,131.578947368421,1
