install_year,Group,N,total_yr,tx_share_yr
1985,Control,6331,8695,0.728119608970673
1985,Texas,2364,8695,0.271880391029327
1986,Control,5224,6392,0.817271589486859
1986,Texas,1168,6392,0.182728410513141
1987,Control,4535,13549,0.334711048785888
1987,Texas,9014,13549,0.665288951214112
1988,Control,5209,6038,0.862702881748924
1988,Texas,829,6038,0.137297118251077
1989,Control,3617,4089,0.884568354120812
1989,Texas,472,4089,0.115431645879188
1990,Control,2743,3106,0.883129426915647
1990,Texas,363,3106,0.116870573084353
1991,Control,1823,2065,0.882808716707022
1991,Texas,242,2065,0.117191283292978
1992,Control,1200,1404,0.854700854700855
1992,Texas,204,1404,0.145299145299145
1993,Control,1113,1331,0.836213373403456
1993,Texas,218,1331,0.163786626596544
1994,Control,1247,1530,0.815032679738562
1994,Texas,283,1530,0.184967320261438
1995,Control,1422,1779,0.799325463743676
1995,Texas,357,1779,0.200674536256324
1996,Control,1339,1746,0.766895761741123
1996,Texas,407,1746,0.233104238258877
1997,Control,1400,1785,0.784313725490196
1997,Texas,385,1785,0.215686274509804
