Group,install_year,N,ref_N,index_N
Control,1985,20150,10189.6666666667,197.749353920639
Control,1986,16928,10189.6666666667,166.129085020773
Control,1987,15661,10189.6666666667,153.694919689882
Control,1988,18355,10189.6666666667,180.133468546567
Control,1989,14865,10189.6666666667,145.883084170238
Control,1990,13630,10189.6666666667,133.762962478328
Control,1991,9854,10189.6666666667,96.7058130786091
Control,1992,7085,10189.6666666667,69.5312244430632
Control,1993,6596,10189.6666666667,64.7322450848899
Control,1994,7083,10189.6666666667,69.511596715627
Control,1995,6827,10189.6666666667,66.9992476037816
Control,1996,6462,10189.6666666667,63.4171873466584
Control,1997,7067,10189.6666666667,69.3545748961366
Control,1998,5272,10189.6666666667,51.7386895220648
Control,1999,3035,10189.6666666667,29.7850763845726
Control,2000,1282,10189.6666666667,12.581373286663
Control,2001,1078,10189.6666666667,10.5793450881612
Control,2002,961,10189.6666666667,9.43112303313815
Control,2003,884,10189.6666666667,8.67545552684092
Control,2004,789,10189.6666666667,7.74313847361706
Control,2005,782,10189.6666666667,7.67444142759004
Control,2006,867,10189.6666666667,8.50861984363244
Control,2007,749,10189.6666666667,7.35058392489123
Control,2008,668,10189.6666666667,6.55566096372142
Control,2009,546,10189.6666666667,5.35836959010763
Control,2010,557,10189.6666666667,5.46632209100723
Control,2011,632,10189.6666666667,6.20236186986817
Control,2012,597,10189.6666666667,5.85887663973306
Control,2013,659,10189.6666666667,6.46733619025811
Control,2014,714,10189.6666666667,7.00709869475613
Control,2015,654,10189.6666666667,6.41826687166738
Control,2016,615,10189.6666666667,6.03552618665969
Control,2017,763,10189.6666666667,7.48797801694527
Control,2018,382,10189.6666666667,3.74889594033171
Control,2019,204,10189.6666666667,2.00202819850175
Control,2020,197,10189.6666666667,1.93333115247473
Texas,1985,7317,1820.33333333333,401.959348104743
Texas,1986,3811,1820.33333333333,209.357260574986
Texas,1987,24334,1820.33333333333,1336.78813404138
Texas,1988,3337,1820.33333333333,183.318073612891
Texas,1989,2504,1820.33333333333,137.557223951657
Texas,1990,2390,1820.33333333333,131.294634682293
Texas,1991,1732,1820.33333333333,95.147408899469
Texas,1992,1339,1820.33333333333,73.5579564182384
Texas,1993,1194,1820.33333333333,65.5923823475554
Texas,1994,1470,1820.33333333333,80.7544405786486
Texas,1995,1510,1820.33333333333,82.9518403222853
Texas,1996,1502,1820.33333333333,82.512360373558
Texas,1997,1336,1820.33333333333,73.3931514374657
Texas,1998,655,1820.33333333333,35.9824208020509
Texas,1999,626,1820.33333333333,34.3893059879143
Texas,2000,287,1820.33333333333,15.7663431605933
Texas,2001,288,1820.33333333333,15.8212781541842
Texas,2002,190,1820.33333333333,10.4376487822743
Texas,2003,257,1820.33333333333,14.1182933528658
Texas,2004,222,1820.33333333333,12.1955685771837
Texas,2005,230,1820.33333333333,12.635048525911
Texas,2006,225,1820.33333333333,12.3603735579564
Texas,2007,185,1820.33333333333,10.1629738143197
Texas,2008,206,1820.33333333333,11.316608679729
Texas,2009,136,1820.33333333333,7.47115912836477
Texas,2010,138,1820.33333333333,7.5810291155466
Texas,2011,124,1820.33333333333,6.81193920527376
Texas,2012,227,1820.33333333333,12.4702435451383
Texas,2013,213,1820.33333333333,11.7011536348654
Texas,2014,179,1820.33333333333,9.83336385277422
Texas,2015,178,1820.33333333333,9.7784288591833
Texas,2016,192,1820.33333333333,10.5475187694561
Texas,2017,224,1820.33333333333,12.3054385643655
Texas,2018,212,1820.33333333333,11.6462186412745
Texas,2019,202,1820.33333333333,11.0968687053653
Texas,2020,186,1820.33333333333,10.2179088079106
