panel_year,Group,closure_rate,se
1985,Control,0.00268736117585762,0.000271099466058327
1986,Control,0.00962029192609983,0.000493081197989199
1987,Control,0.0147811391712089,0.000588746671240263
1988,Control,0.0231363606172648,0.000707381783976913
1989,Control,0.0089445834348086,0.000443014974996918
1990,Control,0.00958664511701021,0.000458491138740302
1991,Control,0.0102287067992118,0.000473442421375978
1992,Control,0.0114021298735803,0.000499565230594451
1993,Control,0.0136382757322824,0.000545741796319568
1994,Control,0.0119334912657471,0.00051093567377423
1995,Control,0.0125312728319348,0.000523417989875978
1996,Control,0.0112028693515177,0.00049523075955537
1997,Control,0.0132397546881573,0.000537817795892316
1998,Control,0.0317267031239622,0.000824709176754877
1985,Texas,0.00457557589144841,0.000599426463856867
1986,Texas,0.0100927033492823,0.000864247012349012
1987,Texas,0.0240352956670618,0.00124285393751636
1988,Texas,0.0156991833892511,0.00098904293490475
1989,Texas,0.00690004431221118,0.0006586202994983
1990,Texas,0.0105083243653858,0.000811307514162033
1991,Texas,0.0114578717478002,0.000846763755457176
1992,Texas,0.00860922960055707,0.00073505065978257
1993,Texas,0.00841932012407419,0.000726967893170662
1994,Texas,0.00791289485345319,0.000704945091282883
1995,Texas,0.00879913907703994,0.000743042435570546
1996,Texas,0.010824840159524,0.000823303644622082
1997,Texas,0.00974868645945433,0.000781733018432744
1998,Texas,0.0236120782427043,0.00120806693274066
