panel_year,closure_rate_Control,closure_rate_Texas,se_Control,se_Texas,n_fac_yr_Control,n_fac_yr_Texas,diff,diff_se,diff_lo,diff_hi
1990,0.102748457498343,0.110720086626963,0.0021681777950149,0.00516278458052173,19611,3694,0.00797162912861987,0.005599583875224,-0.00300355526681916,0.0189468135240589
1991,0.0869216998021295,0.102832355192651,0.00193367746578303,0.00485192479932202,21226,3919,0.0159106553905217,0.00522305301523478,0.00567347148066156,0.0261478393003819
1992,0.078673835125448,0.0900024324981756,0.00180208290965377,0.00446347905280459,22320,4111,0.0113285973727276,0.00481353799902853,0.0018940628946317,0.0207631318508235
1993,0.07371217965201,0.0663737280296022,0.00171059818433111,0.00378566164652912,23334,4324,-0.00733845162240773,0.00415420031416859,-0.0154806842381782,0.000803780993362709
1994,0.0650339913178803,0.0643478260869565,0.00157802206198399,0.00361780570550592,24418,4600,-0.000686165230923727,0.00394698261345288,-0.00842225115329138,0.00704992069144393
1995,0.0504999218872051,0.0528865563181268,0.00136848154915388,0.00317976953430071,25604,4954,0.00238663443092164,0.00346174465286531,-0.00439838508869435,0.00917165395053764
1996,0.0477860260379752,0.0451492537313433,0.00130284762556677,0.00283602881575885,26807,5360,-0.00263677230663187,0.00312097282578037,-0.0087538790451614,0.00348033443189766
1997,0.0521487721302113,0.0405640668523677,0.00132827826964266,0.00260298412331565,28016,5744,-0.0115847052778436,0.00292230209044825,-0.0173124173751222,-0.00585699318056505
1998,0.0770988006853227,0.0534470752089136,0.00159366983363186,0.0029677492738068,28016,5744,-0.023651725476409,0.00336857822987814,-0.0302541388069702,-0.0170493121458479
1999,0.0179617197543208,0.0181058495821727,0.000793648376324875,0.00175927841711726,28004,5744,0.000144129827851891,0.00193000992074593,-0.00363868961681014,0.00392694927251392
2000,0.0145274064413288,0.0113114174620007,0.000720175223906592,0.0014059076799563,27603,5658,-0.00321598897932813,0.00157962931021459,-0.00631206242734872,-0.000119915531307544
2001,0.0147792283995893,0.0119472182596291,0.000730745277765317,0.00145083982734687,27268,5608,-0.00283201013996016,0.00162447679749272,-0.00601598466304589,0.000351964383125566
2002,0.0169516673467117,0.0127812781278128,0.000786215781008994,0.00150713377492622,26959,5555,-0.00417038921889889,0.00169987866326716,-0.00750215139890252,-0.00083862703889526
2003,0.0150905054002183,0.0140255009107468,0.000747876282896716,0.00158710572947424,26573,5490,-0.00106500448947145,0.00175448668591396,-0.00450379839386282,0.00237378941491992
2004,0.0174863804335403,0.0147438260228529,0.00080902672760887,0.00163621280289415,26249,5426,-0.00274255441068739,0.00182529903915502,-0.00632014052743124,0.000835031706056451
2005,0.0186695527811063,0.0147360567058385,0.000841526867424022,0.00164567485436296,25871,5361,-0.0039334960752678,0.0018483541854523,-0.00755627027875431,-0.000310721871781283
2006,0.022100965690508,0.0134088762983947,0.000921094229603584,0.00158063579173123,25474,5295,-0.00869208939211326,0.0018294327224336,-0.0122777775280831,-0.0051064012561434
2007,0.0196619110418415,0.0204510703363914,0.000877669716943391,0.00195675846258642,25023,5232,0.000789159294549931,0.002144576371441,-0.00341421039347443,0.00499252898257429
2008,0.0179506965032693,0.0167380303620086,0.000846129458562479,0.00178973918465429,24623,5138,-0.00121266614126074,0.00197967204600516,-0.00509282335143084,0.00266749106890937
2009,0.0190382000247249,0.0142095914742451,0.000877265288255858,0.00166267603859299,24267,5067,-0.00482860855047982,0.00187991648625408,-0.00851324486353782,-0.00114397223742182
2010,0.0222017426273458,0.0131736526946108,0.000953616503532705,0.00161084817725265,23872,5010,-0.00902808993273507,0.00187195520404954,-0.0126971221326722,-0.00535905773279798
2011,0.0188356895741682,0.0141328487785181,0.000888450223296359,0.0016772194503342,23413,4953,-0.00470284079565013,0.00189800128657878,-0.00842292331734455,-0.000982758273955713
2012,0.0184887808688859,0.0155260469867211,0.000887464745416612,0.00176708001450656,23041,4895,-0.00296273388216476,0.00197741382922894,-0.00683846498745348,0.000912997223123969
2013,0.0198730942099233,0.0182043856019859,0.000926442299970352,0.00192284923543622,22694,4834,-0.00166870860793739,0.0021343955859662,-0.00585212395643115,0.00251470674055636
2014,0.0181867048915965,0.0174223341729639,0.00089434577015938,0.00189561762291855,22324,4764,-0.000764370718632595,0.00209600108037218,-0.00487253283616207,0.00334379139889688
2015,0.0189631650750341,0.0204472843450479,0.000919783162589594,0.00206544638685889,21990,4695,0.00148411927001382,0.00226098868709504,-0.00294741855669246,0.00591565709672009
2016,0.0206504665989097,0.0214285714285714,0.000966595942652397,0.0021304526557566,21646,4620,0.000778104829661699,0.00233947349520623,-0.0038072632209425,0.0053634728802659
2017,0.019468610392664,0.0171503957783641,0.000947470144975143,0.0019251757337352,21265,4548,-0.00231821461429989,0.00214569365972454,-0.00652377418735999,0.00188734495876021
2018,0.0156870247261945,0.0189562890276539,0.000859350362012216,0.0020365169916234,20909,4484,0.00326926430145942,0.00221040369658154,-0.0010631269438404,0.00760165554675924
2019,0.013278410467652,0.0201494226850804,0.00079683448967175,0.00211420711717907,20635,4417,0.00687101221742832,0.0022593841944789,0.00244261919624969,0.011299405238607
2020,0.010446297204512,0.0167623421354765,0.00071202011034066,0.00194537138094095,20390,4355,0.00631604493096445,0.00207157969851841,0.00225574872186837,0.0103763411400605
