panel_year,Group,closure_rate,n_fac_yr,se
1990,Control,0.102748457498343,19611,0.0021681777950149
1991,Control,0.0869216998021295,21226,0.00193367746578303
1992,Control,0.078673835125448,22320,0.00180208290965377
1993,Control,0.07371217965201,23334,0.00171059818433111
1994,Control,0.0650339913178803,24418,0.00157802206198399
1995,Control,0.0504999218872051,25604,0.00136848154915388
1996,Control,0.0477860260379752,26807,0.00130284762556677
1997,Control,0.0521487721302113,28016,0.00132827826964266
1998,Control,0.0770988006853227,28016,0.00159366983363186
1999,Control,0.0179617197543208,28004,0.000793648376324875
2000,Control,0.0145274064413288,27603,0.000720175223906592
2001,Control,0.0147792283995893,27268,0.000730745277765317
2002,Control,0.0169516673467117,26959,0.000786215781008994
2003,Control,0.0150905054002183,26573,0.000747876282896716
2004,Control,0.0174863804335403,26249,0.00080902672760887
2005,Control,0.0186695527811063,25871,0.000841526867424022
2006,Control,0.022100965690508,25474,0.000921094229603584
2007,Control,0.0196619110418415,25023,0.000877669716943391
2008,Control,0.0179506965032693,24623,0.000846129458562479
2009,Control,0.0190382000247249,24267,0.000877265288255858
2010,Control,0.0222017426273458,23872,0.000953616503532705
2011,Control,0.0188356895741682,23413,0.000888450223296359
2012,Control,0.0184887808688859,23041,0.000887464745416612
2013,Control,0.0198730942099233,22694,0.000926442299970352
2014,Control,0.0181867048915965,22324,0.00089434577015938
2015,Control,0.0189631650750341,21990,0.000919783162589594
2016,Control,0.0206504665989097,21646,0.000966595942652397
2017,Control,0.019468610392664,21265,0.000947470144975143
2018,Control,0.0156870247261945,20909,0.000859350362012216
2019,Control,0.013278410467652,20635,0.00079683448967175
2020,Control,0.010446297204512,20390,0.00071202011034066
1995,Texas,0.0528865563181268,4954,0.00317976953430071
1996,Texas,0.0451492537313433,5360,0.00283602881575885
1997,Texas,0.0405640668523677,5744,0.00260298412331565
1998,Texas,0.0534470752089136,5744,0.0029677492738068
1999,Texas,0.0181058495821727,5744,0.00175927841711726
2000,Texas,0.0113114174620007,5658,0.0014059076799563
2001,Texas,0.0119472182596291,5608,0.00145083982734687
2002,Texas,0.0127812781278128,5555,0.00150713377492622
2003,Texas,0.0140255009107468,5490,0.00158710572947424
2004,Texas,0.0147438260228529,5426,0.00163621280289415
2005,Texas,0.0147360567058385,5361,0.00164567485436296
2006,Texas,0.0134088762983947,5295,0.00158063579173123
2007,Texas,0.0204510703363914,5232,0.00195675846258642
2008,Texas,0.0167380303620086,5138,0.00178973918465429
2009,Texas,0.0142095914742451,5067,0.00166267603859299
2010,Texas,0.0131736526946108,5010,0.00161084817725265
2011,Texas,0.0141328487785181,4953,0.0016772194503342
2012,Texas,0.0155260469867211,4895,0.00176708001450656
2013,Texas,0.0182043856019859,4834,0.00192284923543622
2014,Texas,0.0174223341729639,4764,0.00189561762291855
2015,Texas,0.0204472843450479,4695,0.00206544638685889
2016,Texas,0.0214285714285714,4620,0.0021304526557566
2017,Texas,0.0171503957783641,4548,0.0019251757337352
2018,Texas,0.0189562890276539,4484,0.0020365169916234
2019,Texas,0.0201494226850804,4417,0.00211420711717907
2020,Texas,0.0167623421354765,4355,0.00194537138094095
1991,Texas,0.102832355192651,3919,0.00485192479932202
1992,Texas,0.0900024324981756,4111,0.00446347905280459
1993,Texas,0.0663737280296022,4324,0.00378566164652912
1994,Texas,0.0643478260869565,4600,0.00361780570550592
1990,Texas,0.110720086626963,3694,0.00516278458052173
