state,1980,1990,2000,2010,2020
AK,100,100,100,100,
AL,84.2,80.3,79.4,75.7,
AZ,30.2,5.8,0.8,0.2,
CO,0,0,0,0,
CT,76.4,31.1,6.5,1.7,
DE,100,100,100,100,
FL,100,100,100,100,
GA,0,0,0,0,
HI,100,100,100,100,
IA,100,100,100,100,
IL,100,100,100,100,
IN,100,100,100,100,
KS,0,0.1,0,0,
KY,0,0,0,0,
MA,23.9,0.7,0.5,0,
MD,0,0,0,0,
MN,0,0,0,0,
MO,0.1,0,0.1,0.3,
MT,15.4,48.4,31.5,0.4,
NC,5.5,8.2,2.6,0.7,
ND,0,0,0,0,
NE,100,100,100,96.1,
NH,100,100,100,100,
NV,0,0,0,0,
NY,100,100,100,100,
OH,0,0,0,0,
OR,100,100,100,100,
PA,100,100,100,100,
RI,85.6,3.1,5.4,0.7,
SD,0,0,0,0,
TN,0,0,0,0,
UT,0,0,0,0,
VA,0,0,0,0,
WA,100,100,100,100,
WI,23.2,11.3,3.6,0.6,
WV,0,0,0,0,
WY,100,100,100,100,
NM,100,100,100,100,100
AR,4.9,11.3,5.4,0.8,0.7
TX,40.4,1.6,1.1,0.8,0.7
MI,2.9,1.3,0.8,1.9,0.6
CA,0,0,0,0,0
ID,0,0,0,0,0
LA,30.8,7.7,2.7,0,0
ME,0.5,0,0,0,0
NJ,0.2,0.2,0.2,0,0
OK,0,0,0,0,0
