state,1980,1990,2000,2010,2020
AK,0,0,0,0,
AL,0.6,0.9,0.3,0.2,
AZ,0.2,0,0,0,
CO,2.1,0.1,0.1,0.1,
CT,0.2,0.5,1.5,1.1,
DE,0.2,0,0,0,
FL,0.1,0,0,0,
GA,2.2,3.3,1.5,2.3,
HI,0.1,0,0,0,
IA,0.1,0,0,0,
IL,0.1,0.1,0,0,
IN,99.4,99.9,100,100,
KS,0.3,0,0,0,
KY,0.3,0.1,0,0,
MA,0.9,0.5,0.4,0.6,
MD,0.8,2.9,0.7,59.7,
MN,0.2,0.7,0.2,0.2,
MO,0.4,0.1,0.1,0.3,
MT,0,0,0,0,
NC,0,0,0,0,
ND,0.3,0,0,0.4,
NE,0.1,0,0,0,
NH,0,0,0,0,
NV,86.3,95.9,88.2,99.7,
NY,0.6,0.5,0.8,1.1,
OH,0.2,0.2,0,0,
OR,3,0.3,0,0,
PA,0.1,0.2,0,0,
RI,1.3,0,0,0,
SD,0.8,0.1,0.2,0.3,
TN,0.7,0,0,0,
UT,0.1,0,0,0,
VA,0.4,0,0.1,0.3,
WA,52.8,60,55.1,55.4,
WI,0,0,0,0,
WV,0,0,0.2,0,
WY,0.2,0,0.4,0,
LA,1,0.1,0,0.5,78.2
AR,0,0.1,0,0,0
CA,0,0,0,0,0
ID,2.5,0.1,0,0,0
ME,0,0,0,0,0
MI,0.4,0.3,0.2,0.4,0
NJ,6.7,0.3,0,0,0
NM,0,0,0,0,0
OK,1,0,0,0,0
TX,7.3,0.5,0.3,0.1,0
