state,1980,1990,2000,2010,2020
AL,100,100,100,100,
AZ,100,100,100,100,
CO,100,100,100,100,
CT,100,100,100,100,
FL,100,100,100,100,
GA,100,100,100,100,
IA,100,100,100,100,
ID,100,100,100,100,
IL,100,100,100,100,
KS,100,100,100,100,
MA,100,100,100,100,
MD,100,100,100,100,
MN,100,100,100,100,
MO,100,100,100,100,
MS,100,100,100,100,
MT,100,100,100,100,
NC,100,100,100,100,
NE,100,100,100,100,
NV,100,100,100,100,
NY,100,100,100,100,
OH,100,100,100,100,
OR,100,100,100,100,
PA,100,100,100,100,
RI,100,100,100,100,
SC,100,100,100,100,
SD,100,100,100,100,
TN,100,100,100,100,
UT,100,100,100,100,
VA,100,100,100,100,
VT,100,100,100,100,
WI,100,100,100,100,
WV,100,100,100,100,
AR,5,2.8,4.1,12.9,55.5
OK,1.5,1.6,6,11.6,44.2
TX,1.1,1.3,5.2,10,43.6
LA,3.8,9.4,7.3,13.1,42.5
ME,0,0,0,0,0
NM,0,0,0,0,0
