state,1980,1990,2000,2010,2020
AK,100,100,100,,
AL,5.1,3.6,4.2,33.3,
AZ,0,0,0,0,
CO,100,100,100,100,
CT,26.5,35,66.7,90.7,
DE,7.4,7.1,10,,
FL,100,100,100,100,
GA,100,100,100,100,
HI,100,100,100,,
IA,100,100,100,100,
ID,0.8,1.5,0,0,
IL,4.2,7.3,12.6,60,
IN,100,100,100,,
KS,7.1,7.3,8.5,0,
KY,2.7,2.3,4,0,
MA,4.6,3.7,6.3,5.9,
MD,9.1,5.1,11.9,11.1,
ME,0.2,0,0,0,
MN,2.3,2.3,3.2,1.5,
MO,100,100,100,100,
MT,2.3,4.7,0,,
NC,0,0.1,0,,
ND,4.4,5.4,0,0,
NE,100,100,100,,
NH,100,100,100,100,
NV,100,100,100,100,
NY,100,100,100,100,
OH,2.5,6.9,11.4,30,
OK,5.4,1.4,1.2,0,
OR,1.4,0.8,2.2,0,
PA,59.2,37,11.3,50.9,
RI,100,100,100,100,
SD,76.7,63.1,65.2,,
TN,6.2,13,43.9,53.6,
UT,100,100,100,100,
VA,19.2,18.7,15,25,
WA,91.8,89.1,99.5,100,
WI,100,100,100,100,
WV,100,100,100,100,
WY,100,100,100,100,
NM,100,100,100,100,100
AR,0.4,0.3,1.4,0,0
LA,0,0,0,0,0
MI,0.1,0.4,3.7,4.4,0
NJ,4.7,0.6,0,0,0
