Group,year,share_any_sw,share_all_sw,share_mixed,se_any_sw,n_facilities,tank_level_sw_prop,ci_lo,ci_hi
Control,1985,0.806910403604484,0.780609613766523,0.00255815215916185,0.00102822007692168,147372,0.820852272136297,0.804895092253717,0.80892571495525
Texas,1985,0.911038388923851,0.873782252989301,0.00438011327879169,0.00142837806326768,39725,0.820852272136297,0.908238767919847,0.913838009927856
Control,1986,0.806350852008401,0.779268681713055,0.00300396097509105,0.00101870676165092,150468,0.819759972234231,0.804354186755565,0.808347517261236
Texas,1986,0.909313968474274,0.871889560820859,0.00478338455437692,0.0014296229316907,40348,0.819759972234231,0.90651190752816,0.912116029420388
Control,1987,0.805049180327869,0.777304918032787,0.0035016393442623,0.00101447241149075,152500,0.812348567616433,0.803060814401347,0.807037546254391
Texas,1987,0.870215108401084,0.825520833333333,0.0050389566395664,0.00154636427749156,47232,0.812348567616433,0.867184234417201,0.873245982384967
Control,1988,0.803060877904537,0.774010509280534,0.00444879556186024,0.00102630081260587,150153,0.810027854065014,0.80104932831183,0.805072427497245
Texas,1988,0.867420018869543,0.822733510592675,0.00596106012522515,0.00157035451062166,46636,0.810027854065014,0.864342124028724,0.870497913710361
Control,1989,0.797769879625747,0.767198531585352,0.00569216914266858,0.00105314206656525,145463,0.805269290627444,0.795705721175279,0.799834038076215
Texas,1989,0.864651446930787,0.820598683168541,0.00701405072742494,0.00162725592868391,44197,0.805269290627444,0.861462025310567,0.867840868551008
Control,1990,0.788774536729207,0.756258853458992,0.00763204301696973,0.00109733591062219,138364,0.798252040138338,0.786623758344388,0.790925315114027
Texas,1990,0.866736126615564,0.825209000024807,0.00840961524149736,0.00169275173035373,40311,0.798252040138338,0.863418333224071,0.870053920007057
Control,1991,0.781186484710485,0.747642770909424,0.00905451044516099,0.00114285044877917,130874,0.792518029185698,0.778946497830878,0.783426471590092
Texas,1991,0.866746437506799,0.827749374524094,0.00954530621124769,0.00177228159149272,36772,0.792518029185698,0.863272765587473,0.870220109426125
Control,1992,0.77212543554007,0.737651158024185,0.0106251281000205,0.00120104207617261,121975,0.787212675742022,0.769771393070772,0.774479478009368
Texas,1992,0.870353201543201,0.834405000448605,0.0107665161348207,0.00183705223648343,33437,0.787212675742022,0.866752579159693,0.873953823926708
Control,1993,0.761182186956716,0.725992956804707,0.0118040386929969,0.00127306600834085,112165,0.780675652021705,0.758686977580368,0.763677396333064
Texas,1993,0.873600309787344,0.8391041982639,0.0114234083061732,0.00188769845692316,30989,0.780675652021705,0.869900420811775,0.877300198762913
Control,1994,0.749813007038607,0.713862411537945,0.0131182754454268,0.00134123925268607,104282,0.772751825102044,0.747184178103342,0.752441835973872
Texas,1994,0.874106652006597,0.840777899945025,0.0120945574491479,0.00194453034400353,29104,0.772751825102044,0.87029537253235,0.877917931480844
Control,1995,0.735546850966961,0.69910379196489,0.0139968417382744,0.00141231141298074,97522,0.764105902777778,0.732778720597519,0.738314981336404
Texas,1995,0.870872810795292,0.839757393051967,0.0127045650301464,0.00200896456811109,27864,0.764105902777778,0.866935240241794,0.874810381348789
Control,1996,0.723490121178768,0.68693146871257,0.0147831623018571,0.00146925562053201,92673,0.755793652252219,0.720610380162526,0.726369862195011
Texas,1996,0.866956489150395,0.838473934714987,0.012779672450624,0.00207915233024266,26683,0.755793652252219,0.86288135058312,0.871031627717671
Control,1997,0.708252260501316,0.671775208881767,0.0158521231544008,0.001537867971151,87370,0.745537108903238,0.70523803927786,0.711266481724772
