year,share_any_sw_Control,share_any_sw_Texas,se_any_sw_Control,se_any_sw_Texas,gap,gap_se,gap_lo,gap_hi
1985,0.806910403604484,0.911038388923851,0.00102822007692168,0.00142837806326768,0.104127985319368,0.00175997170949114,0.100678440768765,0.10757752986997
1986,0.806350852008401,0.909313968474274,0.00101870676165092,0.0014296229316907,0.102963116465873,0.00175544444316794,0.0995224453572641,0.106403787574482
1987,0.805049180327869,0.870215108401084,0.00101447241149075,0.00154636427749156,0.0651659280732151,0.00184943146733742,0.0615410423972337,0.0687908137491964
1988,0.803060877904537,0.867420018869543,0.00102630081260587,0.00157035451062166,0.0643591409650055,0.00187598151562996,0.0606822171943708,0.0680360647356402
1989,0.797769879625747,0.864651446930787,0.00105314206656525,0.00162725592868391,0.0668815673050404,0.00193831629766823,0.0630824673616106,0.0706806672484701
1990,0.788774536729207,0.866736126615564,0.00109733591062219,0.00169275173035373,0.0779615898863569,0.00201731368937917,0.0740076550551738,0.0819155247175401
1991,0.781186484710485,0.866746437506799,0.00114285044877917,0.00177228159149272,0.0855599527963138,0.0021088122694585,0.0814266807481751,0.0896932248444525
1992,0.77212543554007,0.870353201543201,0.00120104207617261,0.00183705223648343,0.0982277660031309,0.00219482641416258,0.0939259062313722,0.10252962577489
1993,0.761182186956716,0.873600309787344,0.00127306600834085,0.00188769845692316,0.112418122830628,0.00227686243015756,0.10795547246752,0.116880773193737
1994,0.749813007038607,0.874106652006597,0.00134123925268607,0.00194453034400353,0.12429364496799,0.00236222797199939,0.119663678142871,0.128923611793109
1995,0.735546850966961,0.870872810795292,0.00141231141298074,0.00200896456811109,0.13532595982833,0.00245572029416247,0.130512748051772,0.140139171604889
1996,0.723490121178768,0.866956489150395,0.00146925562053201,0.00207915233024266,0.143466367971627,0.00254589600942741,0.138476411793149,0.148456324150105
1997,0.708252260501316,0.86182825052648,0.001537867971151,0.00215502598867251,0.153575990025164,0.00264748463801889,0.148386920134647,0.158765059915681
1998,0.685719105205792,0.859318673395818,0.00167223723181274,0.0023340325881659,0.173599568190026,0.00287125155325707,0.167971915145642,0.17922722123441
1999,0.673045054742716,0.856195016464344,0.00176545853629097,0.00245999257404668,0.183149961721627,0.003027937797863,0.177215203637816,0.189084719805439
2000,0.671769479806044,0.855269793242562,0.00179725669759031,0.00249850804247595,0.183500313436518,0.00307777095888407,0.177467882357105,0.18953274451593
2001,0.669746270674659,0.852745209441661,0.00182285778318887,0.00254678148465399,0.182998938767002,0.00313191737252256,0.176860380716858,0.189137496817147
2002,0.667005029299128,0.850346983101128,0.00184827499627453,0.00259648514019955,0.183341953802,0.00318713908468561,0.177095161196017,0.189588746407984
2003,0.663854833886782,0.847757628406993,0.00187402936123548,0.00264724526074363,0.183902794520211,0.00324343853299277,0.177545654995546,0.190259934044877
2004,0.660415422604542,0.844594594594595,0.00190250969187355,0.00269623947455278,0.184179171990053,0.00329988642710767,0.177711394592922,0.190646949387184
2005,0.657461120200969,0.842383956737269,0.00192925996757683,0.00273491505554492,0.184922836536301,0.00334690967663318,0.1783628935701,0.191482779502502
2006,0.653298242635198,0.840270999598094,0.00196109323018276,0.00277605052630614,0.186972756962896,0.00339887381084872,0.180310964293632,0.193634549632159
2007,0.651210590489462,0.83837001784652,0.00198908059823943,0.00283927784177116,0.187159427357058,0.00346669010571542,0.180364714749856,0.19395413996426
2008,0.647067210864955,0.834743956646167,0.00201751163057091,0.00289829303457073,0.187676745781213,0.00353135323831107,0.180755293434123,0.194598198128302
2009,0.643512522573466,0.830103118399801,0.00204564903352058,0.00295996280992915,0.186590595826335,0.00359806334081369,0.17953839167834,0.19364279997433
2010,0.640096347748152,0.825463315562326,0.00207403360898882,0.00302400876665894,0.185366967814174,0.00366691211130636,0.178179820076014,0.192554115552334
2011,0.63708139446182,0.820686540198735,0.00209986532233256,0.00308156465344919,0.183605145736915,0.00372900457030053,0.176296296779126,0.190913994694704
2012,0.634006773327105,0.813744758909853,0.00212519654980734,0.00315121765704095,0.179737985582748,0.00380087267576272,0.172288275138253,0.187187696027243
2013,0.630348495673573,0.807830603276069,0.00215044009328992,0.0032152198455632,0.177482107602496,0.00386807849585969,0.169900673750611,0.185063541454381
2014,0.627351049629899,0.801181102362205,0.00217442320950337,0.00328835021512639,0.173830052732305,0.00394225359805134,0.166103235680125,0.181556869784486
2015,0.625072141149312,0.795174892852205,0.00219786447611095,0.00335554993352148,0.170102751702894,0.00401127456199478,0.162240653561384,0.177964849844403
2016,0.621981997139733,0.788327341932755,0.00222373785326428,0.00342969656763259,0.166345344793023,0.00408752108081061,0.158333803474634,0.174356886111412
2017,0.617358231084943,0.780257757937937,0.00225304716777969,0.00351362953856058,0.162899526852993,0.00417394466595876,0.154718595307714,0.171080458398273
2018,0.614896503435298,0.772317171568987,0.00227628633419628,0.00359156057585845,0.157420668133689,0.00425215084931255,0.149086452469036,0.165754883798341
2019,0.613215917661151,0.764332162343972,0.00229374025070548,0.00366940484470968,0.151116244682821,0.00432732899744002,0.142634679847839,0.159597809517804
2020,0.612085201793722,0.756529000911023,0.00230733977700306,0.00373961621801233,0.144443799117301,0.00439414909903628,0.13583126688319,0.153056331351413
