year,n_tanks,tank_level_sw_prop,tank_level_dw_prop
1985,480715,0.820852272136297,0.00678780566447895
1986,492693,0.819759972234231,0.0080435484165596
1987,517145,0.812348567616433,0.00988310821916484
1988,511954,0.810027854065014,0.0133019763494376
1989,496044,0.805269290627444,0.0187926877454419
1990,469576,0.798252040138338,0.0271393767994957
1991,442477,0.792518029185698,0.0355272703439953
1992,412252,0.787212675742022,0.0434273211530811
1993,382771,0.780675652021705,0.0515007667770024
1994,359158,0.772751825102044,0.0607142260509302
1995,340992,0.764105902777778,0.0696555930930931
1996,326478,0.755793652252219,0.0793468472607649
1997,310505,0.745537108903238,0.0906845300397739
1998,276730,0.731691540490731,0.106052831279587
1999,254821,0.724308436117902,0.118000478767449
2000,247142,0.723689215107104,0.122346667098267
2001,241032,0.721584685850841,0.126165820306017
2002,235381,0.719013004448108,0.129861798530892
2003,229642,0.715835953353481,0.133560063054668
2004,223951,0.712646962951717,0.137025510044608
2005,218786,0.709606647591711,0.140466026162552
2006,213377,0.705947688832442,0.144593840948181
2007,207669,0.703605256441741,0.147836220138779
2008,202841,0.699784560320645,0.151705030048166
2009,198392,0.696565385701036,0.155061696036131
2010,193927,0.693059759600262,0.15845137603325
2011,190112,0.689809165123717,0.162646229590978
2012,186655,0.685805362835177,0.167158661702071
2013,183250,0.681429740791269,0.1713724420191
2014,179825,0.677314055331572,0.175370499096344
2015,176568,0.673649811970459,0.179143446151058
2016,173253,0.66931597144061,0.182802029402088
2017,169651,0.664281377651767,0.187732462526009
2018,166693,0.660441650219265,0.190931832770422
2019,164355,0.657327127255027,0.192747406528551
2020,162551,0.654631469508031,0.194480501504143
