Group,year,n_sw,n_dw,n_unk,n_total
Control,1985,299524,1912,74315,375751
Texas,1985,95072,1351,8541,104964
Control,1986,307125,2346,76211,385682
Texas,1986,96765,1617,8629,107011
Control,1987,312202,2996,77536,392734
Texas,1987,107900,2115,14396,124411
Control,1988,307916,4154,76429,388499
Texas,1988,106781,2656,14018,123455
Control,1989,297719,6172,74296,378187
Texas,1989,101730,3150,12977,117857
Control,1990,280866,9042,71205,361113
Texas,1990,93974,3702,10787,108463
Control,1991,264278,11562,67164,343004
Texas,1991,86393,4158,8922,99473
Control,1992,244805,13442,62785,321032
Texas,1992,79725,4461,7034,91220
Control,1993,223856,14986,58444,297286
Texas,1993,74964,4727,5794,85485
Control,1994,206691,16736,54885,278312
Texas,1994,70849,5070,4927,80846
Control,1995,192920,18302,52444,263666
Texas,1995,67634,5450,4242,77326
Control,1996,182374,19987,50289,252650
Texas,1996,64376,5918,3534,73828
Control,1997,170068,21854,47817,239739
Texas,1997,61425,6304,3037,70766
Control,1998,148905,23112,42931,214948
Texas,1998,53576,6236,1970,61782
Control,1999,135270,23807,38786,197863
Texas,1999,49299,6262,1397,56958
Control,2000,130913,23980,36819,191712
Texas,2000,47941,6257,1232,55430
Control,2001,127378,24142,35559,187079
Texas,2001,46547,6268,1138,53953
Control,2002,124051,24313,34494,182858
Texas,2002,45191,6254,1078,52523
Control,2003,120602,24434,33562,178598
Texas,2003,43784,6237,1023,51044
Control,2004,116932,24411,32684,174027
Texas,2004,42666,6276,982,49924
Control,2005,113543,24456,31849,169848
Texas,2005,41709,6276,953,48938
Control,2006,109872,24577,30978,165427
Texas,2006,40761,6276,913,47950
Control,2007,106797,24489,30045,161331
Texas,2007,39320,6212,806,46338
Control,2008,103675,24530,29370,157575
Texas,2008,38270,6242,754,45266
Control,2009,100883,24477,28722,154082
Texas,2009,37310,6286,714,44310
Control,2010,98080,24416,28122,150618
Texas,2010,36323,6312,674,43309
Control,2011,95649,24560,27395,147604
Texas,2011,35492,6361,655,42508
Control,2012,93361,24668,26819,144848
Texas,2012,34648,6533,626,41807
Control,2013,91054,24779,26365,142198
Texas,2013,33818,6625,609,41052
Control,2014,88940,24834,25900,139674
Texas,2014,32858,6702,591,40151
Control,2015,86968,24852,25418,137238
Texas,2015,31977,6779,574,39330
Control,2016,84871,24816,25070,134757
Texas,2016,31090,6855,551,38496
Control,2017,82573,24902,24592,132067
Texas,2017,30123,6947,514,37584
Control,2018,80870,24789,24294,129953
Texas,2018,29221,7038,481,36740
Control,2019,79691,24585,24168,128444
Texas,2019,28344,7094,473,35911
Control,2020,78799,24432,24067,127298
Texas,2020,27612,7181,460,35253
