make_model_fac,panel_year,n_total,has_both,sample
All-SW|Mixed-Or-Other|5-9yr,1991,4805,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1992,5391,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1993,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1994,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1995,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1996,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1997,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1998,5917,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,1999,5915,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2000,5843,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2001,5804,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2002,5756,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2003,5694,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2004,5647,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2005,5586,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2006,5515,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2007,5437,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2008,5362,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2009,5278,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2010,5218,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2011,5134,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2012,5046,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2013,4962,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2014,4899,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2015,4814,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2016,4748,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2017,4661,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|5-9yr,2018,4594,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1990,2829,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1991,2816,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1992,2786,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1993,2746,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1994,3320,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1995,3958,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1996,4617,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1997,5275,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1998,5983,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,1999,5983,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2000,5959,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2001,5946,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2002,5931,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2003,5896,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2004,5871,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2005,5848,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2006,5815,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2007,5781,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2008,5740,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2009,5691,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2010,5652,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2011,5616,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|0-4yr,2012,5563,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1990,611,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1991,726,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1992,839,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1993,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1994,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1995,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1996,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1997,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1998,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,1999,921,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2000,906,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2001,893,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2002,883,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2003,864,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2004,846,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2005,834,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2006,825,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2007,815,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2008,797,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2009,781,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2010,762,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2011,747,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2012,735,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2013,727,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2014,709,1,Full incumbent (no CEM)
All-DW|Diesel-Only|5-9yr,2015,699,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1990,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1991,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1992,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1993,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1994,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1995,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1996,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1997,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1998,10893,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,1999,10871,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2000,10448,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2001,10286,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2002,10109,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2003,9967,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2004,9804,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2005,9649,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2006,9507,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2007,9304,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2008,9090,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2009,8915,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2010,8738,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2011,8593,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2012,8452,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2013,8319,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2014,8170,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2015,8023,1,Full incumbent (no CEM)
All-SW|Mixed-Or-Other|10-14yr,2016,7885,1,Full incumbent (no CEM)
