mm_wall,mm_fuel,mm_capacity,cohort,group,n,group_total,share
Double-Walled,Diesel-Only,12k-25k,1989-1991,Texas,1874,358115,0.00523295589405638
Double-Walled,Diesel-Only,12k-25k,1989-1991,Control States,37366,5721325,0.00653100461868536
Double-Walled,Diesel-Only,12k-25k,1992-1994,Texas,2225,358115,0.00621308797453332
Double-Walled,Diesel-Only,12k-25k,1992-1994,Control States,30848,5721325,0.00539175802807916
Double-Walled,Diesel-Only,12k-25k,1995-1997,Texas,3328,358115,0.00929310417044804
Double-Walled,Diesel-Only,12k-25k,1995-1997,Control States,35312,5721325,0.0061719968713541
Double-Walled,Diesel-Only,1k-5k,1989-1991,Texas,909,358115,0.00253829077251721
Double-Walled,Diesel-Only,1k-5k,1989-1991,Control States,37647,5721325,0.00658011911576427
Double-Walled,Diesel-Only,1k-5k,1992-1994,Texas,542,358115,0.00151348030660542
Double-Walled,Diesel-Only,1k-5k,1992-1994,Control States,34132,5721325,0.0059657509405601
Double-Walled,Diesel-Only,1k-5k,1995-1997,Texas,464,358115,0.00129567317761054
Double-Walled,Diesel-Only,1k-5k,1995-1997,Control States,28198,5721325,0.00492857860722822
Double-Walled,Diesel-Only,25k-Plus,1989-1991,Texas,0,,0
Double-Walled,Diesel-Only,25k-Plus,1989-1991,Control States,1152,5721325,0.000201351959554823
Double-Walled,Diesel-Only,25k-Plus,1992-1994,Texas,108,358115,0.000301579101685213
Double-Walled,Diesel-Only,25k-Plus,1992-1994,Control States,1990,5721325,0.000347821527355988
Double-Walled,Diesel-Only,25k-Plus,1995-1997,Texas,26,358115,0.0000726023763316253
Double-Walled,Diesel-Only,25k-Plus,1995-1997,Control States,2310,5721325,0.000403752627232328
Double-Walled,Diesel-Only,5k-12k,1989-1991,Texas,3682,358115,0.010281613448194
Double-Walled,Diesel-Only,5k-12k,1989-1991,Control States,64113,5721325,0.0112059706449118
Double-Walled,Diesel-Only,5k-12k,1992-1994,Texas,1715,358115,0.00478896443879759
Double-Walled,Diesel-Only,5k-12k,1992-1994,Control States,44446,5721325,0.00776848020344938
Double-Walled,Diesel-Only,5k-12k,1995-1997,Texas,1778,358115,0.0049648855814473
Double-Walled,Diesel-Only,5k-12k,1995-1997,Control States,48137,5721325,0.00841361048358553
