mm_install_cohort,n_tx,n_ctl,n_cells
222,36,0,1
1800,140,0,1
1889,0,27,1
1899,0,44079,18
1900,0,2375,9
1901,9,108,4
1902,0,426,5
1904,0,97,3
1905,0,114,5
1906,0,139,5
1907,0,144,4
1908,0,41,1
1909,0,265,7
1910,0,478,9
1911,0,79,5
1912,0,202,7
1913,0,46,3
1914,0,35,4
1915,0,188,6
1916,0,326,7
1917,0,104,6
1918,0,411,8
1919,0,258,8
1920,205,2066,16
1921,14,200,11
1922,78,227,10
1923,12,527,13
1924,16,825,13
1925,20,914,10
1926,124,1245,11
1927,3,627,8
1928,63,1088,11
1929,60,835,10
1930,362,5586,14
1931,109,2261,15
1932,162,1010,12
1933,54,1203,11
1934,129,1095,11
1935,146,2950,14
1936,750,6996,18
1937,88,2444,16
1938,167,3461,14
1939,293,2732,14
1940,1295,16250,19
1941,626,5956,19
1942,644,4414,17
1943,629,4135,18
1944,233,3407,16
1945,383,7648,20
1946,2609,26233,19
1947,598,11372,20
1948,960,7873,21
1949,941,9044,19
1950,2743,39372,23
1951,3265,28569,18
1952,2684,16638,20
1953,1956,20201,19
1954,2663,23454,20
1955,4262,28788,20
1956,15441,98414,23
1957,3695,31980,25
1958,3829,35743,25
1959,4237,43489,23
1960,8442,74591,29
1961,22011,135354,28
1962,7388,45560,24
1963,8585,61703,26
1964,8872,116375,29
1965,12882,90769,28
1966,51614,315527,30
1967,12493,84794,27
1968,23595,137948,30
1969,18153,137361,30
1970,29057,90690,32
1971,73809,366893,32
1972,43056,187851,29
1973,32261,153187,34
1974,55922,255649,33
1975,37810,197046,33
1976,107207,413188,32
1977,49001,198502,31
1978,75824,314468,33
1979,69215,265989,33
1980,81987,355965,38
1981,98301,376386,35
1982,105455,326402,32
1983,114002,342677,32
1984,126942,368939,37
1985,155038,440155,36
1986,82177,368522,39
1987,182635,362421,41
1988,76092,397760,45
1989,58165,351536,43
1990,56273,351632,41
1991,39939,257829,42
1992,31224,190207,45
1993,27262,160463,42
1994,33642,165851,43
1995,33971,152981,42
1996,33262,147092,43
1997,28459,151458,43
1998,28112,196266,44
1999,30303,143323,45
2000,23572,77797,39
2001,18422,66995,40
2002,12279,49272,40
2003,11096,41005,38
2004,10257,37043,40
2005,8670,36079,39
2006,8311,37275,40
2007,6692,29295,37
2008,7152,23404,39
2009,4256,16476,36
2010,4847,15652,38
2011,4955,14809,40
2012,6317,14494,36
2013,5701,13250,36
2014,4991,12668,33
2015,4555,10321,35
2016,3389,7892,34
2017,2321,5942,33
2018,1460,2269,30
2019,714,605,17
